SCAN H = log(n) + lambda*Dmax80(n) - mu*Cmax80(n) + theta*Pmax80(n)
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
LOOKAHEAD = 80
LAMBDAS = [0.28, 0.3, 0.32, 0.34]
MUS = [0.02, 0.03, 0.04, 0.05, 0.06]
THETAS = [0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3]
CPU_COUNT = 8
WORKERS = 7
CHUNK_SIZE = 25000
Tempo totale secondi = 213.47

Candidato precedente:
lambda=0.30 | mu=0.04 | theta=0.00 | avg_H=3.147416 | max_H=140 | improved=341157 | worsened=86

Migliori per pochi peggioramenti
------------------------------------------------------------------------------------------------------------------------
lambda=0.32 | mu=0.06 | theta=0.15 | avg_H=3.076260 | max_H=140 | improved=  386748 | worsened=      92 | worst_loss= 107 | score=+0.411531 | worst_n=4941897 | best_n=1784859
lambda=0.32 | mu=0.06 | theta=0.30 | avg_H=3.080637 | max_H=140 | improved=  468878 | worsened=   58803 | worst_loss= 107 | score=+0.407154 | worst_n=4941897 | best_n=1784859
lambda=0.30 | mu=0.06 | theta=0.20 | avg_H=3.081519 | max_H=140 | improved=  401169 | worsened=      86 | worst_loss= 107 | score=+0.406272 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.05 | theta=0.10 | avg_H=3.082526 | max_H=140 | improved=  375953 | worsened=      97 | worst_loss= 107 | score=+0.405265 | worst_n=4941897 | best_n=2943135
lambda=0.34 | mu=0.05 | theta=0.30 | avg_H=3.082738 | max_H=140 | improved=  483746 | worsened=   69695 | worst_loss= 107 | score=+0.405053 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.04 | theta=0.20 | avg_H=3.083908 | max_H=140 | improved=  413029 | worsened=      95 | worst_loss= 107 | score=+0.403883 | worst_n=4941897 | best_n=2943135
lambda=0.32 | mu=0.05 | theta=0.20 | avg_H=3.084136 | max_H=140 | improved=  404638 | worsened=      90 | worst_loss= 107 | score=+0.403655 | worst_n=4941897 | best_n=2943135
lambda=0.32 | mu=0.06 | theta=0.10 | avg_H=3.084540 | max_H=140 | improved=  372086 | worsened=      93 | worst_loss= 107 | score=+0.403251 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.05 | theta=0.05 | avg_H=3.086627 | max_H=140 | improved=  369519 | worsened=      98 | worst_loss= 107 | score=+0.401164 | worst_n=4941897 | best_n=2943135
lambda=0.34 | mu=0.05 | theta=0.00 | avg_H=3.089714 | max_H=140 | improved=  364588 | worsened=      98 | worst_loss= 107 | score=+0.398077 | worst_n=4941897 | best_n=2943135
lambda=0.32 | mu=0.06 | theta=0.05 | avg_H=3.090449 | max_H=140 | improved=  361820 | worsened=      92 | worst_loss= 107 | score=+0.397342 | worst_n=4941897 | best_n=1784859
lambda=0.30 | mu=0.06 | theta=0.30 | avg_H=3.090622 | max_H=140 | improved=  448192 | worsened=   42989 | worst_loss= 107 | score=+0.397169 | worst_n=4941897 | best_n=1784859
lambda=0.28 | mu=0.06 | theta=0.25 | avg_H=3.091682 | max_H=140 | improved=  405525 | worsened=      78 | worst_loss= 107 | score=+0.396109 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.03 | theta=0.25 | avg_H=3.092580 | max_H=140 | improved=  429113 | worsened=      94 | worst_loss= 107 | score=+0.395211 | worst_n=4941897 | best_n=824347
lambda=0.32 | mu=0.04 | theta=0.25 | avg_H=3.093846 | max_H=140 | improved=  418459 | worsened=      88 | worst_loss= 107 | score=+0.393945 | worst_n=4941897 | best_n=4519375

Migliori per max step
------------------------------------------------------------------------------------------------------------------------
lambda=0.28 | mu=0.03 | theta=0.30 | avg_H=3.145942 | max_H=140 | improved=  396644 | worsened=      76 | worst_loss= 108 | score=+0.341849 | worst_n=4941897 | best_n=824347
lambda=0.28 | mu=0.05 | theta=0.25 | avg_H=3.115546 | max_H=140 | improved=  397480 | worsened=      77 | worst_loss= 107 | score=+0.372245 | worst_n=4941897 | best_n=2943135
lambda=0.28 | mu=0.04 | theta=0.30 | avg_H=3.127129 | max_H=140 | improved=  402895 | worsened=      77 | worst_loss= 108 | score=+0.360662 | worst_n=4941897 | best_n=1784859
lambda=0.28 | mu=0.04 | theta=0.25 | avg_H=3.137943 | max_H=140 | improved=  384706 | worsened=      77 | worst_loss= 108 | score=+0.349848 | worst_n=4941897 | best_n=1784859
lambda=0.28 | mu=0.04 | theta=0.20 | avg_H=3.144504 | max_H=140 | improved=  373028 | worsened=      77 | worst_loss= 108 | score=+0.343287 | worst_n=4941897 | best_n=1784859
lambda=0.28 | mu=0.03 | theta=0.25 | avg_H=3.155769 | max_H=140 | improved=  379457 | worsened=      77 | worst_loss= 108 | score=+0.332022 | worst_n=4941897 | best_n=824347
