rank;start;classe_mod_1024;pattern_length;sum_v2;modulus_power;modulus;solutions_count;residue;start_equals_residue;start_congruent_to_residue;quotient_start_minus_residue_over_modulus;density_among_odd_classes;max_debt;max_debt_step;peak_step;first_descent_step;max_run_1;avg_v2;ratio_1;pattern_prefix_80;time_seconds
27;704511;1023;32;36;37;137438953472;1;704511;True;True;0;1.455191522836685180664062500000E-11;14.718800023076994;32;32;46;13;1.813953488372093;0.5813953488372093;1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1;0.000303
28;1126015;639;126;185;186;98079714615416886934934209737619787751599303819750539264;1;1126015;True;True;0;2.039157646249538914596966909143E-56;14.705275090865655;126;126;141;10;1.6887755102040816;0.6479591836734694;1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1;0.008033
29;665215;639;61;82;83;9671406556917033397649408;1;665215;True;True;0;2.067951531382569187178521730175E-25;14.682712543990519;61;61;88;9;1.705521472392638;0.5950920245398773;1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,3,1,2,1,3,1,1,1,1,1,2,1,2,1,2,1,1,1,3,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1;0.001434
30;1988859;251;61;82;83;9671406556917033397649408;1;1988859;True;True;0;2.067951531382569187178521730175E-25;14.682712543990519;61;61;85;12;1.7197452229299364;0.6050955414012739;1,2,1,2,1,1,1,1,2,1,1,1,1,1,3,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1;0.001472
31;3732423;967;61;82;83;9671406556917033397649408;1;3732423;True;True;0;2.067951531382569187178521730175E-25;14.682712543990519;61;61;5;10;1.6846846846846846;0.5990990990990991;1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,1,2,1,2,2,1,2,1,1,2,1;0.001661
32;4530343;167;49;63;64;18446744073709551616;1;4530343;True;True;0;1.084202172485504434007452800870E-19;14.663162535336653;49;49;58;10;1.7412587412587412;0.6013986013986014;1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1;0.000941
33;1818623;1023;37;44;45;35184372088832;1;1818623;True;True;0;5.684341886080801486968994140625E-14;14.643612526682773;37;37;65;13;1.7627118644067796;0.635593220338983;1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1;0.000479
34;4772705;865;54;71;72;4722366482869645213696;1;4772705;True;True;0;4.235164736271501695341612503398E-22;14.587975038942432;54;54;1;10;1.7364864864864864;0.5945945945945946;2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1;0.001151
35;2643183;239;83;117;118;332306998946228968225951765070086144;1;2643183;True;True;0;6.018531076210112040799931070578E-36;14.551887559855942;83;83;115;10;1.7215189873417722;0.5822784810126582;1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,3,2,1,1,2,1,1,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,3,1,1,1,4,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,3,2,1,1,1,1,5,1,1,1,1,1,1,1,1;0.003479
36;239231;639;30;33;34;17179869184;1;239231;True;True;0;1.164153218269348144531250000000E-10;14.548875021634686;30;30;44;12;1.873015873015873;0.6031746031746031;1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1;0.000253
37;2162111;447;59;79;80;1208925819614629174706176;1;2162111;True;True;0;1.654361225106055349742817384140E-24;14.51278754254821;59;59;93;5;1.744360902255639;0.5789473684210527;1,1,1,1,1,2,1,1,1,2,2,2,1,3,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,4,2,1,1,1,1,2,1,1,1,1;0.001376
38;2237467;27;59;79;80;1208925819614629174706176;1;2237467;True;True;0;1.654361225106055349742817384140E-24;14.51278754254821;59;59;83;12;1.7225806451612904;0.6064516129032258;1,2,1,1,1,1,2,1,1,1,1,1,3,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1;0.001351
39;360361;937;88;125;126;85070591730234615865843651857942052864;1;360361;True;True;0;2.350988701644575015937473074444E-38;14.476700063461749;88;88;1;7;1.7086092715231789;0.6026490066225165;2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1;0.003753
40;4000767;1023;52;68;69;590295810358705651712;1;4000767;True;True;0;3.388131789017201356273290002719E-21;14.418050037500109;52;52;66;9;1.8625;0.5875;1,1,1,1,1,1,1,1,1,2,3,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1;0.000993
41;376831;1023;40;49;50;1125899906842624;1;376831;True;True;0;1.776356839400250464677810668945E-15;14.398500028846243;40;40;97;13;1.7416666666666667;0.5916666666666667;1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,1,2,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1;0.000598
42;2517151;159;57;76;77;151115727451828646838272;1;2517151;True;True;0;1.323488980084844279794253907312E-23;14.342862541105902;57;57;81;12;1.7254901960784315;0.6078431372549019;1,1,1,1,2,1,1,1,1,1,3,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1;0.001284
43;4723849;137;57;76;77;151115727451828646838272;1;4723849;True;True;0;1.323488980084844279794253907312E-23;14.342862541105902;57;57;1;10;1.688073394495413;0.6009174311926605;2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,1,2,1,2,2,1,2,1,1,2,1;0.001314
44;405407;927;86;122;123;10633823966279326983230456482242756608;1;405407;True;True;0;1.880790961315660012749978459556E-37;14.306775062019426;86;86;102;7;1.7114093959731544;0.6040268456375839;1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2;0.003631
45;1501353;169;127;187;188;392318858461667547739736838950479151006397215279002157056;1;1501353;True;True;0;5.097894115623847286492417272857E-57;14.290237591586816;127;127;1;10;1.6903553299492386;0.6446700507614214;2,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1;0.008117
46;886953;169;62;84;85;38685626227668133590597632;1;886953;True;True;0;5.169878828456422967946304325437E-26;14.26767504471168;62;62;1;9;1.7073170731707317;0.5914634146341463;2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,3,1,2,1,3,1,1,1,1,1,2,1,2,1,2,1,1,1,3,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1;0.001470
47;2471679;767;50;65;66;73786976294838206464;1;2471679;True;True;0;2.710505431213761085018632002175E-20;14.2481250360578;50;50;93;13;1.715151515151515;0.5878787878787879;1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,2,1,2,1,1,1,2,1,1,1,1;0.001097
48;1563647;1023;91;130;131;2722258935367507707706996859454145691648;1;1563647;True;True;0;7.346839692639296924804603357639E-40;14.231587565625205;91;91;106;9;1.7142857142857142;0.639751552795031;1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1;0.003849
49;2022639;239;38;46;47;140737488355328;1;2022639;True;True;0;1.421085471520200371742248535156E-14;14.228575027403934;38;38;87;16;1.7603305785123966;0.5950413223140496;1,1,1,2,1,1,1,1,1,3,3,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;0.000446
50;2424831;1023;38;46;47;140737488355328;1;2424831;True;True;0;1.421085471520200371742248535156E-14;14.228575027403934;38;38;66;15;1.7647058823529411;0.6386554621848739;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1;0.000503
51;432923;795;79;111;112;5192296858534827628530496329220096;1;432923;True;True;0;3.851859888774471706111955885170E-34;14.212037556971325;79;79;94;7;1.7183098591549295;0.5985915492957746;1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;0.002967
52;2813567;639;55;73;74;18889465931478580854784;1;2813567;True;True;0;1.058791184067875423835403125850E-22;14.172937539663579;55;55;60;12;1.7462686567164178;0.6268656716417911;1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,3,1,2,3,3,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1;0.001122
53;3191911;103;55;73;74;18889465931478580854784;1;3191911;True;True;0;1.058791184067875423835403125850E-22;14.172937539663579;55;55;96;7;1.7361111111111112;0.5833333333333334;1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1;0.001124
