lambda;mu;theta;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.3;0.04;0.0;2499999;3.487790995116398;3.1474160589664235;141;140;341157;86;2158756;0.13646285458514185;3.44000137600055e-05;0.8635027454010982;107;4941897;79;1784859;0.34037493614997444
0.3;0.04;0.05;2499999;3.487790995116398;3.144567657827063;141;140;345323;87;2154589;0.1381292552517021;3.480001392000557e-05;0.8618359447343779;107;4941897;79;1784859;0.3432233372893349
0.3;0.04;0.1;2499999;3.487790995116398;3.1409780563912224;141;140;351606;86;2148307;0.1406424562569825;3.44000137600055e-05;0.8593231437292574;107;4941897;79;1784859;0.3468129387251755
0.3;0.04;0.15;2499999;3.487790995116398;3.1358524543409816;141;140;360991;85;2138923;0.1443964577585831;3.400001360000544e-05;0.8555695422278169;107;4941897;79;1784859;0.3519385407754163
0.3;0.04;0.2;2499999;3.487790995116398;3.12467764987106;141;140;384716;84;2115199;0.15388646155458463;3.360001344000538e-05;0.8460799384319754;107;4941897;79;1784859;0.3631133452453381
0.3;0.04;0.25;2499999;3.487790995116398;3.1144528457811385;141;140;403601;84;2096314;0.16144046457618583;3.360001344000538e-05;0.8385259354103741;107;4941897;79;1784859;0.3733381493352597
0.3;0.04;0.3;2499999;3.487790995116398;3.131645652658261;141;140;421085;33020;2045894;0.16843406737362696;0.013208005283202113;0.8183579273431709;107;4941897;79;1784859;0.356145342458137
0.3;0.05;0.0;2499999;3.487790995116398;3.1302844521137807;141;140;345027;88;2154884;0.1380108552043421;3.520001408000563e-05;0.8619539447815779;107;4941897;80;2943135;0.3575065430026172
0.3;0.05;0.05;2499999;3.487790995116398;3.1271684508673805;141;140;349646;87;2150266;0.13985845594338236;3.480001392000557e-05;0.8601067440426976;107;4941897;80;2943135;0.3606225442490177
0.3;0.05;0.1;2499999;3.487790995116398;3.1232812493124995;141;140;356194;86;2143719;0.1424776569910628;3.44000137600055e-05;0.8574879429951772;107;4941897;80;2943135;0.36450974580389833
0.3;0.05;0.15;2499999;3.487790995116398;3.1169484467793787;141;140;367990;87;2131922;0.14719605887842355;3.480001392000557e-05;0.8527691411076564;107;4941897;80;2943135;0.37084254833701935
0.3;0.05;0.2;2499999;3.487790995116398;3.105624442249777;141;140;390966;85;2108948;0.15638646255458502;3.400001360000544e-05;0.843579537431815;107;4941897;80;2943135;0.38216655286662116
0.3;0.05;0.25;2499999;3.487790995116398;3.094440437776175;141;140;410056;84;2089859;0.16402246560898626;3.360001344000538e-05;0.8359439343775737;107;4941897;80;2943135;0.39335055734022295
0.3;0.05;0.3;2499999;3.487790995116398;3.112004844801938;141;140;434120;36663;2029216;0.17364806945922778;0.014665205866082347;0.8116867246746898;107;4941897;80;1784859;0.3757861503144601
0.3;0.06;0.0;2499999;3.487790995116398;3.1090440436176174;141;140;351085;88;2148826;0.14043405617362248;3.520001408000563e-05;0.8595307438122975;107;4941897;80;2943135;0.3787469514987806
0.3;0.06;0.05;2499999;3.487790995116398;3.1068512427404973;141;140;354157;88;2145754;0.14166285666514267;3.520001408000563e-05;0.8583019433207774;107;4941897;80;2943135;0.38093975237590094
0.3;0.06;0.1;2499999;3.487790995116398;3.102550041020016;141;140;361352;86;2138561;0.14454085781634313;3.44000137600055e-05;0.8554247421698968;107;4941897;80;1784859;0.38524095409638165
0.3;0.06;0.15;2499999;3.487790995116398;3.094393237757295;141;140;375492;87;2124420;0.15019686007874403;3.480001392000557e-05;0.8497683399073359;107;4941897;80;1784859;0.39339775735910293
0.3;0.06;0.2;2499999;3.487790995116398;3.081518832607533;141;140;401169;86;2098744;0.16046766418706568;3.44000137600055e-05;0.8394979357991743;107;4941897;80;1784859;0.406272162508865
0.3;0.06;0.25;2499999;3.487790995116398;3.0716120286448114;141;140;417699;84;2082216;0.16707966683186673;3.360001344000538e-05;0.8328867331546933;107;4941897;80;1784859;0.4161789664715866
0.3;0.06;0.3;2499999;3.487790995116398;3.0906216362486547;141;140;448192;42989;2008818;0.1792768717107487;0.01719560687824275;0.8035275214110086;107;4941897;80;1784859;0.39716935886774357
0.32;0.02;0.0;2499999;3.487790995116398;3.175049270019708;141;140;336872;91;2163036;0.13474885389954155;3.640001456000583e-05;0.8652147460858984;108;4941897;78;824347;0.31274172509669
0.32;0.02;0.05;2499999;3.487790995116398;3.1728424691369876;141;140;340279;91;2159629;0.13611165444466178;3.640001456000583e-05;0.8638519455407783;108;4941897;78;824347;0.31494852597941037
0.32;0.02;0.1;2499999;3.487790995116398;3.168744467497787;141;140;347410;88;2152501;0.13896405558562222;3.520001408000563e-05;0.8610007444002977;108;4941897;78;824347;0.319046527618611
0.32;0.02;0.15;2499999;3.487790995116398;3.162830065132026;141;140;358231;89;2141679;0.14329245731698292;3.56000142400057e-05;0.8566719426687771;108;4941897;78;824347;0.324960929984372
0.32;0.02;0.2;2499999;3.487790995116398;3.1517636607054644;141;140;381762;88;2118149;0.15270486108194442;3.520001408000563e-05;0.8472599389039756;108;4941897;78;824347;0.33602733441093374
0.32;0.02;0.25;2499999;3.487790995116398;3.1413236565294627;141;140;400977;86;2098936;0.16039086415634565;3.44000137600055e-05;0.8395747358298943;108;4941897;78;824347;0.34646733858693546
0.32;0.02;0.3;2499999;3.487790995116398;3.1583288633315454;141;140;419711;33025;2047263;0.16788446715378685;0.013210005284002114;0.818905527562211;108;4941897;78;824347;0.32946213178485273
0.32;0.03;0.0;2499999;3.487790995116398;3.1513432605373044;141;140;343764;93;2156142;0.137505655002262;3.720001488000595e-05;0.862457144982858;107;4941897;78;824347;0.3364477345790938
0.32;0.03;0.05;2499999;3.487790995116398;3.149036059614424;141;140;347284;91;2152624;0.13891365556546223;3.640001456000583e-05;0.8610499444199777;107;4941897;78;824347;0.3387549355019742
0.32;0.03;0.1;2499999;3.487790995116398;3.144415657766263;141;140;354934;89;2144976;0.14197365678946272;3.56000142400057e-05;0.8579907431962973;107;4941897;78;824347;0.3433753373501349
0.32;0.03;0.15;2499999;3.487790995116398;3.137673655069462;141;140;367524;90;2132385;0.14700965880386352;3.600001440000576e-05;0.8529543411817365;107;4941897;78;824347;0.350117340046936
0.32;0.03;0.2;2499999;3.487790995116398;3.12683085073234;141;140;390270;89;2109640;0.15610806244322498;3.56000142400057e-05;0.843856337542535;107;4941897;78;824347;0.36096014438405777
0.32;0.03;0.25;2499999;3.487790995116398;3.116944446777779;141;140;407776;89;2092134;0.1631104652441861;3.56000142400057e-05;0.8368539347415739;107;4941897;78;824347;0.37084654833861935
