common_value;members_count;min_step;max_step;avg_step;trunk_start;reached_one;steps_to_1;total_v2;avg_v2;critical_v2;final_surplus;max_debt;max_debt_step;min_surplus;min_surplus_step;starts_dissipative;max_value;max_value_step;max_ratio;biggest_drop_ratio;biggest_drop_step;biggest_drop_v2;biggest_drop_from;biggest_drop_to;prefix_80_v2
657393083;62;33;64;48.0;657393083;True;100;188;1.88;1.584962500721156;29.5037499278844;3.643612526682773;37;-3.643612526682773;37;False;8216025965;37;12.497889280347053;0.005859379553959686;53;9;428885;2513;1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2
648544805;62;21;52;36.0;648544805;True;112;207;1.8482142857142858;1.584962500721156;29.48419991923052;3.663162535336653;49;-3.663162535336653;49;False;8216025965;49;12.6684014761324;0.005859379553959686;65;9;428885;2513;4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1
569913839;62;60;91;75.0;569913839;True;73;145;1.9863013698630136;1.584962500721156;29.2977374473556;3.8496250072115608;10;-3.8496250072115608;10;False;8216025965;10;14.416259797123473;0.005859379553959686;26;9;428885;2513;1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
519421693;62;29;60;44.0;519421693;True;104;194;1.8653846153846154;1.584962500721156;29.163899924999782;3.9834625295674044;41;-3.9834625295674044;41;False;8216025965;41;15.8176411877353;0.005859379553959686;57;9;428885;2513;3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2
499771559;62;46;77;61.0;499771559;True;87;167;1.9195402298850575;1.584962500721156;29.108262437259413;4.039100017307746;24;-4.039100017307746;24;False;8216025965;24;16.439562870363336;0.005859379553959686;40;9;428885;2513;1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2
461708171;62;27;58;42.0;461708171;True;106;197;1.8584905660377358;1.584962500721156;28.99397492355746;4.153387531009713;43;-4.153387531009713;43;False;8216025965;43;17.794846357614063;0.005859379553959686;59;9;428885;2513;1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1
444241385;62;44;75;59.0;444241385;True;89;170;1.9101123595505618;1.584962500721156;28.938337435817118;4.209025018750054;26;-4.209025018750054;26;False;8216025965;26;18.49450826153894;0.005859379553959686;42;9;428885;2513;2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1
438262055;62;32;63;47.0;438262055;True;101;189;1.8712871287128714;1.584962500721156;28.918787427163238;4.228575027403934;38;-4.228575027403934;38;False;8216025965;38;18.746833934779044;0.005859379553959686;54;9;428885;2513;1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1
432363203;62;20;51;35.0;432363203;True;113;208;1.8407079646017699;1.584962500721156;28.899237418509358;4.2481250360578;50;-4.2481250360578;50;False;8216025965;50;19.002602228848787;0.005859379553959686;66;9;428885;2513;1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4
416006561;62;37;68;52.0;416006561;True;96;181;1.8854166666666667;1.584962500721156;28.843599930769017;4.303762523798149;33;-4.303762523798149;33;False;8216025965;33;19.74975093000997;0.005859379553959686;49;9;428885;2513;2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1
379942559;62;59;90;74.0;379942559;True;74;146;1.972972972972973;1.584962500721156;28.712774946634454;4.434587507932719;11;-4.434587507932719;11;False;8216025965;11;21.62438971465684;0.005859379553959686;27;9;428885;2513;1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
351005537;62;40;71;55.0;351005537;True;93;176;1.89247311827957;1.584962500721156;28.598487432932473;4.548875021634686;30;-4.548875021634686;30;False;8216025965;30;23.407112136239604;0.005859379553959686;46;9;428885;2513;2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1
333181039;62;45;76;60.0;333181039;True;88;168;1.9090909090909092;1.584962500721156;28.52329993653825;4.6240625180289;25;-4.6240625180289;25;False;8216025965;25;24.65934433021562;0.005859379553959686;41;9;428885;2513;1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4
312004921;62;38;69;53.0;312004921;True;95;179;1.8842105263157896;1.584962500721156;28.428562431490178;4.718800023076994;32;-4.718800023076994;32;False;8216025965;32;26.333001218913466;0.005859379553959686;48;9;428885;2513;2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1
307805447;62;26;57;41.0;307805447;True;107;198;1.8504672897196262;1.584962500721156;28.409012422836298;4.738350031730874;44;-4.738350031730874;44;False;8216025965;44;26.692269565327088;0.005859379553959686;60;9;428885;2513;1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1
296160923;62;43;74;58.0;296160923;True;90;171;1.9;1.584962500721156;28.353374935095957;4.793987519471216;27;-4.793987519471216;27;False;8216025965;27;27.741762423532155;0.005859379553959686;43;9;428885;2513;1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1
292174703;62;31;62;46.0;292174703;True;102;190;1.8627450980392157;1.584962500721156;28.333824926442077;4.813537528125089;39;-4.813537528125089;39;False;8216025965;39;28.120250934250116;0.005859379553959686;55;9;428885;2513;1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1
288242135;62;19;50;34.0;288242135;True;114;209;1.8333333333333333;1.584962500721156;28.314274917788197;4.833087536778962;51;-4.833087536778962;51;False;8216025965;51;28.503903376236092;0.005859379553959686;67;9;428885;2513;1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1
273604841;62;24;55;39.0;273604841;True;109;201;1.8440366972477065;1.584962500721156;28.239087421393975;4.908275033173183;46;-4.908275033173183;46;False;8216025965;46;30.028803346355996;0.005859379553959686;62;9;428885;2513;2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1
263254153;62;41;72;56.0;263254153;True;92;174;1.891304347826087;1.584962500721156;28.183449933653634;4.963912520913524;29;-4.963912520913524;29;False;8216025965;29;31.209482818681305;0.005859379553959686;45;9;428885;2513;2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3
253295039;62;58;89;73.0;253295039;True;75;147;1.96;1.584962500721156;28.127812445913293;5.019550008653873;12;-5.019550008653873;12;False;8216025965;12;32.43658461467143;0.005859379553959686;28;9;428885;2513;1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
