start;classe_mod_1024;reached_one;total_syracuse_steps;max_value;max_ratio;peak_step;first_positive_surplus_step;first_descent_step;max_debt;max_debt_step;max_consecutive_v2_1;total_v2;avg_v2;final_surplus
4555559;807;True;138;50543191457;11094.83851641478;64;5;5;13.437600046153989;64;6;241;1.7463768115942029;22.275174900480465
4778655;671;True;148;52304792741;10945.505114095911;52;10;10;13.418050037500109;52;12;257;1.7364864864864864;22.425549893268908
2779817;681;True;163;30079718549;10820.754945019762;93;1;1;13.401512567067527;93;11;280;1.7177914110429449;21.651112382451572
753663;1023;True;120;8138196845;10798.190762980272;40;96;96;13.398500028846243;40;14;210;1.75;19.804499913461257
4310809;793;True;121;46548912269;10798.18481148202;40;1;1;13.398500028846243;40;13;214;1.7685950413223142;22.219537412740124
3595803;539;True;123;38828142341;10798.183977542707;40;88;88;13.398500028846243;40;16;217;1.7642276422764227;22.0496124112978
4310811;795;True;121;46548912269;10798.17980166609;40;67;67;13.398500028846243;40;16;214;1.7685950413223142;22.219537412740124
3174015;639;True;96;34273584341;10798.179700158948;40;46;46;13.398500028846243;40;13;174;1.8125;21.843599930769017
3647999;511;True;101;39391746821;10798.179171924116;40;63;63;13.398500028846243;40;9;182;1.801980198019802;21.918787427163238
4454047;671;True;155;48095597285;10798.17911328731;40;83;83;13.398500028846243;40;13;268;1.729032258064516;22.330812388220806
769641;617;True;144;8216025965;10675.140701963643;81;1;1;13.381962558413647;81;7;248;1.7222222222222223;19.765399896153525
538271;671;True;61;5734125917;10652.86057952221;28;41;41;13.37895002019237;28;12;116;1.901639344262295;19.31728745600948
3644863;447;True;111;38828142341;10652.839994534774;28;76;76;13.37895002019237;28;16;198;1.7837837837837838;22.06916241995168
4878335;1023;True;107;51968116565;10652.838840506034;28;33;33;13.37895002019237;28;11;192;1.794392523364486;22.409012422836298
4799271;807;True;143;50543191457;10531.431014627013;69;5;5;13.362412549759767;69;6;249;1.7412587412587412;22.350362396874687
4008575;639;True;121;42216015293;10531.42707645485;69;86;86;13.362412549759767;69;10;214;1.7685950413223142;22.219537412740124
4864751;751;True;131;50543191457;10389.676975656103;57;88;88;13.342862541105902;57;5;230;1.7557251908396947;22.369912405528567
4063723;491;True;210;41739568049;10271.26308781381;98;3;3;13.326325070673306;98;9;355;1.6904761904761905;22.157874848557242
780391;103;True;120;7998895637;10249.856337400099;45;65;65;13.323312532452022;45;11;210;1.75;19.804499913461257
810815;831;True;149;8216025965;10133.04633609393;86;10;10;13.306775062019426;86;7;256;1.7181208053691275;19.840587392547747
567065;793;True;66;5734125917;10111.937638542318;33;1;1;13.303762523798149;33;12;124;1.878787878787879;19.392474952403703
1878697;681;True;87;18997161173;10111.88135872895;33;1;1;13.303762523798149;33;14;159;1.8275862068965518;21.108262437259413
3839855;879;True;116;38828142341;10111.87722999957;33;81;81;13.303762523798149;33;16;206;1.7758620689655173;22.144349916345902
4565161;169;True;85;46162343069;10111.876244671326;33;1;1;13.303762523798149;33;9;157;1.8470588235294119;22.278187438701735
4083327;639;True;121;41290091981;10111.874944377465;33;58;58;13.303762523798149;33;9;214;1.7685950413223142;22.219537412740124
3002707;339;True;197;30079718549;10017.533695095792;127;2;2;13.290237591586816;127;10;334;1.6954314720812182;21.762387357932255
1773907;339;True;164;17494428437;9862.088845131115;62;2;2;13.26767504471168;62;9;281;1.7134146341463414;21.066149881730382
822139;891;True;125;7998895637;9729.371355695326;50;5;5;13.2481250360578;50;11;218;1.744;19.879687409855478
687871;767;True;139;6692535845;9729.347283138844;50;92;92;13.2481250360578;50;7;240;1.7266187050359711;19.690212399759304
4587291;795;True;131;44631294353;9729.335756767992;50;55;55;13.2481250360578;50;10;230;1.7557251908396947;22.369912405528567
4943359;511;True;165;48095597285;9729.33531329608;50;93;93;13.2481250360578;50;13;284;1.7212121212121212;22.48118738100925
854191;175;True;154;8216025965;9618.48809575376;91;5;5;13.231587565625205;91;7;264;1.7142857142857142;19.915774888941968
3127295;1023;True;161;30079718549;9618.446148828301;91;106;106;13.231587565625205;91;10;277;1.720496894409938;21.821037383893866
847871;1023;True;118;8138196845;9598.390374243252;38;94;94;13.228575027403934;38;11;207;1.7542372881355932;19.97442491490358
4849661;1021;True;119;46548912269;9598.384767306416;38;1;1;13.228575027403934;38;13;211;1.773109243697479;22.389462414182418
4045279;479;True;121;38828142341;9598.384274854714;38;86;86;13.228575027403934;38;16;214;1.7685950413223142;22.219537412740124
3038655;447;True;96;29166172625;9598.382384640572;38;51;51;13.228575027403934;38;9;174;1.8125;21.843599930769017
4849663;1023;True;119;46548912269;9598.380808934558;38;65;65;13.228575027403934;38;16;211;1.773109243697479;22.389462414182418
865847;567;True;142;8216025965;9489.004367977252;79;3;3;13.212037556971325;79;7;245;1.7253521126760563;19.935324897595848
1127871;447;True;155;10702358765;9488.991883823594;79;116;116;13.212037556971325;79;7;266;1.7161290322580645;20.330812388220806
2503359;703;True;153;23119199981;9235.271481637272;55;92;92;13.172937539663579;55;8;264;1.7254901960784315;21.50073738966313
4571689;553;True;208;41739568049;9130.010385439604;96;1;1;13.156400069230983;96;9;352;1.6923076923076923;22.327799849999565
4323553;225;True;104;39391746821;9110.966564073575;43;1;1;13.153387531009713;43;9;187;1.7980769230769231;22.163899924999782
912167;807;True;147;8216025965;9007.151064443244;84;5;5;13.136850060577103;84;7;253;1.7210884353741496;20.01051239399007
