start;log_step;log_value;h_step;h_value;loss;initial_dmax;initial_dmax_step;initial_cmax;initial_cmax_step;initial_max_single_v2;initial_max_single_v2_step;dmax_at_log_step;dmax_step_at_log_step;dmax_delta_at_log_step;cmax_at_log_step;cmax_step_at_log_step;cmax_delta_at_log_step;max_single_v2_at_log_step;max_single_v2_step_at_log_step;log_delta_at_log_step;h_delta_at_log_step;local_debt_at_log_step;max_value;max_value_step;max_ratio;avg_v2_until_h;ratio_1_until_h;max_run_1_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;prefix_120_v2
1824335;5;865847;8;730559;3;10.797000057692486;80;1.3202999942307514;8;5;70;13.212037556971325;79;2.4150374992788386;0.24511249783653177;3;-1.0751874963942196;5;65;-0.7452625974623412;0.022256152177079096;-1.0751874963942196;6157133;3;3.3750013018442337;1.75;0.625;3;5;0;3;0;1,1,1,3,3,1,1,3
3947391;25;3041879;28;1283293;3;4.114287513701967;19;5.827062460336421;55;4;12;6.02256254687515;65;1.908275033173183;5.451124978365314;30;-0.375937481971107;4;3;-0.2605794377703692;0.32694057146043004;-0.3759374819710999;68365073;19;17.31905276168487;1.6428571428571428;0.6428571428571429;6;18;4;4;2;1,1,1,1,1,1,3,1,1,2,1,4,1,1,1,1,1,2,1,2,3,3,1,2,3,1,1,4
4440815;23;3041879;26;1283293;3;3.9443625122596515;17;5.99698746177873;53;4;10;6.02256254687515;65;2.0782000346154987;5.451124978365314;30;-0.5458624834134156;4;3;-0.3783625015747383;0.26693200814644796;-0.5458624834134085;68365073;17;15.394713132611919;1.6538461538461537;0.6153846153846154;5;16;5;3;2;1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,2,1,2,3,3,1,2,3,1,1,4
4679479;3;3948311;6;832847;3;1.1699250014423122;2;6.696237476201851;33;8;29;1.797000057692486;80;0.6270750562501739;6.451124978365314;30;-0.2451124978365371;8;26;-0.1698988864146287;0.028028130373884953;-0.24511249783653177;10528829;2;2.2500002671237547;2.0;0.6666666666666666;2;4;0;1;1;1,1,3,1,1,5
4899807;10;4414807;13;1862497;3;7.287225053365546;74;2.225562489182657;15;5;45;7.702262552644399;73;0.4150374992788528;2.0751874963942196;5;-0.15037499278843747;5;35;-0.10423169809463495;0.026294551400558388;-0.15037499278843924;24805277;4;5.062500829114289;1.6923076923076923;0.6923076923076923;4;9;1;1;2;1,1,1,1,3,1,2,1,1,4,1,1,4
2052377;1;1539283;3;865847;2;10.797000057692486;80;1.4902249956730635;6;5;68;11.797000057692486;80;1.0;1.0751874963942196;5;-0.4150374992788439;5;67;-0.2876819100384882;0.028919589932665548;-0.4150374992788439;2308925;2;1.1250004263349278;2.0;0.3333333333333333;1;1;1;1;0;2,1,3
2162171;6;1539281;8;432923;2;10.532337551202076;71;2.3202999942307514;8;5;73;11.797000057692486;80;1.26466250649041;1.8300749985576878;2;-0.49022499567306355;5;67;-0.3397973852365066;0.05921036653753892;-0.49022499567306355;4104749;5;1.8984386526320074;1.875;0.375;1;3;3;2;0;1,2,1,2,1,3,2,3
3869111;3;3264563;5;1836317;2;2.797000057692486;80;5.99698746177873;53;4;46;3.6270750562501775;78;0.8300749985576914;5.7518749639422;50;-0.24511249783653;7;79;-0.16989885491805268;0.08892814456271593;-0.24511249783653177;8705501;2;2.250000323071631;1.8;0.6;2;3;0;2;0;1,1,3,1,3
3919195;6;2790131;8;1569449;2;6.212037556971325;79;4.016537470432596;41;6;33;8.212037556971325;79;2.0;3.5263124747595356;35;-0.49022499567306;6;27;-0.33979772743483316;0.2798112723920892;-0.49022499567306355;9920465;4;2.5312506777539774;1.75;0.5;2;4;2;2;0;1,2,1,1,2,3,1,3
4409095;4;2790131;6;1569449;2;6.042112555529016;77;4.186462471874911;39;6;31;8.212037556971325;79;2.1699250014423086;3.5263124747595356;35;-0.6601499971153757;6;27;-0.4575809048436721;0.21980259547363548;-0.6601499971153757;9920465;2;2.2500002835048916;1.8333333333333333;0.5;2;3;1;2;0;1,1,2,3,1,3
