classe_mod;count;avg_first_descent;max_first_descent;no_descent_count;no_descent_ratio;avg_max_ratio;max_ratio;avg_final_ratio;max_final_ratio;min_final_ratio
63;4883;10.82817939791112;41;37;0.007577309031333196;11.80201188936407;3199.4638129355567;1.0176717757165485;674.8863881409843;0.00010998738291188701
223;4883;10.800737251689535;41;37;0.007577309031333196;8.647875001395597;1685.3192861684581;0.7385194429186738;337.4435276427766;0.0002933006676903435
935;4882;10.73453502662843;41;35;0.007169192953707497;6.804383133943373;998.7077794661443;0.573637896617888;84.36092819875883;3.666253602094164e-05
231;4883;10.804013925865247;41;35;0.0071677247593692405;8.535154358142654;5399.091787259494;1.7771116933670184;5399.091787259494;0.00016498106707313497
463;4883;10.790088060618473;41;35;0.0071677247593692405;7.853653704611546;2367.2989303627287;1.0639099278071045;1349.7726055040796;0.00021997494391193023
679;4883;10.792135981978292;41;32;0.006553348351423305;6.6470282202510615;887.736913364988;0.62959452527899;168.72160459153127;0.00013035546192389044
859;4882;10.780008193363376;41;31;0.006349856616140926;7.802976160580597;3599.394155134902;0.7276421413864909;337.4450410001597;0.00026071080078576077
207;4883;10.750972762645915;41;31;0.006348556215441327;6.908566776136749;842.6628322902004;0.8484131798804535;674.8872271161334;0.0002607191107108151
575;4883;6.0;6;0;0.0;7.593763426879359;7.605217391304348;0.4745769583106933;0.7123202001250781;8.690362388111584e-05
287;4883;6.0;6;0;0.0;5.062509955356071;5.076655052264808;0.47468176103442633;0.7142857142857143;8.690358883593348e-05
735;4883;6.0;6;0;0.0;5.062507851865184;5.068027210884353;0.47457698443526614;0.7123365548607163;4.3451799269018254e-05
367;4883;6.0;6;0;0.0;3.7968830784752137;3.8065395095367847;0.474550669445243;0.7124370956146657;8.690362388111584e-05
923;4882;6.0;6;0;0.0;3.7968832936118067;3.8017334777898157;0.4746375954222124;0.7123780174627632;8.690362388111584e-05
999;4882;6.0;6;0;0.0;3.796882148034384;3.800800800800801;0.4745832344124353;0.7123084527928819;0.00017380733121243576
815;4883;6.0;6;0;0.0;3.37500449715253;3.377914110429448;0.47468609037137927;0.7128834355828221;5.431505993666864e-06
975;4882;6.0;6;0;0.0;3.3750043480222702;3.3774358974358973;0.47456974485205355;0.7128205128205128;8.690362388111584e-05
347;4883;6.0;6;0;0.0;2.5312561465808088;2.5389048991354466;0.4745518603615083;0.712618526622903;2.1725942279185044e-05
423;4883;6.0;6;0;0.0;2.5312550013809894;2.5366430260047284;0.47454511283357775;0.7125086385625432;4.345180021348058e-05
583;4883;6.0;6;0;0.0;2.2500025375458788;2.2521440823327614;0.4745453409899611;0.7125077784691972;0.00017380730941319106
507;4883;6.0;6;0;0.0;1.8984427240835002;1.903353057199211;0.47456948972718943;0.712606139777923;8.690362388111584e-05
95;4883;5.0;5;0;0.0;5.062516010949475;5.105263157894737;0.9492219983753307;0.9578947368421052;0.9492189148680515
351;4883;5.0;5;0;0.0;5.062509369879913;5.074074074074074;0.474610325502241;0.4757834757834758;0.47460945742980476
607;4883;5.0;5;0;0.0;5.062508173999782;5.069192751235585;0.9492204083788036;0.9505766062602965;0.9492189148511683
863;4882;5.0;5;0;0.0;5.062507609430604;5.06720741599073;0.1581888907307534;0.23754345307068367;5.793573663546704e-05
79;4883;5.0;5;0;0.0;3.3750104080174275;3.4050632911392404;0.15822948951908047;0.24050632911392406;5.793577976819368e-05
