lambda;mu;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.4;0.15;2499999;3.487790995116398;2.8104191241676495;141;128;474527;139;2025333;0.18981087592435036;5.5600022240008896e-05;0.8101335240534097;126;3002707;80;45127;0.6773718709487484
0.4;0.2;2499999;3.487790995116398;2.74995189998076;141;81;504359;155;1995485;0.20174368069747228;6.200002480000992e-05;0.7981943192777277;80;1859241;80;45127;0.7378390951356381
0.4;0.25;2499999;3.487790995116398;2.6888670755468302;141;80;526354;170;1973475;0.21054168421667369;6.800002720001088e-05;0.7893903157561263;79;1859241;80;35655;0.7989239195695679
0.4;0.3;2499999;3.487790995116398;1.6740058696023479;141;66;1249930;512610;737459;0.49997219998888;0.2050440820176328;0.2949837179934872;65;1501353;93;601727;1.8137851255140502
0.4;0.4;2499999;3.487790995116398;1.7785623114249245;141;62;1249956;579594;670449;0.49998259999304;0.2318376927350771;0.2681797072718829;61;1501353;137;2533535;1.7092286836914734
0.4;0.5;2499999;3.487790995116398;1.9138063655225461;141;62;1249978;646669;603352;0.49999139999656;0.2586677034670814;0.24134089653635862;61;1501353;137;2252031;1.5739846295938518
0.45;0.05;2499999;3.487790995116398;2.9404587761835104;141;140;450966;132;2048901;0.18038647215458886;5.280002112000845e-05;0.8195607278242911;138;3002707;80;1784859;0.5473322189328875
0.45;0.1;2499999;3.487790995116398;2.8237571295028516;141;132;473868;144;2025987;0.18954727581891032;5.7600023040009215e-05;0.8103951241580497;126;3002707;80;401151;0.6640338656135463
0.45;0.15;2499999;3.487790995116398;2.742467096986839;141;128;511728;160;1988111;0.20469128187651275;6.400002560001024e-05;0.7952447180978872;126;3002707;80;45127;0.7453238981295592
0.45;0.2;2499999;3.487790995116398;2.68695107478043;141;81;527455;172;1972372;0.21098208439283375;6.8800027520011e-05;0.7889491155796462;80;1859241;80;35655;0.8008399203359682
0.45;0.25;2499999;3.487790995116398;1.6739038695615478;141;76;1249928;512484;737587;0.49997139998856;0.2049936819974728;0.2950349180139672;75;1859241;95;601727;1.8138871255548503
0.45;0.3;2499999;3.487790995116398;1.7145114858045942;141;66;1249943;532107;717949;0.49997739999095997;0.21284288513715405;0.2871797148718859;65;4957977;112;3137471;1.7732795093118037
0.45;0.4;2499999;3.487790995116398;1.8266211306484523;141;62;1249967;598557;651475;0.4999869999948;0.23942289576915832;0.2605901042360417;61;1501353;137;2533535;1.6611698644679458
0.45;0.5;2499999;3.487790995116398;1.9467863787145514;141;61;1249978;655768;594253;0.49999139999656;0.262307304922922;0.23770129508051804;60;4504061;138;2252031;1.5410046164018465
0.5;0.05;2499999;3.487790995116398;2.8740427496170997;141;140;481040;151;2018808;0.1924160769664308;6.0400024160009664e-05;0.8075235230094092;138;3002707;80;601727;0.6137482454992982
0.5;0.1;2499999;3.487790995116398;2.7523287009314803;141;128;512424;162;1987413;0.2049696819878728;6.480002592001036e-05;0.7949655179862072;126;3002707;80;45127;0.7354622941849177
0.5;0.15;2499999;3.487790995116398;2.68693107477243;141;117;527585;175;1972239;0.21103408441363378;7.00000280000112e-05;0.7888959155583662;115;3002707;80;35655;0.8008599203439681
0.5;0.2;2499999;3.487790995116398;1.6738514695405877;141;80;1249927;512429;737643;0.4999709999884;0.2049716819886728;0.29505731802292723;79;1859241;98;601727;1.8139395255758102
0.5;0.25;2499999;3.487790995116398;1.7090174836069933;141;68;1249943;531615;718441;0.49997739999095997;0.21264608505843402;0.28737651495060595;67;1501353;113;3137471;1.7787735115094045
0.5;0.3;2499999;3.487790995116398;1.762461504984602;141;65;1249951;573249;676799;0.49998059999224;0.22929969171987669;0.27071970828788333;64;1501353;137;2533535;1.7253294901317962
0.5;0.4;2499999;3.487790995116398;1.861815544726218;141;62;1249970;608642;641387;0.49998819999528;0.24345689738275894;0.25655490262196107;61;1501353;137;1689023;1.6259754503901802
0.5;0.5;2499999;3.487790995116398;2.0105756042302416;141;52;1249982;729932;520085;0.4999929999972;0.2919729167891667;0.2080340832136333;51;62277;138;2252031;1.4772153908861563
0.55;0.05;2499999;3.487790995116398;2.787129914851966;141;140;509239;170;1990590;0.20369568147827258;6.800002720001088e-05;0.7962363184945274;138;3002707;80;601727;0.7006610802644321
0.55;0.1;2499999;3.487790995116398;2.6900834760333905;141;128;527500;178;1972321;0.21100008440003376;7.12000284800114e-05;0.7889287155714862;126;3002707;80;45127;0.7977075190830076
