step;value;v2;ratio_to_start;log_value;cumulative_v2;critical_required_v2;surplus_v2;avg_v2_so_far;consecutive_v2_1;phase
16;249692159;1;82.10514029831704;19.33573935307494;19;25.359400011538497;-6.359400011538497;1.1875;1;ascesa
17;374538239;1;123.15771061188829;19.74120446251808;20;26.94436251225965;-6.9443625122596515;1.1764705882352942;2;ascesa
18;561807359;1;184.73656608224516;20.14666957151623;21;28.52932501298081;-7.529325012980809;1.1666666666666667;3;ascesa
19;842711039;1;277.1048492877805;20.55213468021772;22;30.114287513701967;-8.114287513701967;1.1578947368421053;4;ascesa
20;1264066559;1;415.6572740960835;20.95759978872143;23;31.69925001442312;-8.699250014423122;1.15;5;ascesa
21;1896099839;1;623.4859113085379;21.363064897093295;24;33.284212515144276;-9.284212515144276;1.1428571428571428;6;ascesa
22;2844149759;1;935.2288671272196;21.768530005377258;25;34.86917501586544;-9.869175015865437;1.1363636363636365;7;ascesa
23;4266224639;1;1402.8433008552422;22.173995113602622;26;36.45413751658659;-10.454137516586592;1.1304347826086956;8;ascesa
24;6399336959;1;2104.264951447276;22.57946022178892;27;38.039100017307746;-11.039100017307746;1.125;9;ascesa
25;9599005439;1;3156.3974273353265;22.984925329949174;28;39.6240625180289;-11.6240625180289;1.12;10;ascesa
26;14398508159;1;4734.5961411674025;23.390390438092062;29;41.209025018750054;-12.209025018750054;1.1153846153846154;11;ascesa
27;21597762239;1;7101.894211915517;23.79585554622338;30;42.793987519471216;-12.793987519471216;1.1111111111111112;12;ascesa
28;32396643359;1;10652.841318037688;24.201320654346976;31;44.37895002019237;-13.37895002019237;1.1071428571428572;13;ascesa
29;48594965039;1;15979.261977220945;24.60678576246543;32;45.963912520913524;-13.963912520913524;1.103448275862069;14;ascesa
30;72892447559;1;23968.89296599583;25.012250870580456;33;47.548875021634686;-14.548875021634686;1.1;15;ascesa
31;109338671339;1;35953.33944915816;25.41771597869319;34;49.13383752235584;-15.13383752235584;1.096774193548387;16;ascesa
32;164008007009;1;53930.00917390165;25.823181086804404;35;50.718800023076994;-15.718800023076994;1.09375;17;ascesa
33;123006005257;2;40447.506880508445;25.535499014354656;37;52.30376252379815;-15.303762523798149;1.121212121212121;0;ascesa
34;92254503943;2;30335.630160463537;25.247816941905587;39;53.8887250245193;-14.888725024519303;1.1470588235294117;0;ascesa
35;138381755915;1;45503.44524085972;25.653282050017364;40;55.473687525240464;-15.473687525240464;1.1428571428571428;1;ascesa
36;207572633873;1;68255.167861454;26.058747158127936;41;57.05865002596162;-16.05865002596162;1.1388888888888888;2;picco
37;155679475405;2;51191.3758961727;25.771065085677762;43;58.64361252668277;-15.643612526682773;1.162162162162162;0;discesa_post_picco
38;58379803277;3;19196.765961105866;24.790235832668177;46;60.228575027403934;-14.228575027403934;1.2105263157894737;0;discesa_post_picco
39;21892426229;3;7198.787235455803;23.80940657966216;49;61.81353752812509;-12.813537528125089;1.2564102564102564;0;discesa_post_picco
40;2052414959;5;674.8863033342574;21.44228296554577;54;63.39850002884624;-9.398500028846243;1.35;0;discesa_post_picco
41;3078622439;1;1012.3294551657988;21.847748073816344;55;64.9834625295674;-9.983462529567404;1.3414634146341464;1;discesa_post_picco
42;4617933659;1;1518.4941829131108;22.25321318203278;56;66.56842503028855;-10.568425030288552;1.3333333333333333;2;discesa_post_picco
43;6926900489;1;2277.741274534079;22.65867829021313;57;68.15338753100971;-11.153387531009713;1.3255813953488371;3;discesa_post_picco
44;5195175367;2;1708.3059559827657;22.370996217809466;59;69.73835003173087;-10.738350031730874;1.3409090909090908;0;discesa_post_picco
45;7792763051;1;2562.4589341385613;22.776461325981796;60;71.32331253245202;-11.323312532452022;1.3333333333333333;1;discesa_post_picco
46;11689144577;1;3843.6884013722542;23.181926434132734;61;72.90827503317318;-11.908275033173183;1.326086956521739;2;discesa_post_picco
47;8766858433;2;2882.7663011113973;22.894244361709468;63;74.49323753389433;-11.49323753389433;1.3404255319148937;0;discesa_post_picco
48;6575143825;2;2162.0747259157542;22.60656228929571;65;76.07820003461549;-11.078200034615492;1.3541666666666667;0;discesa_post_picco
49;4931357869;2;1621.556044519022;22.318880216894627;67;77.66316253533665;-10.663162535336653;1.3673469387755102;0;discesa_post_picco
50;1849259201;3;608.0835167357365;21.338050963950494;70;79.2481250360578;-9.2481250360578;1.4;0;discesa_post_picco
51;1386944401;2;456.0626376340087;21.050368891678964;72;80.83308753677896;-8.833087536778962;1.411764705882353;0;discesa_post_picco
