ANALISI PEGGIORAMENTI CANDIDATO PRUDENTE
========================================================================================================================

H(n) = log(n) + 0.3*Dmax80(n) - 0.04*Cmax80(n)
LIMIT = 5000000
MAX_BLOCK_STEPS = 300
LOOKAHEAD = 80

Peggioramenti trovati: 86
Loss medio: 25.744186
Initial Dmax medio: 6.575386
Initial Cmax medio: 2.791062
Dmax at log step medio: 8.123246
Cmax at log step medio: 2.437627
Ratio v2=1 medio fino a H descent: 0.533168
Max ratio medio: 1054.573598

Top 30 per loss
------------------------------------------------------------------------------------------------------------------------
n=   2162171 | log_step=   6 | h_step=   8 | loss=   2 | dmax0=10.532338 | cmax0=2.320300 | dmax_log=11.797000 | cmax_log=1.830075 | dmax_delta=+1.264663 | cmax_delta=-0.490225 | h_delta_log=+0.059210 | max_ratio=1.898 | ratio_1=0.375000
n=   2736503 | log_step=   3 | h_step=   4 | loss=   1 | dmax0=10.212038 | cmax0=1.905262 | dmax_log=11.797000 | cmax_log=1.660150 | dmax_delta=+1.584963 | cmax_delta=-0.245112 | h_delta_log=+0.315394 | max_ratio=2.250 | ratio_1=0.500000
n=   4010209 | log_step=   1 | h_step=   2 | loss=   1 | dmax0=10.797000 | cmax0=0.830075 | dmax_log=11.797000 | cmax_log=0.415037 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=1.000 | ratio_1=0.000000
n=   4104755 | log_step=   2 | h_step=   3 | loss=   1 | dmax0=9.797000 | cmax0=2.490225 | dmax_log=11.797000 | cmax_log=1.660150 | dmax_delta=+2.000000 | cmax_delta=-0.830075 | h_delta_log=+0.057839 | max_ratio=1.500 | ratio_1=0.333333
n=   1896063 | log_step=  16 | h_step= 110 | loss=  94 | dmax0=9.212038 | cmax0=1.375937 | dmax_log=11.362413 | cmax_log=0.735337 | dmax_delta=+2.150375 | cmax_delta=-0.640600 | h_delta_log=+0.226707 | max_ratio=4333.203 | ratio_1=0.672727
n=   2959003 | log_step=  31 | h_step=  96 | loss=  65 | dmax0=8.342863 | cmax0=0.866162 | dmax_log=11.342863 | cmax_log=0.000000 | dmax_delta=+3.000000 | cmax_delta=-0.866162 | h_delta_log=+0.334269 | max_ratio=1424.957 | ratio_1=0.645833
n=   3328879 | log_step=  29 | h_step=  94 | loss=  65 | dmax0=8.172938 | cmax0=1.036087 | dmax_log=11.342863 | cmax_log=0.000000 | dmax_delta=+3.169925 | cmax_delta=-1.036087 | h_delta_log=+0.274261 | max_ratio=1266.628 | ratio_1=0.648936
n=   4752839 | log_step=   5 | h_step=   6 | loss=   1 | dmax0=10.532338 | cmax0=1.490225 | dmax_log=11.212038 | cmax_log=1.415037 | dmax_delta=+0.679700 | cmax_delta=-0.075187 | h_delta_log=+0.154802 | max_ratio=2.250 | ratio_1=0.333333
n=   4104753 | log_step=   1 | h_step=   2 | loss=   1 | dmax0=9.797000 | cmax0=2.830075 | dmax_log=10.797000 | cmax_log=2.415037 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=1.000 | ratio_1=0.000000
n=   2399695 | log_step=   8 | h_step=   9 | loss=   1 | dmax0=9.797000 | cmax0=3.150375 | dmax_log=10.702263 | cmax_log=2.830075 | dmax_delta=+0.905262 | cmax_delta=-0.320300 | h_delta_log=+0.062376 | max_ratio=3.375 | ratio_1=0.555556
n=   4993319 | log_step=   5 | h_step=  93 | loss=  88 | dmax0=7.587975 | cmax0=1.621050 | dmax_log=9.797000 | cmax_log=1.545862 | dmax_delta=+2.209025 | cmax_delta=-0.075187 | h_delta_log=+0.613599 | max_ratio=844.419 | ratio_1=0.645161
n=   1240057 | log_step=   1 | h_step=  30 | loss=  29 | dmax0=8.797000 | cmax0=2.356387 | dmax_log=9.797000 | cmax_log=1.941350 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=55.484 | ratio_1=0.666667
n=   4213113 | log_step=   1 | h_step=  25 | loss=  24 | dmax0=8.797000 | cmax0=1.375937 | dmax_log=9.797000 | cmax_log=0.960900 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=41.053 | ratio_1=0.600000
n=   3199593 | log_step=   1 | h_step=  10 | loss=   9 | dmax0=8.797000 | cmax0=3.565412 | dmax_log=9.797000 | cmax_log=3.150375 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=2.531 | ratio_1=0.500000
