pattern;length;sum_v2;modulus_power;modulus;num_odd_classes;solutions_count;density_among_odds;first_solution;solutions_preview
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;53;53;54;18014398509481984;9007199254740992;1;1.1102230246251565e-16;18014398509481983;18014398509481983
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;54;54;55;36028797018963968;18014398509481984;1;5.551115123125783e-17;36028797018963967;36028797018963967
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;55;55;56;72057594037927936;36028797018963968;1;2.7755575615628914e-17;72057594037927935;72057594037927935
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;56;56;57;144115188075855872;72057594037927936;1;1.3877787807814457e-17;144115188075855871;144115188075855871
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;57;57;58;288230376151711744;144115188075855872;1;6.938893903907228e-18;288230376151711743;288230376151711743
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;58;58;59;576460752303423488;288230376151711744;1;3.469446951953614e-18;576460752303423487;576460752303423487
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;59;59;60;1152921504606846976;576460752303423488;1;1.734723475976807e-18;1152921504606846975;1152921504606846975
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;60;60;61;2305843009213693952;1152921504606846976;1;8.673617379884035e-19;2305843009213693951;2305843009213693951
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;61;61;62;4611686018427387904;2305843009213693952;1;4.336808689942018e-19;4611686018427387903;4611686018427387903
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;62;62;63;9223372036854775808;4611686018427387904;1;2.168404344971009e-19;9223372036854775807;9223372036854775807
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;63;63;64;18446744073709551616;9223372036854775808;1;1.0842021724855044e-19;18446744073709551615;18446744073709551615
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;64;64;65;36893488147419103232;18446744073709551616;1;5.421010862427522e-20;36893488147419103231;36893488147419103231
