start;log_step;log_value;h_step;h_value;loss;initial_dmax;initial_dmax_step;initial_cmax;initial_cmax_step;initial_pmax;initial_pmax_step;initial_pavg;initial_longest_run_1;dmax_at_log_step;dmax_step_at_log_step;dmax_delta_at_log_step;cmax_at_log_step;cmax_step_at_log_step;cmax_delta_at_log_step;pmax_at_log_step;pmax_step_at_log_step;pmax_delta_at_log_step;pavg_at_log_step;longest_run_1_future_at_log_step;max_single_v2_at_log_step;max_single_v2_step_at_log_step;log_delta_at_log_step;h_delta_at_log_step;local_debt_at_log_step;max_value;max_value_step;max_ratio;avg_v2_until_h;ratio_1_until_h;max_run_1_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;prefix_120_v2;classification
1240057;1;930043;30;453535;29;8.797000057692486;80;2.356387473317227;37;0.7692307692307693;13;0.7;8;9.797000057692486;80;1.0;1.9413499740383813;36;-0.4150374992788457;1.0;1;0.23076923076923073;0.7125;8;6;28;-0.2876818036469704;0.07400009056216206;-0.4150374992788439;68802929;27;55.48368260491252;1.6333333333333333;0.6666666666666666;8;20;7;0;3;2,1,2,1,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4;VERO_RIBELLE+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX
3096647;10;2790131;38;453535;28;5.6270750562501775;78;3.6766874675479784;45;1.0;1;0.675;8;8.212037556971325;79;2.584962500721147;3.5263124747595356;35;-0.1503749927884428;1.0;1;0.0;0.7;8;6;27;-0.104231365086493;0.6240693848990801;-0.15037499278843924;68802929;35;22.218525069211957;1.6578947368421053;0.631578947368421;8;24;9;2;3;1,1,2,2,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4;VERO_RIBELLE+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
2064431;13;1569449;39;453535;26;6.212037556971325;79;3.091724966826817;46;1.0;1;0.6875;8;9.042112555529016;77;2.8300749985576914;2.6962374762018513;33;-0.3954874906249657;0.8888888888888888;9;-0.11111111111111116;0.7;8;6;25;-0.2741300413024259;0.49682224967914124;-0.3954874906249728;68802929;36;33.32779298508887;1.641025641025641;0.6410256410256411;8;25;9;2;3;1,1,1,2,2,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4;VERO_RIBELLE+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
2752575;14;1569449;40;453535;26;5.797000057692486;80;3.5067624661056698;47;1.0;1;0.7125;8;9.042112555529016;77;3.24511249783653;2.6962374762018513;33;-0.8105249899038185;0.8888888888888888;9;-0.11111111111111116;0.7;8;6;25;-0.561812234852944;0.33780168090506635;-0.8105249899038149;68802929;37;24.99584171185163;1.65;0.675;8;27;7;2;4;1,1,1,1,1,4,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4;VERO_RIBELLE+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX
438699;3;370153;28;71311;25;3.927825041827049;58;3.2811999769230056;32;1.0;1;0.6;7;5.212037556971325;79;1.2842125151442758;3.0360874790864756;29;-0.24511249783653;0.75;4;-0.25;0.6125;7;8;25;-0.16989709502889028;0.12203578414660043;-0.24511249783653177;6085205;27;13.871025463928571;1.6785714285714286;0.5714285714285714;5;16;10;1;1;1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,2,2,3,1,2,2,1,1,1,1,1,8;VERO_RIBELLE+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
1376287;15;1177087;40;453535;25;6.797000057692486;80;2.5067624661056698;47;1.0;1;0.7;8;9.457150054807869;76;2.660149997115383;2.2811999769230056;32;-0.2255624891826642;1.0;1;0.0;0.7;8;6;24;-0.15634655105978368;0.5952623228080007;-0.2255624891826571;68802929;37;49.99170158549779;1.625;0.65;8;26;9;2;3;1,1,1,1,2,2,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4;VERO_RIBELLE+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX
4893471;17;4708349;42;453535;25;3.8135375281250887;39;4.336837464663347;49;1.0;1;0.7;7;7.457150054807869;76;3.64361252668278;4.281199976923006;32;-0.055637487740341385;0.875;8;-0.125;0.6875;7;6;24;-0.03856455184501861;0.9458160802583642;-0.05563748774034849;68802929;39;14.060148512170604;1.6666666666666667;0.6666666666666666;7;28;8;2;4;1,1,1,1,2,3,1,1,2,1,2,1,1,1,1,2,5,3,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4;VERO_RIBELLE+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX
4213113;1;3159835;25;1623323;24;8.797000057692486;80;1.3759374819710999;25;0.8181818181818182;11;0.675;9;9.797000057692486;80;1.0;0.9608999826922542;24;-0.4150374992788457;1.0;1;0.18181818181818177;0.6875;10;5;23;-0.2876819933337238;0.059314586190097884;-0.4150374992788439;172959137;16;41.052574901266595;1.64;0.6;8;15;6;3;1;2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,2,2,3,1,5,3;VERO_RIBELLE+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
4644975;13;1765631;37;453535;24;5.042112555529016;77;4.261649968269126;44;1.0;1;0.7;7;8.872187554086707;75;3.8300749985576914;2.86616247764416;31;-1.3954874906249657;1.0;1;0.0;0.7;7;6;23;-0.96727785654301;0.14700776777189617;-1.3954874906249728;68802929;34;14.812335696101702;1.6756756756756757;0.6756756756756757;7;25;7;1;4;1,1,1,2,1,2,1,1,1,1,2,5,3,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4;VERO_RIBELLE+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX
4993319;5;4739753;28;1623323;23;7.587975038942432;54;1.6210499798076299;28;1.0;1;0.6625;8;9.797000057692486;80;2.2090250187500544;1.5458624834134085;23;-0.0751874963942214;0.8888888888888888;9;-0.11111111111111116;0.6875;11;5;22;-0.05211579427826507;0.5353335025302428;-0.07518749639421962;172959137;19;34.63811084370936;1.6428571428571428;0.6071428571428571;8;17;6;4;1;1,1,2,1,3,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,2,2,3,1,5,3;VERO_RIBELLE+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
