start;log_step;log_value;h_step;h_value;loss;initial_debt;initial_debt_step;debt_at_log_descent;debt_step_at_log_descent;log_delta_at_log_descent;h_delta_at_log_descent;ratio_at_log_descent;v2_at_log_descent
1883311;5;1787675;42;349097;37;6.797000057692486;80;7.457150054807869;76;-0.05211550512101937;0.27795949343667203;0.9492192208296983;3
4409091;2;1240057;39;242159;37;6.042112555529016;77;8.797000057692486;80;-1.2685111994612264;0.10893255162050863;0.2812500354381436;4
1240057;1;930043;37;242159;36;8.797000057692486;80;9.797000057692486;80;-0.2876818036469704;0.2123181963530314;0.750000201603636;2
3306819;2;930043;38;242159;36;6.797000057692486;80;9.797000057692486;80;-1.2685111574605088;0.2314888425394912;0.2812500472508474;4
3766623;5;1787675;40;1241233;35;5.797000057692486;80;7.457150054807869;76;-0.7452629511708029;0.0848120473868903;0.474609484410837;5
3919195;6;2790131;41;242159;35;6.212037556971325;79;8.212037556971325;79;-0.33979772743483316;0.6602022725651651;0.7119143089333396;3
4409095;4;2790131;39;242159;35;6.042112555529016;77;8.212037556971325;79;-0.4575809048436721;0.6273815958774804;0.6328126293491068;3
3762217;1;2821663;35;326527;34;3.2120375569713246;79;3.797000057692486;80;-0.2876819838515452;0.004799266509035505;0.7500000664501808;2
3439209;1;2579407;31;235847;30;2.2120375569713246;79;2.797000057692486;80;-0.2876819755302744;0.004799274830304512;0.7500000726911333;2
438699;3;370153;32;45127;29;3.927825041827049;58;5.212037556971325;79;-0.16989709502889028;0.47220916254324763;0.8437516383670809;2
4585611;3;1934555;32;235847;29;1.797000057692486;80;3.797000057692486;80;-0.8630460315890911;0.13695396841090712;0.4218750783701452;3
2480115;2;1395065;30;453535;28;7.797000057692486;80;9.212037556971325;79;-0.5753639208996386;0.1321548287397789;0.5625001260022217;3
1039879;4;658049;31;71311;27;2.682712543990519;61;3.797000057692486;80;-0.4575802425750197;0.09956351427596388;0.6328130484412129;3
658049;1;493537;27;71311;26;3.797000057692486;80;4.797000057692486;80;-0.28768156590401794;0.21231843409598206;0.7500003799109185;2
1754395;30;1283293;56;92713;26;5.284212515144276;21;7.26767504471168;62;-0.3126946375740136;0.6790366272096904;0.731473242912799;4
877399;3;370153;28;71311;25;2.927825041827049;58;5.212037556971325;79;-0.8630454153218086;0.27906084225032934;0.42187533835803326;4
2579407;6;1836317;30;235847;24;2.797000057692486;80;4.457150054807869;76;-0.3397975923071854;0.490277406250506;0.7119144051326526;3
2814235;10;2535673;34;651335;24;4.947375050480929;70;5.702262552644399;73;-0.1042313811782698;0.2732123699034652;0.9010167949727013;2
3166015;8;2535673;32;651335;24;4.797000057692486;80;5.702262552644399;73;-0.2220146142437187;0.2306166332322377;0.8009036596478538;2
4268855;3;3601847;27;462601;24;5.797000057692486;80;7.212037556971325;79;-0.16989887194940323;0.5376198776900125;0.8437501390888189;3
1316103;4;832847;27;71311;23;2.797000057692486;80;4.042112555529016;77;-0.45758042447230984;0.16497582444595515;0.6328129333342452;3
2339739;6;832847;29;71311;23;1.9248125036057804;5;4.042112555529016;77;-1.032944711841914;0.025705314119703004;0.35595722428869203;5
3201641;1;2401231;23;1096535;22;6.797000057692486;80;7.797000057692486;80;-0.2876819683385108;0.21231803166148921;0.7500000780849571;2
3746919;14;1068199;36;121951;22;3.8496250072115608;10;7.532337551202076;71;-1.2549598495152416;0.5863964224800142;0.2850872943877356;4
2821663;14;1608841;34;326527;20;3.797000057692486;80;5.777450049038606;68;-0.5618123834627564;0.4284126122103018;0.5701747515560859;4
3509577;1;2632183;17;211051;16;0.9278250418270488;58;1.797000057692486;80;-0.2876819774735768;0.1469055304591418;0.7500000712336558;2
3947391;25;3041879;41;121951;16;4.114287513701967;19;6.02256254687515;65;-0.2605794377703692;0.6935580788162241;0.7706049388064167;3
3119623;4;1974137;19;211051;15;1.1699250014423122;2;2.797000057692486;80;-0.4575808203550782;0.35595670777000876;0.632812682814558;3
1973695;28;1283293;41;121951;13;5.114287513701967;19;7.26767504471168;62;-0.4304779898953832;0.6462157756094733;0.6501982322496637;4
2960543;27;1283293;40;121951;13;4.529325012980809;18;7.26767504471168;62;-0.8359432668914994;0.533231748973936;0.43346541495935037;4
4679435;3;1974137;16;750403;13;0.5849625007211561;1;2.797000057692486;80;-0.8630460353137543;0.24297274317191153;0.42187507679880154;3
2632183;3;2220905;14;750403;11;1.797000057692486;80;2.6270750562501775;78;-0.16989876944939297;0.24513872982945273;0.8437502255732219;3
4519073;1;3389305;12;1145183;11;4.797000057692486;80;5.797000057692486;80;-0.28768199869034383;0.21231800130965794;0.7500000553210803;2
3199593;1;2399695;10;360361;9;8.797000057692486;80;9.797000057692486;80;-0.287681968271869;0.21231803172813102;0.7500000781349377;2
4799401;1;3599551;10;1081085;9;8.797000057692486;80;9.797000057692486;80;-0.28768200299867175;0.21231799700132825;0.7500000520898337;2
1316091;8;1054063;16;211051;8;2.797000057692486;80;3.702262552644399;73;-0.22201375881972574;0.23061748865623066;0.8009043447603548;4
4266123;3;1799771;11;360361;8;8.212037556971325;79;10.797000057692486;80;-0.8630460176771422;0.42943523268343853;0.4218750842392495;3
4799389;1;1799771;9;360361;8;8.797000057692486;80;10.797000057692486;80;-0.9808291835584448;0.01917081644155516;0.37500002604498195;3
4016943;6;2859719;13;381727;7;4.398500028846243;40;6.042112555529016;77;-0.33979779732617743;0.4820084660152091;0.7119142591766924;3
4440815;23;3041879;29;270695;6;3.9443625122596515;17;6.02256254687515;65;-0.3783625015747383;0.6607375157330111;0.6849821485470572;3
3492335;22;3189583;27;3027613;5;6.00301253822127;53;6.192487548317459;67;-0.09068037968957121;0.0040571253585213185;0.9133095765440601;4
1934555;5;1836317;9;581023;4;3.797000057692486;80;4.457150054807869;76;-0.05211539062672621;0.27795960793096697;0.9492193295098873;3
4031579;49;3192107;53;1010003;4;5.37895002019237;28;6.303762523798149;33;-0.23347691030594042;0.2289293414969471;0.7917758773919599;3
4960191;15;2121131;19;1342279;4;6.797000057692486;80;8.607525047596297;66;-0.8494948110654761;0.05576768388642961;0.42763091179351764;3
2339731;2;1316099;5;277615;3;1.5127875425482102;59;2.797000057692486;80;-0.5753639074593906;0.06674235011274732;0.5625001335623625;3
3869111;3;3264563;6;688619;3;2.797000057692486;80;3.6270750562501775;78;-0.16989885491805268;0.24513864436079302;0.8437501534590246;3
4679479;3;3948311;6;832847;3;1.1699250014423122;2;1.797000057692486;80;-0.1698988864146287;0.14363864171045648;0.8437501268837835;3
4799403;3;4049497;6;854191;3;8.797000057692486;80;9.627075056250177;78;-0.169898859304201;0.2451386399746447;0.8437501497582095;2
4899807;10;4414807;13;1862497;3;7.287225053365546;74;7.702262552644399;73;-0.10423169809463495;0.10328705154479323;0.9010165094257794;4
2177691;15;1862497;17;1047655;2;8.457150054807869;76;8.947375050480929;70;-0.15634708063554115;0.08876541720098885;0.8552622938699751;4
2389083;56;1010003;58;568127;2;6.13383752235584;31;7.963912520913524;29;-0.8609563091644894;0.05408119011435275;0.4227576019753186;3
2632217;1;1974163;3;1110467;2;2.189475010096185;14;2.797000057692486;80;-0.2876819458158266;0.016080577982323874;0.7500000949769718;2
2687719;54;1010003;56;568127;2;5.963912520913524;29;7.963912520913524;29;-0.9787395773600913;0.02126042263990513;0.37578444770454056;3
4104749;1;1539281;3;432923;2;9.797000057692486;80;11.797000057692486;80;-0.9808291718049773;0.019170828195022693;0.37500003045253194;3
4679467;3;3948301;5;277615;2;0.5849625007211561;1;1.797000057692486;80;-0.16989885475505417;0.4361199237306117;0.8437501535965528;2
1539281;1;1154461;2;432923;1;11.797000057692486;80;12.797000057692486;80;-0.2876818559004839;0.2123181440995161;0.7500001624134904;2
2399695;8;1921925;9;360361;1;9.797000057692486;80;10.702262552644399;73;-0.22201435801030556;0.23061688946565084;0.80090386486616;3
2442615;3;2060957;4;772859;1;3.2120375569713246;79;3.6270750562501775;78;-0.16989874870103883;0.03762000093838935;0.8437502430796503;3
2449903;13;1862497;14;1396873;1;8.287225053365546;74;8.947375050480929;70;-0.2741303714040981;0.055944627153593274;0.7602329561619379;4
2580967;18;1862497;19;1396873;1;8.212037556971325;79;8.947375050480929;70;-0.3262460743807516;0.041422672374046954;0.7216275915189927;4
2632203;3;1110461;4;416423;1;1.797000057692486;80;3.6270750562501775;78;-0.8630458937284367;0.05199160555040905;0.42187513653012326;3
