T;src;dst;count;weight_sum;source_count;normalized_weight
8;v2=1|odd=1|h=1;v2=0|odd=3|h=2;1;0.5;32;0.015625
8;v2=1|odd=1|h=2;v2=0|odd=3|h=3;1;0.5;32;0.015625
8;v2=1|odd=1|h=3;v2=0|odd=3|h=0;1;0.5;32;0.015625
10;v2=2|odd=3|h=0;v2=0|odd=3|h=1;9;3.875;64;0.060546875
10;v2=2|odd=3|h=1;v2=0|odd=3|h=2;9;3.875;64;0.060546875
10;v2=2|odd=3|h=2;v2=0|odd=3|h=3;9;3.875;64;0.060546875
10;v2=2|odd=3|h=3;v2=0|odd=3|h=0;9;3.875;64;0.060546875
10;v2=0|odd=3|h=0;v2=0|odd=1|h=1;9;1.640625;256;0.00640869140625
10;v2=0|odd=3|h=1;v2=0|odd=1|h=2;9;1.640625;256;0.00640869140625
10;v2=0|odd=3|h=2;v2=0|odd=1|h=3;9;1.640625;256;0.00640869140625
10;v2=0|odd=3|h=3;v2=0|odd=1|h=0;9;1.640625;256;0.00640869140625
10;v2=2|odd=3|h=0;v2=0|odd=1|h=1;8;3.0;64;0.046875
10;v2=2|odd=3|h=1;v2=0|odd=1|h=2;8;3.0;64;0.046875
10;v2=2|odd=3|h=2;v2=0|odd=1|h=3;8;3.0;64;0.046875
10;v2=2|odd=3|h=3;v2=0|odd=1|h=0;8;3.0;64;0.046875
10;v2=0|odd=1|h=0;v2=0|odd=1|h=1;7;1.78125;256;0.0069580078125
10;v2=0|odd=1|h=1;v2=0|odd=1|h=2;7;1.78125;256;0.0069580078125
10;v2=0|odd=1|h=2;v2=0|odd=1|h=3;7;1.78125;256;0.0069580078125
10;v2=0|odd=1|h=3;v2=0|odd=1|h=0;7;1.78125;256;0.0069580078125
10;v2=0|odd=3|h=0;v2=0|odd=3|h=1;5;1.125;256;0.00439453125
10;v2=0|odd=3|h=1;v2=0|odd=3|h=2;5;1.125;256;0.00439453125
10;v2=0|odd=3|h=2;v2=0|odd=3|h=3;5;1.125;256;0.00439453125
10;v2=0|odd=3|h=3;v2=0|odd=3|h=0;5;1.125;256;0.00439453125
10;v2=0|odd=1|h=0;v2=0|odd=3|h=1;5;1.25;256;0.0048828125
10;v2=0|odd=1|h=1;v2=0|odd=3|h=2;5;1.25;256;0.0048828125
10;v2=0|odd=1|h=2;v2=0|odd=3|h=3;5;1.25;256;0.0048828125
10;v2=0|odd=1|h=3;v2=0|odd=3|h=0;5;1.25;256;0.0048828125
10;v2=2|odd=3|h=0;v2=1|odd=3|h=1;5;1.5;64;0.0234375
10;v2=2|odd=3|h=1;v2=1|odd=3|h=2;5;1.5;64;0.0234375
10;v2=2|odd=3|h=2;v2=1|odd=3|h=3;5;1.5;64;0.0234375
10;v2=2|odd=3|h=3;v2=1|odd=3|h=0;5;1.5;64;0.0234375
10;v2=0|odd=1|h=0;v2=1|odd=1|h=1;4;0.765625;256;0.00299072265625
10;v2=0|odd=1|h=1;v2=1|odd=1|h=2;4;0.765625;256;0.00299072265625
10;v2=0|odd=1|h=2;v2=1|odd=1|h=3;4;0.765625;256;0.00299072265625
10;v2=0|odd=1|h=3;v2=1|odd=1|h=0;4;0.765625;256;0.00299072265625
10;v2=2|odd=3|h=0;v2=1|odd=1|h=1;4;1.5;64;0.0234375
10;v2=2|odd=3|h=1;v2=1|odd=1|h=2;4;1.5;64;0.0234375
10;v2=2|odd=3|h=2;v2=1|odd=1|h=3;4;1.5;64;0.0234375
10;v2=2|odd=3|h=3;v2=1|odd=1|h=0;4;1.5;64;0.0234375
10;v2=0|odd=3|h=0;v2=1|odd=3|h=1;4;0.78125;256;0.0030517578125
10;v2=0|odd=3|h=1;v2=1|odd=3|h=2;4;0.78125;256;0.0030517578125
10;v2=0|odd=3|h=2;v2=1|odd=3|h=3;4;0.78125;256;0.0030517578125
10;v2=0|odd=3|h=3;v2=1|odd=3|h=0;4;0.78125;256;0.0030517578125
10;v2=0|odd=3|h=0;v2=1|odd=1|h=1;4;0.3125;256;0.001220703125
10;v2=0|odd=3|h=1;v2=1|odd=1|h=2;4;0.3125;256;0.001220703125
10;v2=0|odd=3|h=2;v2=1|odd=1|h=3;4;0.3125;256;0.001220703125
10;v2=0|odd=3|h=3;v2=1|odd=1|h=0;4;0.3125;256;0.001220703125
10;v2=0|odd=3|h=0;v2=2|odd=1|h=1;3;0.6875;256;0.002685546875
10;v2=0|odd=3|h=1;v2=2|odd=1|h=2;3;0.6875;256;0.002685546875
10;v2=0|odd=3|h=2;v2=2|odd=1|h=3;3;0.6875;256;0.002685546875
10;v2=0|odd=3|h=3;v2=2|odd=1|h=0;3;0.6875;256;0.002685546875
10;v2=0|odd=1|h=0;v2=1|odd=3|h=1;3;0.75;256;0.0029296875
10;v2=0|odd=1|h=1;v2=1|odd=3|h=2;3;0.75;256;0.0029296875
10;v2=0|odd=1|h=2;v2=1|odd=3|h=3;3;0.75;256;0.0029296875
10;v2=0|odd=1|h=3;v2=1|odd=3|h=0;3;0.75;256;0.0029296875
10;v2=0|odd=3|h=0;v2=2|odd=3|h=1;2;0.75;256;0.0029296875
10;v2=0|odd=3|h=1;v2=2|odd=3|h=2;2;0.75;256;0.0029296875
10;v2=0|odd=3|h=2;v2=2|odd=3|h=3;2;0.75;256;0.0029296875
10;v2=0|odd=3|h=3;v2=2|odd=3|h=0;2;0.75;256;0.0029296875
10;v2=1|odd=3|h=0;v2=0|odd=3|h=1;2;1.0;128;0.0078125
10;v2=1|odd=3|h=1;v2=0|odd=3|h=2;2;1.0;128;0.0078125
10;v2=1|odd=3|h=2;v2=0|odd=3|h=3;2;1.0;128;0.0078125
10;v2=1|odd=3|h=3;v2=0|odd=3|h=0;2;1.0;128;0.0078125
10;v2=2|odd=3|h=0;v2=2|odd=1|h=1;2;1.0;64;0.015625
10;v2=2|odd=3|h=1;v2=2|odd=1|h=2;2;1.0;64;0.015625
10;v2=2|odd=3|h=2;v2=2|odd=1|h=3;2;1.0;64;0.015625
10;v2=2|odd=3|h=3;v2=2|odd=1|h=0;2;1.0;64;0.015625
10;v2=2|odd=3|h=0;v2=2|odd=3|h=1;2;0.5;64;0.0078125
10;v2=2|odd=3|h=1;v2=2|odd=3|h=2;2;0.5;64;0.0078125
10;v2=2|odd=3|h=2;v2=2|odd=3|h=3;2;0.5;64;0.0078125
10;v2=2|odd=3|h=3;v2=2|odd=3|h=0;2;0.5;64;0.0078125
10;v2=0|odd=3|h=0;v2=4|odd=1|h=1;2;0.5;256;0.001953125
10;v2=0|odd=3|h=1;v2=4|odd=1|h=2;2;0.5;256;0.001953125
10;v2=0|odd=3|h=2;v2=4|odd=1|h=3;2;0.5;256;0.001953125
10;v2=0|odd=3|h=3;v2=4|odd=1|h=0;2;0.5;256;0.001953125
10;v2=3|odd=1|h=0;v2=3|odd=1|h=1;1;0.25;32;0.0078125
10;v2=3|odd=1|h=1;v2=3|odd=1|h=2;1;0.25;32;0.0078125
10;v2=3|odd=1|h=2;v2=3|odd=1|h=3;1;0.25;32;0.0078125
10;v2=3|odd=1|h=3;v2=3|odd=1|h=0;1;0.25;32;0.0078125
10;v2=5|odd=1|h=0;v2=1|odd=1|h=1;1;1.0;8;0.125
10;v2=5|odd=1|h=1;v2=1|odd=1|h=2;1;1.0;8;0.125
10;v2=5|odd=1|h=2;v2=1|odd=1|h=3;1;1.0;8;0.125
10;v2=5|odd=1|h=3;v2=1|odd=1|h=0;1;1.0;8;0.125
10;v2=1|odd=3|h=0;v2=1|odd=1|h=1;1;1.0;128;0.0078125
10;v2=1|odd=3|h=1;v2=1|odd=1|h=2;1;1.0;128;0.0078125
10;v2=1|odd=3|h=2;v2=1|odd=1|h=3;1;1.0;128;0.0078125
10;v2=1|odd=3|h=3;v2=1|odd=1|h=0;1;1.0;128;0.0078125
10;v2=2|odd=3|h=0;v2=4|odd=3|h=1;1;0.5;64;0.0078125
10;v2=2|odd=3|h=1;v2=4|odd=3|h=2;1;0.5;64;0.0078125
10;v2=2|odd=3|h=2;v2=4|odd=3|h=3;1;0.5;64;0.0078125
10;v2=2|odd=3|h=3;v2=4|odd=3|h=0;1;0.5;64;0.0078125
10;v2=0|odd=1|h=0;v2=2|odd=3|h=1;1;0.25;256;0.0009765625
10;v2=0|odd=1|h=1;v2=2|odd=3|h=2;1;0.25;256;0.0009765625
10;v2=0|odd=1|h=2;v2=2|odd=3|h=3;1;0.25;256;0.0009765625
10;v2=0|odd=1|h=3;v2=2|odd=3|h=0;1;0.25;256;0.0009765625
10;v2=2|odd=1|h=0;v2=2|odd=1|h=1;1;0.125;64;0.001953125
10;v2=2|odd=1|h=1;v2=2|odd=1|h=2;1;0.125;64;0.001953125
10;v2=2|odd=1|h=2;v2=2|odd=1|h=3;1;0.125;64;0.001953125
10;v2=2|odd=1|h=3;v2=2|odd=1|h=0;1;0.125;64;0.001953125
10;v2=1|odd=1|h=0;v2=0|odd=3|h=1;1;0.5;128;0.00390625
10;v2=1|odd=1|h=1;v2=0|odd=3|h=2;1;0.5;128;0.00390625
10;v2=1|odd=1|h=2;v2=0|odd=3|h=3;1;0.5;128;0.00390625
10;v2=1|odd=1|h=3;v2=0|odd=3|h=0;1;0.5;128;0.00390625
12;v2=2|odd=3|h=0;v2=0|odd=1|h=1;36;13.1875;256;0.051513671875
12;v2=2|odd=3|h=1;v2=0|odd=1|h=2;36;13.1875;256;0.051513671875
12;v2=2|odd=3|h=2;v2=0|odd=1|h=3;36;13.1875;256;0.051513671875
12;v2=2|odd=3|h=3;v2=0|odd=1|h=0;36;13.1875;256;0.051513671875
12;v2=2|odd=3|h=0;v2=0|odd=3|h=1;34;13.390625;256;0.05230712890625
12;v2=2|odd=3|h=1;v2=0|odd=3|h=2;34;13.390625;256;0.05230712890625
12;v2=2|odd=3|h=2;v2=0|odd=3|h=3;34;13.390625;256;0.05230712890625
12;v2=2|odd=3|h=3;v2=0|odd=3|h=0;34;13.390625;256;0.05230712890625
12;v2=0|odd=3|h=0;v2=0|odd=1|h=1;31;5.5546875;1024;0.00542449951171875
12;v2=0|odd=3|h=1;v2=0|odd=1|h=2;31;5.5546875;1024;0.00542449951171875
12;v2=0|odd=3|h=2;v2=0|odd=1|h=3;31;5.5546875;1024;0.00542449951171875
12;v2=0|odd=3|h=3;v2=0|odd=1|h=0;31;5.5546875;1024;0.00542449951171875
12;v2=0|odd=1|h=0;v2=0|odd=1|h=1;28;8.15625;1024;0.007965087890625
12;v2=0|odd=1|h=1;v2=0|odd=1|h=2;28;8.15625;1024;0.007965087890625
12;v2=0|odd=1|h=2;v2=0|odd=1|h=3;28;8.15625;1024;0.007965087890625
