lambda;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.19;2499999;3.487790995116398;3.356523742609497;141;141;135005;44;2364950;0.05400202160080864;1.7600007040002815e-05;0.9459803783921513;106;3378047;49;3270895;0.131267252506901
0.2;2499999;3.487790995116398;3.3504565401826163;141;141;138493;47;2361459;0.05539722215888886;1.880000752000301e-05;0.9445839778335912;106;3378047;49;3270895;0.13733445493378196
0.21;2499999;3.487790995116398;3.2961653184661275;141;141;251285;56;2248658;0.10051404020561608;2.2400008960003586e-05;0.8994635597854239;106;3378047;49;2303771;0.19162567665027067
0.22;2499999;3.487790995116398;3.2901989160795666;141;141;255344;57;2244598;0.10213764085505635;2.2800009120003647e-05;0.8978395591358237;106;3378047;49;2303771;0.19759207903683162
0.23;2499999;3.487790995116398;3.2833925133570054;141;141;259450;59;2240490;0.1037800415120166;2.3600009440003776e-05;0.8961963584785434;106;3378047;49;2303771;0.2043984817593927
0.24;2499999;3.487790995116398;3.2765549106219645;141;141;264810;59;2235130;0.10592404236961694;2.3600009440003776e-05;0.894052357620943;106;3378047;49;1214911;0.2112360844944338
0.25;2499999;3.487790995116398;3.268778107511243;141;141;270534;63;2229402;0.10821364328545731;2.520001008000403e-05;0.8917611567044627;106;3378047;49;1214911;0.21901288760515505
0.26;2499999;3.487790995116398;3.2629325051730023;141;141;273988;66;2225945;0.10959524383809753;2.6400010560004224e-05;0.8903783561513424;106;3378047;49;1214911;0.22485848994339597
0.27;2499999;3.487790995116398;3.2536529014611606;141;141;281148;67;2218784;0.112459244983698;2.680001072000429e-05;0.8875139550055821;105;3082295;49;1214911;0.23413809365523747
0.28;2499999;3.487790995116398;3.2465696986278796;141;141;287120;69;2212810;0.11484804593921838;2.7600011040004418e-05;0.8851243540497417;105;3082295;49;1214911;0.2412212964885186
0.29;2499999;3.487790995116398;3.2355556942222776;141;141;302695;89;2197215;0.12107804843121937;3.56000142400057e-05;0.8788863515545406;108;4941897;49;1214911;0.2522353008941204
0.3;2499999;3.487790995116398;3.2302532921013167;141;141;305222;91;2194686;0.12208884883553954;3.640001456000583e-05;0.8778747511499004;108;4941897;50;2633839;0.2575377030150812
0.31;2499999;3.487790995116398;3.2204956881982754;141;141;311611;94;2188294;0.12464444985777995;3.760001504000602e-05;0.8753179501271801;108;4941897;50;2633839;0.26729530691812275
0.32;2499999;3.487790995116398;3.2097260838904336;141;141;325895;96;2174008;0.13035805214322085;3.8400015360006146e-05;0.8696035478414191;108;4941897;50;2633839;0.2780649112259645
0.33;2499999;3.487790995116398;3.2026456810582724;141;141;330301;96;2169602;0.13212045284818114;3.8400015360006146e-05;0.8678411471364589;108;4941897;50;2633839;0.2851453140581256
0.34;2499999;3.487790995116398;3.1968708787483515;141;141;332602;100;2167297;0.1330408532163413;4.00000160000064e-05;0.8669191467676587;108;4941897;50;2189311;0.29092011636804654
0.35;2499999;3.487790995116398;3.1914604765841905;141;140;334903;101;2164995;0.13396125358450142;4.0400016160006465e-05;0.8659983463993386;108;4941897;50;2189311;0.29633051853220743
