classe_mod;count;avg_delta;avg_ratio;positive_ratio;negative_ratio;avg_v2;min_v2;max_v2;max_delta;min_delta;max_ratio;min_ratio
459;4883;0.4054658238479671;1.5000010737066154;1.0;0.0;1.0;1;1;0.4061910609531134;0.4054651747798026;1.5010893246187365;1.5000001000074605
463;4883;0.4054658223094665;1.500001071397415;1.0;0.0;1.0;1;1;0.4061847914785579;0.4054651747797493;1.5010799136069115;1.5000001000073806
467;4883;0.40546582079386945;1.5000010691225962;1.0;0.0;1.0;1;1;0.4061786293656926;0.405465174779696;1.5010706638115632;1.5000001000073004
471;4883;0.40546581930060693;1.5000010668813215;1.0;0.0;1.0;1;1;0.40617257188015543;0.4054651747796427;1.5010615711252655;1.5000001000072205
475;4883;0.4054658178291364;1.5000010646727664;1.0;0.0;1.0;1;1;0.4061666163796547;0.40546517477958943;1.5010526315789474;1.5000001000071406
479;4883;0.4054658163789221;1.5000010624961382;1.0;0.0;1.0;1;1;0.40616076031013204;0.40546517477953614;1.501043841336117;1.5000001000070604
483;4883;0.4054658149494594;1.5000010603506653;1.0;0.0;1.0;1;1;0.40615500120210246;0.40546517477948285;1.5010351966873705;1.5000001000069805
487;4883;0.40546581354024586;1.500001058235592;1.0;0.0;1.0;1;1;0.40614933666718844;0.4054651747794278;1.5010266940451746;1.5000001000069005
491;4883;0.4054658121508083;1.5000010561502168;1.0;0.0;1.0;1;1;0.40614376439481603;0.40546517477937627;1.5010183299389002;1.5000001000068204
495;4883;0.40546581078067784;1.5000010540938282;1.0;0.0;1.0;1;1;0.4061382821490689;0.405465174779323;1.501010101010101;1.5000001000067404
499;4883;0.4054658094294102;1.5000010520657567;1.0;0.0;1.0;1;1;0.40613288776570045;0.4054651747792697;1.501002004008016;1.5000001000066605
503;4883;0.40546580809656757;1.5000010500653624;1.0;0.0;1.0;1;1;0.40612757914928554;0.4054651747792146;1.5009940357852882;1.5000001000065804
507;4883;0.40546580678173044;1.5000010480919843;1.0;0.0;1.0;1;1;0.4061223542705026;0.4054651747791631;1.5009861932938855;1.5000001000065004
511;4883;0.40546580548448724;1.5000010461450297;1.0;0.0;1.0;1;1;0.4061172111635516;0.40546517477910804;1.5009784735812133;1.5000001000064205
515;4883;0.4054658042044442;1.5000010442239056;1.0;0.0;1.0;1;1;0.406112147923686;0.4054651747790565;1.5009708737864078;1.5000001000063403
519;4883;0.4054658029412214;1.500001042328034;1.0;0.0;1.0;1;1;0.4061071627048598;0.40546517477900146;1.5009633911368014;1.5000001000062604
523;4883;0.40546580169443985;1.5000010404568518;1.0;0.0;1.0;1;1;0.406102253717485;0.40546517477894994;1.5009560229445507;1.5000001000061804
527;4883;0.405465800463744;1.5000010386098082;1.0;0.0;1.0;1;1;0.40609741922629183;0.4054651747788949;1.5009487666034156;1.5000001000061003
531;4883;0.4054657992487811;1.5000010367863876;1.0;0.0;1.0;1;1;0.4060926575482764;0.40546517477884336;1.5009416195856873;1.5000001000060204
535;4883;0.4054657980492135;1.5000010349860877;1.0;0.0;1.0;1;1;0.40608796705075534;0.40546517477879007;1.5009345794392523;1.5000001000059404
539;4883;0.4054657968647089;1.5000010332083986;1.0;0.0;1.0;1;1;0.4060833461494937;0.405465174778735;1.5009276437847867;1.5000001000058603
543;4883;0.40546579569494984;1.5000010314528465;1.0;0.0;1.0;1;1;0.40607879330692764;0.4054651747786817;1.5009208103130756;1.5000001000057803
547;4883;0.40546579453962206;1.5000010297189637;1.0;0.0;1.0;1;1;0.40607430703044667;0.4054651747786284;1.5009140767824498;1.5000001000057004
551;4883;0.40546579339842637;1.5000010280062908;1.0;0.0;1.0;1;1;0.4060698858707763;0.4054651747785769;1.5009074410163339;1.5000001000056202
555;4883;0.4054657922710682;1.5000010263144012;1.0;0.0;1.0;1;1;0.40606552842040866;0.40546517477852184;1.500900900900901;1.5000001000055403
559;4883;0.4054657911572637;1.5000010246428546;1.0;0.0;1.0;1;1;0.40606123331210675;0.4054651747784703;1.5008944543828264;1.5000001000054604
563;4883;0.405465790056735;1.5000010229912402;1.0;0.0;1.0;1;1;0.4060569992174834;0.40546517477841526;1.5008880994671403;1.5000001000053802
567;4883;0.40546578896921376;1.500001021359156;1.0;0.0;1.0;1;1;0.4060528248456228;0.40546517477836197;1.5008818342151675;1.5000001000053003
571;4883;0.40546578789443377;1.500001019746194;1.0;0.0;1.0;1;1;0.4060487089417695;0.4054651747783087;1.500875656742557;1.5000001000052203
575;4883;0.40546578683214457;1.5000010181519903;1.0;0.0;1.0;1;1;0.40604465028607706;0.4054651747782554;1.5008695652173913;1.5000001000051402
579;4883;0.4054657857820994;1.5000010165761632;1.0;0.0;1.0;1;1;0.40604064769239656;0.4054651747782021;1.5008635578583764;1.5000001000050602
583;4883;0.4054657847440529;1.5000010150183514;1.0;0.0;1.0;1;1;0.4060367000071219;0.4054651747781488;1.5008576329331047;1.5000001000049803
587;4883;0.4054657837177741;1.500001013478205;1.0;0.0;1.0;1;1;0.4060328061080831;0.4054651747780955;1.5008517887563884;1.5000001000049001
591;4883;0.40546578270303346;1.5000010119553846;1.0;0.0;1.0;1;1;0.4060289649034807;0.4054651747780422;1.5008460236886634;1.5000001000048202
595;4883;0.405465781699608;1.5000010104495383;1.0;0.0;1.0;1;1;0.40602517533086857;0.40546517477798893;1.5008403361344538;1.5000001000047403
