ANALISI PEGGIORAMENTI LAMBDA=0.45
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
DEBT_LOOKAHEAD = 80
LAMBDA = 0.45

Peggioramenti trovati: 129
Loss medio: 47.031008
Initial debt medio: 6.462500
Future debt at log step medio: 8.033661
Ratio v2=1 medio fino a H descent: 0.587405

Top 30 per loss
------------------------------------------------------------------------------------------------------------------------
n=   2162171 | log_step=   6 | h_step=  94 | loss=  88 | init_debt=10.532338 | debt_log=11.797000 | debt_delta_log=+1.264663 | h_delta_log=+0.229301 | max_ratio=3799.896 | ratio_1=0.648936
n=   4752839 | log_step=   5 | h_step=   6 | loss=   1 | init_debt=10.532338 | debt_log=11.212038 | debt_delta_log=+0.679700 | h_delta_log=+0.253749 | max_ratio=2.250 | ratio_1=0.333333
n=   2432443 | log_step=   4 | h_step=  92 | loss=  88 | init_debt=10.362413 | debt_log=11.797000 | debt_delta_log=+1.434588 | h_delta_log=+0.187984 | max_ratio=3377.685 | ratio_1=0.652174
n=   2736503 | log_step=   3 | h_step=  90 | loss=  87 | init_debt=10.212038 | debt_log=11.797000 | debt_delta_log=+1.584963 | h_delta_log=+0.543334 | max_ratio=3002.381 | ratio_1=0.666667
n=   2736499 | log_step=   2 | h_step=   4 | loss=   2 | init_debt=10.212038 | debt_log=11.797000 | debt_delta_log=+1.584963 | h_delta_log=+0.137869 | max_ratio=1.500 | ratio_1=0.250000
n=   4809759 | log_step=  28 | h_step= 132 | loss= 104 | init_debt=9.797000 | debt_log=12.797000 | debt_delta_log=+3.000000 | h_delta_log=+0.919521 | max_ratio=6253.893 | ratio_1=0.681818
n=   3159835 | log_step=  24 | h_step=  89 | loss=  65 | init_debt=9.797000 | debt_log=11.342863 | debt_delta_log=+1.545862 | h_delta_log=+0.029594 | max_ratio=1334.390 | ratio_1=0.651685
n=   2399695 | log_step=   8 | h_step=   9 | loss=   1 | init_debt=9.797000 | debt_log=10.702263 | debt_delta_log=+0.905262 | h_delta_log=+0.185354 | max_ratio=3.375 | ratio_1=0.555556
n=   4104753 | log_step=   1 | h_step=   2 | loss=   1 | init_debt=9.797000 | debt_log=10.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=1.000 | ratio_1=0.000000
n=   4104755 | log_step=   2 | h_step=   3 | loss=   1 | init_debt=9.797000 | debt_log=11.797000 | debt_delta_log=+2.000000 | h_delta_log=+0.324636 | max_ratio=1.500 | ratio_1=0.333333
n=   4864887 | log_step=   3 | h_step=   4 | loss=   1 | init_debt=9.362413 | debt_log=9.797000 | debt_delta_log=+0.434588 | h_delta_log=+0.025665 | max_ratio=2.250 | ratio_1=0.500000
n=   1896063 | log_step=  16 | h_step= 109 | loss=  93 | init_debt=9.212038 | debt_log=11.362413 | debt_delta_log=+2.150375 | h_delta_log=+0.523639 | max_ratio=4333.203 | ratio_1=0.678899
