lambda;mu;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.31;0.01;2499999;3.487790995116398;3.200791680316672;141;141;327480;90;2172429;0.13099205239682096;3.600001440000576e-05;0.868971947588779;108;4941897;75;2036783;0.2869993147997259
0.31;0.02;2499999;3.487790995116398;3.1828904731561893;141;140;332419;91;2167489;0.13296765318706127;3.640001456000583e-05;0.8669959467983788;108;4941897;78;824347;0.3049005219602088
0.31;0.03;2499999;3.487790995116398;3.1592824637129855;141;140;339566;90;2160343;0.13582645433058174;3.600001440000576e-05;0.8641375456550182;108;4941897;78;824347;0.3285085314034126
0.31;0.04;2499999;3.487790995116398;3.1393744557497825;141;140;345410;88;2154501;0.13816405526562212;3.520001408000563e-05;0.8618007447202979;107;4941897;79;1784859;0.34841653936661576
0.31;0.05;2499999;3.487790995116398;3.1215584486233796;141;140;349348;91;2150560;0.13973925589570235;3.640001456000583e-05;0.8602243440897377;107;4941897;80;2943135;0.3662325464930186
0.31;0.06;2499999;3.487790995116398;3.1020032408012965;141;140;353582;91;2146326;0.14143285657314264;3.640001456000583e-05;0.8585307434122974;107;4941897;80;2943135;0.3857877543151017
0.31;0.07;2499999;3.487790995116398;3.0841316336526536;141;140;357056;93;2142850;0.14282245712898284;3.720001488000595e-05;0.8571403428561372;107;4941897;80;1784859;0.4036593614637446
0.31;0.08;2499999;3.487790995116398;3.0474668189867278;141;140;366618;93;2133288;0.14664725865890346;3.720001488000595e-05;0.8533155413262166;104;3378047;80;1784859;0.44032417612967045
0.31;0.09;2499999;3.487790995116398;3.0281260112504045;141;140;370416;95;2129488;0.1481664592665837;3.800001520000608e-05;0.8517955407182163;104;3378047;80;651335;0.4596649838659935
0.31;0.1;2499999;3.487790995116398;3.009907203962882;141;139;375007;97;2124895;0.150002860001144;3.880001552000621e-05;0.849958339983336;104;3378047;80;601727;0.4778837911535165
0.32;0.0;2499999;3.487790995116398;3.2097260838904336;141;141;325895;96;2174008;0.13035805214322085;3.8400015360006146e-05;0.8696035478414191;108;4941897;50;2633839;0.2780649112259645
0.32;0.01;2499999;3.487790995116398;3.194242077696831;141;140;331008;92;2168899;0.13240325296130118;3.680001472000589e-05;0.8675599470239788;108;4941897;75;2036783;0.29354891741956696
0.32;0.02;2499999;3.487790995116398;3.175049270019708;141;140;336872;91;2163036;0.13474885389954155;3.640001456000583e-05;0.8652147460858984;108;4941897;78;824347;0.31274172509669
0.32;0.03;2499999;3.487790995116398;3.1513432605373044;141;140;343764;93;2156142;0.137505655002262;3.720001488000595e-05;0.862457144982858;107;4941897;78;824347;0.3364477345790938
0.32;0.04;2499999;3.487790995116398;3.132884853153941;141;140;347855;91;2152053;0.13914205565682225;3.640001456000583e-05;0.8608215443286177;107;4941897;80;4519375;0.3549061419624568
0.32;0.05;2499999;3.487790995116398;3.113335245334098;141;140;352290;93;2147616;0.14091605636642254;3.720001488000595e-05;0.8590467436186975;107;4941897;80;2943135;0.3744557497822999
0.32;0.06;2499999;3.487790995116398;3.094486037794415;141;140;356318;93;2143588;0.1425272570109028;3.720001488000595e-05;0.8574355429742172;107;4941897;80;2943135;0.39330495732198295
0.32;0.07;2499999;3.487790995116398;3.075412030164812;141;140;360453;95;2139451;0.14418125767250306;3.800001520000608e-05;0.855780742312297;104;3378047;80;1784859;0.412378964951586
0.32;0.08;2499999;3.487790995116398;3.037178414871366;141;140;371018;97;2128884;0.14840725936290375;3.880001552000621e-05;0.8515539406215763;104;3378047;80;1784859;0.4506125802450321
0.32;0.09;2499999;3.487790995116398;3.0148612059444826;141;139;379569;100;2120330;0.1518276607310643;4.00000160000064e-05;0.8481323392529357;104;3378047;80;651335;0.4729297891719157
0.32;0.1;2499999;3.487790995116398;2.9971627988651197;141;139;382745;101;2117153;0.1530980612392245;4.0400016160006465e-05;0.8468615387446154;104;3378047;80;601727;0.4906281962512785
0.33;0.0;2499999;3.487790995116398;3.2026456810582724;141;141;330301;96;2169602;0.13212045284818114;3.8400015360006146e-05;0.8678411471364589;108;4941897;50;2633839;0.2851453140581256
