start;entry_step;max_value;max_value_step;max_ratio;max_debt;max_debt_step;total_v2_pre_trunk;avg_v2_pre_trunk;final_surplus_at_trunk;final_debt_at_trunk;count_1;count_2;count_3;count_4_plus;ratio_1;ratio_2;ratio_3;ratio_4_plus;max_run_1;first_positive_surplus_step;first_descent_step;mod_1024;mod_4096;mod_65536;prefix_80_v2;is_top_member
3792127;101;8216025965;101;2166.600951128483;11.081212572836762;101;149;1.4752475247524752;-11.081212572836762;11.081212572836762;71;19;7;4;0.7029702970297029;0.18811881188118812;0.06930693069306931;0.039603960396039604;7;16;16;255;3327;56575;1,1,1,1,1,1,1,3,1,1,1,1,1,5,2,5,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2;False
3843853;89;8216025965;89;2137.445413495261;11.061662564182882;89;130;1.4606741573033708;-11.061662564182882;11.061662564182882;61;19;6;3;0.6853932584269663;0.21348314606741572;0.06741573033707865;0.033707865168539325;7;1;1;781;1805;42765;3,4,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1;False
3843857;89;8216025965;89;2137.443189223741;11.061662564182882;89;130;1.4606741573033708;-11.061662564182882;11.061662564182882;60;20;7;2;0.6741573033707865;0.2247191011235955;0.07865168539325842;0.02247191011235955;7;1;1;785;1809;42769;2,3,3,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1;False
3843859;89;8216025965;89;2137.4420770897163;11.061662564182882;89;130;1.4606741573033708;-11.061662564182882;11.061662564182882;59;22;6;2;0.6629213483146067;0.24719101123595505;0.06741573033707865;0.02247191011235955;7;2;2;787;1811;42771;1,3,1,2,1,2,1,3,2,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1;False
3843863;89;8216025965;89;2137.4398528251395;11.061662564182882;89;130;1.4606741573033708;-11.061662564182882;11.061662564182882;62;18;6;3;0.6966292134831461;0.20224719101123595;0.06741573033707865;0.033707865168539325;7;3;3;791;1815;42775;1,1,5,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1;False
3896317;77;8216025965;77;2108.664660755272;11.042112555529016;77;111;1.4415584415584415;-11.042112555529016;11.042112555529016;53;17;5;2;0.6883116883116883;0.22077922077922077;0.06493506493506493;0.025974025974025976;6;1;1;1021;1021;29693;3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;False
4049487;94;8216025965;94;2028.9053811013594;10.98647506778866;94;138;1.4680851063829787;-10.98647506778866;10.98647506778866;64;20;7;3;0.6808510638297872;0.2127659574468085;0.07446808510638298;0.031914893617021274;7;5;5;591;2639;51791;1,1,1,3,3,4,2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5;False
4049497;94;8216025965;94;2028.9003708361804;10.98647506778866;94;138;1.4680851063829787;-10.98647506778866;10.98647506778866;64;20;7;3;0.6808510638297872;0.2127659574468085;0.07446808510638298;0.031914893617021274;7;1;1;601;2649;51801;2,1,4,1,1,1,2,3,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5;False
4049499;94;8216025965;94;2028.899368786114;10.98647506778866;94;138;1.4680851063829787;-10.98647506778866;10.98647506778866;63;23;5;3;0.6702127659574468;0.24468085106382978;0.05319148936170213;0.031914893617021274;7;9;9;603;2651;51803;1,2,1,1,2,1,2,2,5,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5;False
4104749;82;8216025965;82;2001.5903445009671;10.966925059134809;82;119;1.451219512195122;-10.966925059134809;10.966925059134809;55;20;5;2;0.6707317073170732;0.24390243902439024;0.06097560975609756;0.024390243902439025;7;1;1;557;557;41517;3,2,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1;False
