start;log_step;h_step;loss;max_value;max_value_step;max_ratio;ratio_1_until_h;avg_v2_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;initial_dmax;initial_cmax;initial_pmax;initial_pavg;log_value;log_delta_at_log_step;dmax_at_log_step;dmax_delta_at_log_step;cmax_at_log_step;cmax_delta_at_log_step;pmax_at_log_step;pmax_delta_at_log_step;pavg_at_log_step;h_delta_at_log_step;local_debt_at_log_step;classification
13352171;3;99;96;120264621533;84;9007.121129065828;0.6363636363636364;1.5656565656565657;63;22;11;3;11.587975038942432;0.24511249783653177;1.0;0.6625;11265895;-0.16989897299664847;12.797000057692486;1.2090250187500544;0.0;-0.24511249783653177;1.0;0.0;0.6875;0.17598140718846267;-0.24511249783653177;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
15021193;1;97;96;120264621533;82;8006.329559376542;0.6391752577319587;1.5670103092783505;62;21;11;3;11.797000057692486;0.4150374992788439;0.8;0.675;11265895;-0.2876820502609121;12.797000057692486;1.0;0.0;-0.4150374992788439;1.0;0.19999999999999996;0.6875;0.06476907471745719;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
15824795;6;102;96;120264621533;87;7599.758577156924;0.6470588235294118;1.5686274509803921;66;21;11;4;11.342862541105902;0.49022499567306355;1.0;0.6625;11265895;-0.3397979934089399;12.797000057692486;1.4541375165865844;0.0;-0.49022499567306355;1.0;0.0;0.6875;0.08206726110549667;-0.49022499567306355;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
17802895;4;100;96;120264621533;85;6755.340720315432;0.65;1.57;65;20;11;4;11.172937539663579;0.6601499971153757;1.0;0.675;11265895;-0.4575810641719755;12.797000057692486;1.6240625180289072;0.0;-0.6601499971153757;1.0;0.0;0.6875;0.016960940789580548;-0.6601499971153757;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
9397985;1;96;95;63486606161;85;6755.342359133368;0.6875;1.53125;66;17;8;5;10.797000057692486;0.8300749985576878;0.7692307692307693;0.7125;7048489;-0.2876820369831865;11.797000057692486;1.0;0.4150374992788439;-0.4150374992788439;0.8333333333333334;0.0641025641025641;0.725;0.023999857225952326;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
7048489;1;95;94;63486606161;84;9007.122826041155;0.6947368421052632;1.5263157894736843;66;16;8;5;11.797000057692486;0.4150374992788439;0.8333333333333334;0.725;5286367;-0.2876820251603238;12.797000057692486;1.0;0.0;-0.4150374992788439;1.0;0.16666666666666663;0.7375;0.05476909981804212;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
7405865;1;94;93;5936080241;90;801.5377327293976;0.6063829787234043;1.553191489361702;57;26;9;2;6.797000057692486;0.4150374992788439;0.8;0.625;5554399;-0.28768202744240945;7.797000057692486;1.0;0.0;-0.4150374992788439;1.0;0.19999999999999996;0.6375;0.06476909753595805;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
14096979;2;95;93;63486606161;84;4503.561093550611;0.6947368421052632;1.5368421052631578;66;15;9;5;10.797000057692486;0.8300749985576878;1.0;0.725;7929551;-0.5753641054940157;12.797000057692486;2.0;0.0;-0.8300749985576878;1.0;0.0;0.7375;0.009538144462716502;-0.8300749985576878;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
17523993;1;94;93;33294549221;87;1899.9407966551914;0.6063829787234043;1.5425531914893618;57;27;6;4;8.797000057692486;1.6405999884615028;0.6428571428571429;0.625;13142995;-0.2876820534302418;9.797000057692486;1.0;1.225562489182657;-0.4150374992788457;1.0;0.3571428571428571;0.6375;0.11191192869098288;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
769641;1;93;92;8216025965;81;10675.140701963643;0.6451612903225806;1.5268817204301075;60;23;7;3;12.797000057692486;0.4150374992788439;0.8333333333333334;0.6875;577231;-0.28768163934951474;13.797000057692486;1.0;0.0;-0.4150374992788439;1.0;0.16666666666666663;0.7;0.054769485628849424;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
6571497;1;93;92;33294549221;86;5066.509080198925;0.6129032258064516;1.5268817204301075;57;27;5;4;10.797000057692486;0.4150374992788439;0.75;0.6375;4928623;-0.2876820217276723;11.797000057692486;1.0;0.0;-0.4150374992788439;1.0;0.25;0.65;0.07976910325069397;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
9874487;3;95;92;5936080241;91;601.1532792538994;0.6105263157894737;1.5578947368421052;58;25;10;2;5.797000057692486;0.7714249725960656;1.0;0.625;8331599;-0.16989896553056205;7.797000057692486;2.0;0.5263124747595356;-0.24511249783653;1.0;0.0;0.6375;0.3974544094045349;-0.24511249783653177;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
