start;log_step;log_value;h_step;h_value;loss;initial_debt;initial_debt_step;future_debt_at_log_step;future_debt_step_at_log_step;future_debt_delta_at_log_step;log_delta_at_log_step;h_delta_at_log_step;local_debt_at_log_step;max_value;max_value_step;max_ratio;avg_v2_until_h;ratio_1_until_h;max_run_1_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;prefix_100_v2
4644971;3;3919195;99;4368013;96;5.042112555529016;77;6.212037556971325;79;1.1699250014423086;-0.1698988534031276;0.35656739724591124;-0.24511249783653177;827370449;88;178.12176846744575;1.5858585858585859;0.6464646464646465;8;64;24;5;6;1,2,2,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4,1,1,1,1,2,1,5,1,1,1,2,1,1,2,1,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,3,1,3,1,1,1,2,2,3,6
1896063;16;1216223;109;102816289;93;9.212037556971325;79;11.362412549759767;69;2.150374992788443;-0.44402947624058164;0.5236392705142177;-0.6405999884615028;8216025965;101;4333.203044941018;1.5321100917431192;0.6788990825688074;7;74;22;8;5;1,1,1,1,1,1,2,1,1,1,1,1,1,5,2,5,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1
2844095;15;1216223;107;137088385;92;8.797000057692486;80;11.362412549759767;69;2.5654124920672814;-0.8494947601516092;0.3049408612786675;-1.225562489182657;8216025965;100;2888.801522101055;1.5327102803738317;0.6822429906542056;7;73;21;8;5;1,1,1,1,1,2,1,1,1,1,1,1,5,2,5,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1
3370779;18;1216223;110;137088385;92;8.362412549759767;69;11.362412549759767;69;3.0;-1.019393720033257;0.3306062799667431;-1.4706749870191906;8216025965;103;2437.4264717443652;1.5363636363636364;0.6818181818181818;7;75;21;9;5;1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,5,2,5,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2
3792127;16;1216223;108;137088385;92;8.212037556971325;79;11.362412549759767;69;3.150374992788443;-1.1371769205048103;0.2804918262499889;-1.6405999884615028;8216025965;101;2166.600951128483;1.537037037037037;0.6851851851851852;7;74;20;9;5;1,1,1,1,1,1,1,3,1,1,1,1,1,5,2,5,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1
4266143;14;1216223;106;137088385;92;8.212037556971325;79;11.362412549759767;69;3.150374992788443;-1.2549599854616655;0.16270876129313372;-1.810524989903815;8216025965;99;1925.8674556853814;1.5377358490566038;0.6792452830188679;7;72;21;8;5;1,1,1,1,2,1,1,1,1,1,1,5,2,5,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3
4734811;24;1216223;116;137088385;92;7.8721875540867075;75;11.362412549759767;69;3.49022499567306;-1.3591916554303758;0.21140959262250125;-1.9608999826922542;8216025965;109;1735.2384213435341;1.543103448275862;0.6724137931034483;7;78;23;10;5;1,2,1,1,2,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,5,2,5,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1
3058923;3;2580967;94;48486277;91;6.797000057692486;80;8.212037556971325;79;1.4150374992788386;-0.16989875831446355;0.4668681163610139;-0.24511249783653177;919443473;91;300.5775147004354;1.5425531914893618;0.6276595744680851;5;59;24;7;4;1,2,2,1,1,2,1,1,3,1,1,2,1,1,2,1,1,4,1,1,4,2,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,3,1,1,2,2,1,2,2,5,1,1,1,2,1,1,2,3,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,3,1,1,3,1,1,1,1,2,3,4
3096647;10;2790131;100;4368013;90;5.6270750562501775;78;8.212037556971325;79;2.584962500721147;-0.104231365086493;1.0590017602380233;-0.15037499278843924;827370449;89;267.1826814615938;1.58;0.65;8;65;24;5;6;1,1,2,2,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4,1,1,1,1,2,1,5,1,1,1,2,1,1,2,1,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,3,1,3,1,1,1,2,2,3,6
4213113;1;3159835;90;26382587;89;8.797000057692486;80;9.797000057692486;80;1.0;-0.2876819933337238;0.16231800666627622;-0.4150374992788439;4216452893;82;1000.7927375790775;1.5555555555555556;0.6444444444444445;11;58;22;5;5;2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,2,2,3,1,5,3,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,2,5,2,1,1,1,1,1,1,2,2,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,4,1,5
