family_rank;family_id;members_count;nodes_count;max_common_value;min_common_value;common_span;max_avg_step;min_avg_step;steps_to_1;total_v2;avg_v2;final_surplus;max_debt_trunk;max_debt_trunk_step;trunk_starts_dissipative;max_value_inside_trunk;max_value_inside_trunk_step;max_ratio_inside_trunk;biggest_drop_ratio;biggest_drop_v2;biggest_drop_step;biggest_drop_from;biggest_drop_to;prefix_60_v2_trunk;surplus_per_step;nodes_per_member
208;be10709f14a2;3;1;3670015;3670015;0;1.6666666666666667;1.6666666666666667;123;217;1.7642276422764227;22.0496124112978;12.039100017307746;24;False;15445365281;24;4208.52919701963;0.0029296876292183313;10;78;7557461;22141;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,3,3,1,1,3,1,1,1,1,4,6,1,2,1,1,1,2,1,1,1,1,1,2,7,3,1,1,1,1,1,3,1,3;0.17926514155526668;0.3333333333333333
209;9708f55880f4;3;1;3579529;3579529;0;1.0;1.0;147;255;1.7346938775510203;22.01051239399007;15.00301253822127;53;False;117539270981;53;32836.51870986378;0.005859375002655687;9;62;735449941;4309277;2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,1,1,3,2,4;0.14973137682986443;0.3333333333333333
210;4fadeee168af;3;1;3306239;3306239;0;1.0;1.0;113;201;1.7787610619469028;21.899237418509358;12.888725024519303;34;False;25074208145;34;7583.90671243065;0.0014648437610657323;11;45;44125525;64637;1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,3,2,3,1,3,1,4,4,2,11,3,1,1,1,2,3,2,2,1,1,1,4,1,1,1;0.19379856122574654;0.3333333333333333
211;c16634fa0de7;3;1;3243167;3243167;0;1.0;1.0;132;231;1.75;21.784949904807405;13.927825041827049;58;False;50543191457;58;15584.517065263675;0.02343750000025733;7;68;30360157397;711566189;1,1,1,1,2,1,1,1,2,2,2,1,3,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,4,2,1,1,1,1,2,1,1,1,1,2,2;0.16503749927884398;0.3333333333333333
212;f4c84b28ea09;3;1;2993471;2993471;0;1.0;1.0;161;277;1.720496894409938;21.821037383893866;12.51278754254821;59;False;17494428437;59;5844.195062187006;0.04687500000089314;6;60;17494428437;820051333;1,1,1,1,1,3,1,2,1,1,2,1,2,1,1,3,1,2,1,3,1,1,1,1,1,2,1,2,1,2,1,1,1,3,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,6;0.13553439368878178;0.3333333333333333
213;505111145c36;3;1;2987423;2987423;0;1.0;1.0;151;261;1.728476821192053;21.670662391105424;12.362412549759767;69;False;15730912385;69;5265.7130861615515;0.046875002167743235;6;116;7207957;337873;1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,3,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,2,2,2,1,5,1,1,1,1,1,2;0.14351432047089685;0.3333333333333333
214;f00ed6a88f33;3;1;2813567;2813567;0;3.0;3.0;134;234;1.7462686567164178;21.615024903365082;14.172937539663579;55;False;51968116565;55;18470.545242036176;0.005859375000037583;9;56;51968116565;304500683;1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,3,1,2,3,3,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,9,1,2,4,7;0.1613061559952618;0.3333333333333333
215;31caaf10b07e;3;1;2672383;2672383;0;1.0;1.0;122;215;1.7622950819672132;21.634574912018962;13.947375050480929;70;False;42216015293;70;15797.142585101014;0.005859375073857153;9;87;26444629;154949;1,1,1,1,1,1,1,2,1,3,1,2,2,2,1,1,2,1,1,1,2,3,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,5,1,2,2,1,1,1,1,2;0.17733258124605708;0.3333333333333333
216;72a38b32f3f7;3;1;2655487;2655487;0;1.3333333333333333;1.3333333333333333;153;264;1.7254901960784315;21.50073738966313;12.532337551202076;71;False;15730912385;71;5923.927469801208;0.046875002167743235;6;118;7207957;337873;1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,3,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,2,2,2,1,5,1,1,1,1;0.14052769535727536;0.3333333333333333
217;36ea6b18311b;3;1;2504929;2504929;0;1.0;1.0;88;161;1.8295454545454546;21.52329993653825;12.888725024519303;34;False;18997161173;34;7583.912028245112;0.023437500000411244;7;35;18997161173;445245965;2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,7,3,4,5,1,2,1,3,1,1,2,3,1,3,1,2,1,2,5,1,2,2,1,2,3,1;0.24458295382429832;0.3333333333333333
