start;classe_mod_1024;reached_one;total_syracuse_steps;max_value;max_ratio;peak_step;first_positive_surplus_step;first_descent_step;max_debt;max_debt_step;max_consecutive_v2_1;total_v2;avg_v2;final_surplus
1541147;27;True;137;5936080241;3851.7287714929207;99;114;114;11.911287571394439;99;6;238;1.7372262773722629;20.860137401201627
3964775;871;True;157;63486606161;16012.66305427168;82;114;114;13.966925059134809;82;10;271;1.7261146496815287;22.160887386778484
1564063;415;True;197;2407427729;1539.2140399715356;54;113;113;10.587975038942432;54;13;333;1.6903553299492386;20.762387357932255
2255743;895;True;155;10702358765;4744.493838615481;79;113;113;12.212037556971325;79;7;267;1.7225806451612904;21.330812388220806
3542887;871;True;217;98158530773;27705.80342330986;56;113;113;14.75790004038474;56;10;366;1.6866359447004609;22.06313734350914
1691807;159;True;154;10702358765;6325.992719618727;78;112;112;12.627075056250177;78;7;265;1.7207792207792207;20.915774888941968
1733791;159;True;135;5936080241;3423.7576737911318;97;112;112;11.741362569952145;97;6;235;1.7407407407407407;21.03006240264392
3383615;319;True;154;10702358765;3162.995425011415;78;112;112;11.627075056250177;78;7;266;1.7272727272727273;21.915774888941968
3467583;319;True;135;5936080241;1711.878343214856;97;112;112;10.741362569952145;97;6;236;1.7481481481481482;22.03006240264392
3851007;767;True;169;5069576069;1316.4286819006043;69;112;112;10.362412549759767;69;9;290;1.7159763313609468;22.141337378124604
626331;667;True;189;2407427729;3843.6988253814675;46;111;111;11.908275033173183;46;13;319;1.687830687830688;19.44208736370149
1723519;127;True;207;15523957313;9007.128620572214;84;111;111;13.136850060577103;84;9;349;1.6859903381642511;20.912762350720698
2537711;239;True;153;10702358765;4217.327648814226;77;111;111;12.042112555529016;77;7;264;1.7254901960784315;21.50073738966313
2600687;751;True;134;5936080241;2282.5046770334147;96;111;111;11.156400069230983;96;6;234;1.7462686567164178;21.615024903365082
3983231;895;True;152;15730912385;3949.2844841285882;70;111;111;11.947375050480929;70;6;263;1.730263157894737;22.085699890384262
4985343;511;True;150;88598411297;17771.77845075053;72;111;111;14.117300051923237;72;8;260;1.7333333333333334;22.255624891826585
667375;751;True;134;822716801;1232.7653882749578;62;110;110;10.26767504471168;62;7;232;1.7313432835820894;19.615024903365082
2690767;719;True;187;2875668257;1068.716933498887;89;110;110;10.061662564182882;89;10;318;1.7005347593582887;21.612012365143812
3806567;359;True;152;10702358765;2811.551396573343;76;110;110;11.457150054807869;76;7;263;1.730263157894737;22.085699890384262
3901031;615;True;133;5936080241;1521.6695896546323;95;110;110;10.571437568509822;95;6;233;1.7518796992481203;22.199987404086244
381727;799;True;137;188445041;493.6644277192863;70;109;109;8.947375050480929;70;9;236;1.7226277372262773;18.860137401201627
704623;111;True;187;2407427729;3416.6181475767894;44;109;109;11.738350031730874;44;13;316;1.6898395721925135;19.612012365143812
1853211;795;True;164;30079718549;16231.135336990768;94;109;109;13.98647506778866;94;11;281;1.7134146341463414;21.066149881730382
2018075;795;True;186;2875668257;1424.9560878560014;88;109;109;10.476700063461749;88;10;316;1.6989247311827957;21.196974865864945
4481135;111;True;150;15730912385;3510.4749990794744;68;109;109;11.777450049038606;68;5;260;1.7333333333333334;22.255624891826585
4928623;111;True;170;33294549221;6755.34509760637;85;109;109;12.721812561298265;85;8;292;1.7176470588235293;22.55637487740347
1042431;1023;True;162;30079718549;28855.35690036079;92;107;107;14.816550066346366;92;10;277;1.7098765432098766;20.236074883172705
2084863;1023;True;162;30079718549;14427.67152997583;92;107;107;13.816550066346366;92;11;278;1.7160493827160495;21.236074883172705
2270335;127;True;184;2875668257;1266.6272849601492;86;107;107;10.306775062019426;86;10;313;1.701086956521739;21.366899867307268
3291495;359;True;130;5936080241;1803.460203038437;92;107;107;10.816550066346366;92;6;228;1.7538461538461538;21.9548749062497
4540671;255;True;184;2875668257;633.3135030042916;86;107;107;9.306775062019426;86;10;314;1.7065217391304348;22.366899867307268
