common_value;members_count;min_step;max_step;avg_step;members
1062575;3;93;100;95.66666666666667;1072575,1506607,1608863
1048267;3;81;88;83.66666666666667;1072575,1506607,1608863
1045811;3;115;118;116.66666666666667;1027431,1541147,1733791
1036637;3;49;55;51.666666666666664;459759,581883,654619
1033343;3;94;99;96.33333333333333;3708699,4172287,4395495
1022381;3;110;117;112.66666666666667;1072575,1506607,1608863
1008617;3;98;105;100.66666666666667;1072575,1506607,1608863
981929;3;1;7;3.6666666666666665;459759,581883,654619
979553;3;82;85;83.66666666666667;3563611,4009063,4751481
970741;3;42;48;44.666666666666664;459759,581883,654619
946295;3;43;44;43.666666666666664;2268927,3403391,4537855
929609;3;113;116;114.66666666666667;1027431,1541147,1733791
870713;3;80;83;81.66666666666667;3563611,4009063,4751481
855791;3;123;128;125.0;3542887,3732423,4723849
854191;3;0;2;1.0;854191,1138921,1518561
826499;3;85;88;86.66666666666667;3563611,4009063,4751481
798437;3;46;47;46.666666666666664;2268927,3403391,4537855
756463;3;99;106;101.66666666666667;1072575,1506607,1608863
746279;3;87;94;89.66666666666667;1072575,1506607,1608863
736447;3;2;8;4.666666666666667;459759,581883,654619
734665;3;83;86;84.66666666666667;3563611,4009063,4751481
731927;3;138;143;140.0;3542887,3732423,4723849
708383;3;92;99;94.66666666666667;1072575,1506607,1608863
697207;3;114;117;115.66666666666667;1027431,1541147,1733791
691091;3;48;54;50.666666666666664;459759,581883,654619
691085;3;86;94;91.0;1395183,2092775,2234815
688895;3;93;98;95.33333333333333;3708699,4172287,4395495
687871;3;0;2;1.0;687871,917161,1222881
681587;3;109;116;111.66666666666667;1072575,1506607,1608863
653035;3;81;84;82.66666666666667;3563611,4009063,4751481
630863;3;42;43;42.666666666666664;2268927,3403391,4537855
619739;3;112;115;113.66666666666667;1027431,1541147,1733791
614297;3;84;92;89.0;1395183,2092775,2234815
588269;3;117;120;118.66666666666667;1027431,1541147,1733791
583109;3;51;57;53.666666666666664;459759,581883,654619
580475;3;79;82;80.66666666666667;3563611,4009063,4751481
570527;3;122;127;124.0;3542887,3732423,4723849
550999;3;84;87;85.66666666666667;3563611,4009063,4751481
547733;3;89;91;90.0;2799007,3732009,4198511
515977;3;77;80;78.66666666666667;3563611,4009063,4751481
497519;3;86;93;88.66666666666667;1072575,1506607,1608863
487951;3;137;142;139.0;3542887,3732423,4723849
480481;3;0;3;1.3333333333333333;480481,640641,2277835
478463;3;0;1;0.6666666666666666;318975,478463,1275901
472469;3;90;92;91.0;3219199,4292265,4828799
460727;3;47;53;49.666666666666664;459759,581883,654619
460723;3;85;93;90.0;1395183,2092775,2234815
459263;3;92;97;94.33333333333333;3708699,4172287,4395495
454417;3;53;55;54.0;3224667,3627751,4837001
454391;3;108;115;110.66666666666667;1072575,1506607,1608863
450785;3;118;123;120.0;3542887,3732423,4723849
409531;3;83;91;88.0;1395183,2092775,2234815
