METRICHE DELLE FAMIGLIE GRAVITAZIONALI
========================================================================================================================

Famiglie analizzate: 344
Famiglie con tronco dissipativo da subito: 77
Percentuale dissipative da subito: 0.2238

Media membri: 6.979651
Media nodi comuni: 19.389535
Media avg_v2 tronco: 1.847881
Media surplus finale: 24.010594

TOP 20 PER MEMBRI
------------------------------------------------------------------------------------------------------------------------
id=03fc565be756 | members=   6 | nodes= 108 | max_common=    58956314129 | steps=  89 | avg_v2=1.988764 | surplus=+35.938337 | surplus_step=+0.403802 | max_debt_trunk=0.000000 | diss=True
id=12eadc99058e | members=  14 | nodes=  87 | max_common=    52304792741 | steps=  96 | avg_v2=1.958333 | surplus=+35.843600 | surplus_step=+0.373371 | max_debt_trunk=0.000000 | diss=True
id=24cabf9c92fb | members=   8 | nodes=  71 | max_common=    51968116565 | steps=  79 | avg_v2=2.037975 | surplus=+35.787962 | surplus_step=+0.453012 | max_debt_trunk=0.000000 | diss=True
id=ec09d53fbb3f | members=  11 | nodes= 104 | max_common=    50543191457 | steps=  74 | avg_v2=2.067568 | surplus=+35.712775 | surplus_step=+0.482605 | max_debt_trunk=0.000000 | diss=True
id=d47b48960c03 | members=   5 | nodes=  96 | max_common=    48095597285 | steps= 115 | avg_v2=1.895652 | surplus=+35.729312 | surplus_step=+0.310690 | max_debt_trunk=0.000000 | diss=True
id=17f435640d64 | members=  12 | nodes=  56 | max_common=    46548912269 | steps=  81 | avg_v2=2.024691 | surplus=+35.618037 | surplus_step=+0.439729 | max_debt_trunk=0.000000 | diss=True
id=fd2bf2f714a8 | members=   2 | nodes=  62 | max_common=    46162343069 | steps=  52 | avg_v2=2.269231 | surplus=+35.581950 | surplus_step=+0.684268 | max_debt_trunk=0.000000 | diss=True
id=f59d882b99b2 | members=   6 | nodes= 104 | max_common=    42216015293 | steps=  52 | avg_v2=2.269231 | surplus=+35.581950 | surplus_step=+0.684268 | max_debt_trunk=0.000000 | diss=True
id=186dbf0b44a8 | members=   3 | nodes= 148 | max_common=    41739568049 | steps= 112 | avg_v2=1.901786 | surplus=+35.484200 | surplus_step=+0.316823 | max_debt_trunk=0.000000 | diss=True
id=8ab10e39cf8c | members=   6 | nodes=  82 | max_common=    39391746821 | steps=  61 | avg_v2=2.163934 | surplus=+35.317287 | surplus_step=+0.578972 | max_debt_trunk=0.000000 | diss=True
id=0e0d9036e538 | members=   9 | nodes=  91 | max_common=    38828142341 | steps=  83 | avg_v2=2.012048 | surplus=+35.448112 | surplus_step=+0.427086 | max_debt_trunk=0.000000 | diss=True
id=b691a0627f67 | members=   2 | nodes=  79 | max_common=    37503439181 | steps=  66 | avg_v2=2.121212 | surplus=+35.392475 | surplus_step=+0.536250 | max_debt_trunk=0.000000 | diss=True
id=8953bc6def58 | members=   2 | nodes=  50 | max_common=    34273584341 | steps=  56 | avg_v2=2.214286 | surplus=+35.242100 | surplus_step=+0.629323 | max_debt_trunk=0.000000 | diss=True
id=76e0521fb269 | members=   2 | nodes= 120 | max_common=    33294549221 | steps=  85 | avg_v2=2.000000 | surplus=+35.278187 | surplus_step=+0.415037 | max_debt_trunk=0.000000 | diss=True

TOP 20 PER SURPLUS FINALE
------------------------------------------------------------------------------------------------------------------------
id=d7f05a3f09a8 | members=   2 | nodes=  82 | max_common=   207572633873 | steps=  96 | avg_v2=1.979167 | surplus=+37.843600 | surplus_step=+0.394204 | max_debt_trunk=0.000000 | diss=True
id=407e4fe44b3d | members=   2 | nodes= 105 | max_common=   142195824593 | steps=  78 | avg_v2=2.064103 | surplus=+37.372925 | surplus_step=+0.479140 | max_debt_trunk=0.000000 | diss=True
id=8a166809a1a4 | members=   3 | nodes=  93 | max_common=   140942996837 | steps=  85 | avg_v2=2.023529 | surplus=+37.278187 | surplus_step=+0.438567 | max_debt_trunk=0.000000 | diss=True
id=207429d4f367 | members=   6 | nodes=  84 | max_common=   117539270981 | steps=  94 | avg_v2=1.978723 | surplus=+37.013525 | surplus_step=+0.393761 | max_debt_trunk=0.000000 | diss=True
id=77d97819dc89 | members=   3 | nodes= 172 | max_common=    98158530773 | steps= 161 | avg_v2=1.813665 | surplus=+36.821037 | surplus_step=+0.228702 | max_debt_trunk=0.000000 | diss=True
