start;classe_mod_1024;reached_one;total_steps;first_descent_step;final_descent_step;last_above_start_step;first_positive_surplus_step;peak_step;max_value;max_ratio;max_debt;max_debt_step;max_run_1;count_1;count_2;count_3;count_4_plus;ratio_1;ratio_2;ratio_3;ratio_4_plus;total_v2;avg_v2;final_surplus;prefix_50
4484735;639;True;196;92;137;136;92;45;22983893981;5124.91685261225;12.323312532452022;45;9;117;44;19;16;0.5969387755102041;0.22448979591836735;0.09693877551020408;0.08163265306122448;333;1.6989795918367347;22.347349858653388;1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,5,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,3,1,3,2,3
4064103;871;True;210;91;136;135;91;39;117026438465;28795.145808312438;14.813537528125089;39;17;125;48;22;15;0.5952380952380952;0.22857142857142856;0.10476190476190476;0.07142857142857142;355;1.6904761904761905;22.157874848557242;1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,2,1,1,1,2,1,2,2,5,1,2,1,2,2,1,3,2
3542887;871;True;217;113;135;134;113;56;98158530773;27705.80342330986;14.75790004038474;56;10;131;51;20;15;0.6036866359447005;0.2350230414746544;0.09216589861751152;0.06912442396313365;366;1.6866359447004609;22.06313734350914;1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,1,2,1,2,2
4809759;31;True;189;28;134;133;28;119;30079718549;6253.89308466391;12.610537585817582;119;10;120;33;22;14;0.6349206349206349;0.1746031746031746;0.1164021164021164;0.07407407407407407;322;1.7037037037037037;22.44208736370149;1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1
665215;639;True;163;88;133;132;88;61;17494428437;26298.90852882151;14.682712543990519;61;9;97;36;18;12;0.5950920245398773;0.22085889570552147;0.11042944785276074;0.0736196319018405;278;1.705521472392638;19.651112382451572;1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,3,1,2,1,3,1,1,1,1,1,2,1,2,1,2,1,1,1,3,2,1,1,3,1,1,1,1,1,1,3,1,1,1
4723849;137;True;218;1;132;131;1;57;98158530773;20779.354033755102;14.342862541105902;57;10;131;52;20;15;0.6009174311926605;0.23853211009174313;0.09174311926605505;0.06880733944954129;368;1.688073394495413;22.47817484278795;2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,1,2,1,2
626331;667;True;189;111;130;129;111;46;2407427729;3843.6988253814675;11.908275033173183;46;13;111;44;21;13;0.5873015873015873;0.2328042328042328;0.1111111111111111;0.06878306878306878;319;1.687830687830688;19.44208736370149;1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,2,1,2,1,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1
704623;111;True;187;109;128;127;109;44;2407427729;3416.6181475767894;11.738350031730874;44;13;110;43;21;13;0.5882352941176471;0.22994652406417113;0.11229946524064172;0.06951871657754011;316;1.6898395721925135;19.612012365143812;1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,2,1,2,1,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,3,1
4985343;511;True;150;111;124;123;111;72;88598411297;17771.77845075053;14.117300051923237;72;8;89;31;20;10;0.5933333333333334;0.20666666666666667;0.13333333333333333;0.06666666666666667;260;1.7333333333333334;22.255624891826585;1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,1,2,1,1,2,1,1,1,1,1,1,1,1,4,1,2,1,2,3,1,1,1,1,1,1,1,3,3,1,2,1,1,1,1
3428767;415;True;207;118;121;120;118;95;41739568049;12173.34629299687;13.571437568509822;95;9;121;54;15;17;0.5845410628019324;0.2608695652173913;0.07246376811594203;0.0821256038647343;350;1.6908212560386473;21.912762350720698;1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,3,1,3
4063723;491;True;210;3;121;120;3;98;41739568049;10271.26308781381;13.326325070673306;98;9;122;56;15;17;0.580952380952381;0.26666666666666666;0.07142857142857142;0.08095238095238096;355;1.6904761904761905;22.157874848557242;1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1
3147243;491;True;156;3;121;120;3;74;15730912385;4998.315155518656;12.287225053365546;74;7;86;43;17;10;0.5512820512820513;0.27564102564102566;0.10897435897435898;0.0641025641025641;269;1.7243589743589745;21.745849887499645;1,2,2,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,3,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1
