src,dst,count,source_events,deterministic_probability,empirical_probability
K8:b1,K7:b1,58,58,1.0,1.0
K16:b1,K3:b5,56,25664,0.0021820448877805485,0.0021820448877805485
K3:b2,K3:b1,56,56,1.0,1.0
K3:b3,K3:b2,56,56,1.0,1.0
K3:b4,K3:b3,56,56,1.0,1.0
K3:b5,K3:b4,56,56,1.0,1.0
K3:b6,K3:b5,56,56,1.0,1.0
K15:b1,K11:b1,54,19839,0.0027219113866626342,0.0027219113866626342
K15:b1,K10:b1,53,19839,0.0026715056202429558,0.0026715056202429558
K15:b1,K8:b1,53,19839,0.0026715056202429558,0.0026715056202429558
K6:b1,K3:b1,51,109,0.46788990825688076,0.46788990825688076
K9:b1,K8:b1,47,367,0.12806539509536785,0.12806539509536785
K6:b2,K6:b1,45,189,0.23809523809523808,0.23809523809523808
K12:b1,K3:b3,40,1916,0.020876826722338204,0.020876826722338204
K13:b1,K3:b1,40,2935,0.013628620102214651,0.013628620102214651
K13:b1,K3:b2,40,2935,0.013628620102214651,0.013628620102214651
K13:b1,K3:b4,40,2935,0.013628620102214651,0.013628620102214651
K9:b1,K3:b2,37,367,0.1008174386920981,0.1008174386920981
K10:b1,K3:b3,33,361,0.09141274238227147,0.09141274238227147
K4:b1,K3:b1,33,33,1.0,1.0
K13:b1,K5:b1,32,2935,0.01090289608177172,0.01090289608177172
K13:b1,K5:b2,32,2935,0.01090289608177172,0.01090289608177172
K16:b1,K9:b2,32,25664,0.0012468827930174563,0.0012468827930174563
K9:b1,K4:b1,32,367,0.08719346049046321,0.08719346049046321
K7:b1,K3:b2,31,92,0.33695652173913043,0.33695652173913043
K10:b1,K4:b1,30,361,0.08310249307479224,0.08310249307479224
K9:b2,K9:b1,30,893,0.0335946248600224,0.0335946248600224
K9:b1,K5:b1,30,367,0.08174386920980926,0.08174386920980926
K11:b1,K16:b1,29,1837,0.015786608600979857,0.015786608600979857
K13:b1,K4:b3,28,2935,0.009540034071550256,0.009540034071550256
K12:b1,K7:b1,24,1916,0.012526096033402923,0.012526096033402923
K15:b1,K12:b1,23,19839,0.0011593326276526034,0.0011593326276526034
K5:b1,K4:b1,23,23,1.0,1.0
K11:b1,K4:b2,22,1837,0.011976047904191617,0.011976047904191617
K9:b1,K4:b2,18,367,0.04904632152588556,0.04904632152588556
K15:b1,K8:b2,17,19839,0.000856898029134533,0.000856898029134533
K16:b1,K14:b1,15,25664,0.0005844763092269327,0.0005844763092269327
K11:b1,K5:b2,14,1837,0.007621121393576484,0.007621121393576484
K15:b1,K15:b1,14,19839,0.0007056807298754978,0.0007056807298754978
K6:b1,K5:b1,14,109,0.12844036697247707,0.12844036697247707
K15:b1,K9:b2,12,19839,0.0006048691970361409,0.0006048691970361409
K16:b1,K12:b1,12,25664,0.0004675810473815461,0.0004675810473815461
K9:b2,K11:b1,12,893,0.013437849944008958,0.013437849944008958
K14:b1,K8:b2,8,13166,0.0006076257025672186,0.0006076257025672186
K9:b2,K14:b1,8,893,0.008958566629339306,0.008958566629339306
K14:b1,K14:b1,7,13166,0.0005316724897463163,0.0005316724897463163
K16:b1,K3:b6,7,25664,0.00027275561097256856,0.00027275561097256856
K16:b1,K13:b1,6,25664,0.00023379052369077306,0.00023379052369077306
K16:b1,K10:b2,6,25664,0.00023379052369077306,0.00023379052369077306
K10:b1,K16:b1,5,361,0.013850415512465374,0.013850415512465374
K16:b1,K16:b1,5,25664,0.00019482543640897756,0.00019482543640897756
K9:b2,K15:b1,5,893,0.005599104143337066,0.005599104143337066
K9:b2,K12:b1,5,893,0.005599104143337066,0.005599104143337066
K13:b1,K11:b1,4,2935,0.001362862010221465,0.001362862010221465
K14:b1,K9:b2,4,13166,0.0003038128512836093,0.0003038128512836093
K14:b1,K4:b3,4,13166,0.0003038128512836093,0.0003038128512836093
K3:b1,K15:b1,4,56,0.07142857142857142,0.07142857142857142
K6:b2,K11:b1,4,189,0.021164021164021163,0.021164021164021163
K6:b2,K14:b1,4,189,0.021164021164021163,0.021164021164021163
K13:b1,K4:b4,3,2935,0.0010221465076660989,0.0010221465076660989
K13:b1,K6:b3,3,2935,0.0010221465076660989,0.0010221465076660989
K15:b1,K13:b1,3,19839,0.00015121729925903524,0.00015121729925903524
K6:b2,K9:b1,3,189,0.015873015873015872,0.015873015873015872
K9:b2,K13:b1,3,893,0.0033594624860022394,0.0033594624860022394
K11:b1,K13:b1,2,1837,0.0010887316276537834,0.0010887316276537834
