src,dst,count,source_events,deterministic_probability,empirical_probability
K15:L10:w1-1-1-1-1-1-1-3-1-4:b1,K14:L9:w1-1-1-1-1-1-3-1-4:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-1-3-2-3:b1,K14:L9:w1-1-1-1-1-1-3-2-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-1-3-3-2:b1,K14:L9:w1-1-1-1-1-1-3-3-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-1-4-1-3:b1,K14:L9:w1-1-1-1-1-1-4-1-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-1-4-2-2:b1,K14:L9:w1-1-1-1-1-1-4-2-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-1-5-1-2:b1,K14:L9:w1-1-1-1-1-1-5-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-2-1-1-5:b1,K14:L9:w1-1-1-1-1-2-1-1-5:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-2-1-2-4:b1,K14:L9:w1-1-1-1-1-2-1-2-4:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-2-1-3-3:b1,K14:L9:w1-1-1-1-1-2-1-3-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-2-1-4-2:b1,K14:L9:w1-1-1-1-1-2-1-4-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-2-2-1-4:b1,K14:L9:w1-1-1-1-1-2-2-1-4:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-2-2-2-3:b1,K14:L9:w1-1-1-1-1-2-2-2-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-2-2-3-2:b1,K14:L9:w1-1-1-1-1-2-2-3-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-2-3-1-3:b1,K14:L9:w1-1-1-1-1-2-3-1-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-2-3-2-2:b1,K14:L9:w1-1-1-1-1-2-3-2-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-2-4-1-2:b1,K14:L9:w1-1-1-1-1-2-4-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-3-1-1-4:b1,K14:L9:w1-1-1-1-1-3-1-1-4:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-3-1-2-3:b1,K14:L9:w1-1-1-1-1-3-1-2-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-3-1-3-2:b1,K14:L9:w1-1-1-1-1-3-1-3-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-3-2-1-3:b1,K14:L9:w1-1-1-1-1-3-2-1-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-3-2-2-2:b1,K14:L9:w1-1-1-1-1-3-2-2-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-3-3-1-2:b1,K14:L9:w1-1-1-1-1-3-3-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-4-1-1-3:b1,K14:L9:w1-1-1-1-1-4-1-1-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-4-1-2-2:b1,K14:L9:w1-1-1-1-1-4-1-2-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-4-2-1-2:b1,K14:L9:w1-1-1-1-1-4-2-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-1-5-1-1-2:b1,K14:L9:w1-1-1-1-1-5-1-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-1-1-1-5:b1,K14:L9:w1-1-1-1-2-1-1-1-5:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-1-1-2-4:b1,K14:L9:w1-1-1-1-2-1-1-2-4:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-1-1-3-3:b1,K14:L9:w1-1-1-1-2-1-1-3-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-1-1-4-2:b1,K14:L9:w1-1-1-1-2-1-1-4-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-1-2-1-4:b1,K14:L9:w1-1-1-1-2-1-2-1-4:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-1-2-2-3:b1,K14:L9:w1-1-1-1-2-1-2-2-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-1-2-3-2:b1,K14:L9:w1-1-1-1-2-1-2-3-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-1-3-1-3:b1,K14:L9:w1-1-1-1-2-1-3-1-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-1-3-2-2:b1,K14:L9:w1-1-1-1-2-1-3-2-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-1-4-1-2:b1,K14:L9:w1-1-1-1-2-1-4-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-2-1-1-4:b1,K14:L9:w1-1-1-1-2-2-1-1-4:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-2-1-2-3:b1,K14:L9:w1-1-1-1-2-2-1-2-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-2-1-3-2:b1,K14:L9:w1-1-1-1-2-2-1-3-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-2-2-1-3:b1,K14:L9:w1-1-1-1-2-2-2-1-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-2-2-2-2:b1,K14:L9:w1-1-1-1-2-2-2-2-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-2-3-1-2:b1,K14:L9:w1-1-1-1-2-2-3-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-3-1-1-3:b1,K14:L9:w1-1-1-1-2-3-1-1-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-3-1-2-2:b1,K14:L9:w1-1-1-1-2-3-1-2-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-3-2-1-2:b1,K14:L9:w1-1-1-1-2-3-2-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-2-4-1-1-2:b1,K14:L9:w1-1-1-1-2-4-1-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-3-1-1-1-4:b1,K14:L9:w1-1-1-1-3-1-1-1-4:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-3-1-1-2-3:b1,K14:L9:w1-1-1-1-3-1-1-2-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-3-1-1-3-2:b1,K14:L9:w1-1-1-1-3-1-1-3-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-3-1-2-1-3:b1,K14:L9:w1-1-1-1-3-1-2-1-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-3-1-2-2-2:b1,K14:L9:w1-1-1-1-3-1-2-2-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-3-1-3-1-2:b1,K14:L9:w1-1-1-1-3-1-3-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-3-2-1-1-3:b1,K14:L9:w1-1-1-1-3-2-1-1-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-3-2-1-2-2:b1,K14:L9:w1-1-1-1-3-2-1-2-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-3-2-2-1-2:b1,K14:L9:w1-1-1-1-3-2-2-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-3-3-1-1-2:b1,K14:L9:w1-1-1-1-3-3-1-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-4-1-1-1-3:b1,K14:L9:w1-1-1-1-4-1-1-1-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-4-1-1-2-2:b1,K14:L9:w1-1-1-1-4-1-1-2-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-4-1-2-1-2:b1,K14:L9:w1-1-1-1-4-1-2-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-4-2-1-1-2:b1,K14:L9:w1-1-1-1-4-2-1-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-1-5-1-1-1-2:b1,K14:L9:w1-1-1-1-5-1-1-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-2-1-1-1-1-5:b1,K5:L4:w1-1-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-2-1-1-1-2-4:b1,K5:L4:w1-1-1-2:b2,16,16,1.0,1.0
K15:L10:w1-1-1-1-2-1-1-1-3-3:b1,K14:L9:w1-1-1-2-1-1-1-3-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-2-1-1-1-4-2:b1,K14:L9:w1-1-1-2-1-1-1-4-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-2-1-1-2-1-4:b1,K14:L9:w1-1-1-2-1-1-2-1-4:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-2-1-1-2-2-3:b1,K14:L9:w1-1-1-2-1-1-2-2-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-2-1-1-2-3-2:b1,K14:L9:w1-1-1-2-1-1-2-3-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-2-1-1-3-1-3:b1,K14:L9:w1-1-1-2-1-1-3-1-3:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-2-1-1-3-2-2:b1,K14:L9:w1-1-1-2-1-1-3-2-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-2-1-1-4-1-2:b1,K14:L9:w1-1-1-2-1-1-4-1-2:b1,16,16,1.0,1.0
K15:L10:w1-1-1-1-2-1-2-1-1-4:b1,K14:L9:w1-1-1-2-1-2-1-1-4:b1,16,16,1.0,1.0
