src,dst,count
K6:L4:w1-1-1-3:b1,K9:L7:w1-1-1-2-1-1-2:b1,2
K6:L4:w1-1-1-3:b2,K9:L6:w1-1-1-3-1-2:b1,2
K6:L4:w1-1-1-3:b1,K8:L6:w1-1-1-2-1-2:b1,2
K6:L4:w1-1-1-3:b1,K6:L5:w1-1-1-1-2:b1,2
K8:L6:w1-1-1-2-1-2:b1,K7:L5:w1-1-2-1-2:b2,2
K9:L6:w1-1-1-1-1-4:b1,K10:L8:w1-1-1-1-1-2-1-2:b1,2
K6:L4:w1-1-1-3:b1,K6:L4:w1-1-2-2:b1,2
K3:L2:w1-2:b1,K10:L7:w1-1-1-1-1-1-4:b1,2
K6:L5:w1-1-1-1-2:b1,K5:L4:w1-1-1-2:b3,2
K5:L4:w1-1-1-2:b3,K4:L3:w1-1-2:b1,2
K9:L6:w1-1-1-1-1-4:b1,K5:L4:w1-1-1-2:b1,2
K3:L2:w1-2:b1,K10:L7:w1-1-1-1-1-3-2:b1,2
K10:L7:w1-1-1-3-1-1-2:b1,K9:L6:w1-1-2-1-1-3:b1,2
K10:L7:w1-1-2-1-2-1-2:b1,K3:L2:w1-2:b4,2
K6:L4:w1-1-1-3:b1,K7:L5:w1-1-1-2-2:b1,2
K6:L4:w1-1-1-3:b2,K10:L7:w1-1-1-3-1-1-2:b1,1
K6:L4:w1-1-1-3:b1,K10:L7:w1-1-1-1-3-1-2:b1,1
K7:L5:w1-1-1-1-3:b3,K6:L4:w1-1-1-3:b1,1
K6:L4:w1-1-1-3:b1,K7:L5:w1-1-1-1-3:b2,1
K6:L4:w1-1-1-3:b1,K7:L6:w1-1-1-1-1-2:b1,1
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-1-4:b1,1
K8:L6:w1-1-1-1-1-3:b1,K7:L5:w1-1-1-1-3:b2,1
K3:L2:w1-2:b1,K6:L5:w1-1-1-1-2:b2,1
K6:L4:w1-1-1-3:b1,K7:L5:w1-1-2-1-2:b1,1
K9:L7:w1-1-1-1-2-1-2:b1,K8:L6:w1-1-1-2-1-2:b2,1
K8:L7:w1-1-1-1-1-1-2:b3,K7:L6:w1-1-1-1-1-2:b1,1
K3:L2:w1-2:b1,K8:L7:w1-1-1-1-1-1-2:b2,1
K9:L6:w1-1-1-1-1-4:b1,K3:L2:w1-2:b2,1
K9:L6:w1-1-1-1-1-4:b1,K8:L6:w1-1-1-1-1-3:b1,1
K6:L4:w1-1-1-3:b1,K8:L6:w1-1-1-1-2-2:b1,1
K6:L4:w1-1-1-3:b1,K8:L7:w1-1-1-1-1-1-2:b1,1
K6:L4:w1-1-1-3:b1,K9:L7:w1-1-1-1-2-1-2:b1,1
K9:L6:w1-1-1-3-1-2:b1,K3:L2:w1-2:b4,1
K3:L2:w1-2:b1,K6:L4:w1-1-1-3:b2,1
K6:L4:w1-1-1-3:b1,K9:L6:w1-1-1-3-1-2:b1,1
K9:L6:w1-1-2-2-1-2:b3,K3:L2:w1-2:b1,1
K3:L2:w1-2:b1,K9:L6:w1-1-2-2-1-2:b2,1
K6:L4:w1-1-1-3:b1,K9:L7:w1-1-1-1-1-2-2:b1,1
K9:L6:w1-1-1-1-1-4:b1,K10:L7:w1-1-1-1-2-2-2:b1,1
K10:L7:w1-1-2-1-2-1-2:b1,K3:L2:w1-2:b5,1
K3:L2:w1-2:b5,K3:L2:w1-2:b4,1
K10:L7:w1-1-1-3-1-1-2:b1,K10:L7:w1-1-2-1-2-1-2:b1,1
K9:L6:w1-1-1-1-1-4:b1,K9:L8:w1-1-1-1-1-1-1-2:b1,1
K9:L6:w1-1-1-1-1-4:b1,K6:L4:w1-1-1-3:b1,1
K9:L6:w1-1-1-3-1-2:b1,K3:L2:w1-2:b3,1
K6:L4:w1-1-1-3:b1,K10:L7:w1-1-1-2-1-2-2:b1,1
K10:L7:w1-1-1-3-1-1-2:b1,K9:L6:w1-1-2-1-2-2:b1,1
K6:L4:w1-1-1-3:b1,K9:L6:w1-1-1-1-2-3:b1,1
K7:L5:w1-1-1-1-3:b1,K6:L4:w1-1-1-3:b2,1
K6:L4:w1-1-1-3:b1,K3:L2:w1-2:b3,1
K6:L4:w1-1-1-3:b1,K10:L7:w1-1-1-1-1-2-3:b1,1
K6:L4:w1-1-1-3:b1,K9:L6:w1-1-2-2-1-2:b1,1
