src,dst,count,source_events,empirical_probability
K3:L2:w1-2:b1,K7:L6:w1-1-1-1-1-2:b1,208,100901,0.002061426546813213
K11:L8:w1-1-1-1-1-3-1-2:b1,K10:L7:w1-1-1-1-3-1-2:b1,208,215,0.9674418604651163
K11:L8:w1-1-1-1-3-1-1-2:b1,K10:L7:w1-1-1-3-1-1-2:b1,208,210,0.9904761904761905
K14:L9:w1-1-1-1-1-2-2-3-2:b1,K11:L7:w1-1-1-1-2-2-3:b1,208,208,1.0
K14:L9:w1-1-1-2-2-2-1-2-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,207,207,1.0
K13:L9:w1-1-1-2-1-2-1-2-2:b1,K12:L8:w1-1-2-1-2-1-2-2:b1,206,206,1.0
K13:L9:w1-1-1-2-2-1-2-1-2:b1,K12:L8:w1-1-2-2-1-2-1-2:b1,205,205,1.0
K13:L9:w1-1-2-1-2-1-2-1-2:b1,K3:L2:w1-2:b4,205,205,1.0
K12:L8:w1-1-1-2-1-1-1-4:b1,K4:L3:w1-1-2:b1,204,204,1.0
K12:L8:w1-1-1-1-2-1-1-4:b1,K11:L7:w1-1-1-2-1-1-4:b1,204,204,1.0
K13:L9:w1-1-1-2-1-1-1-3-2:b1,K4:L3:w1-1-2:b1,204,204,1.0
K14:L9:w1-1-1-1-3-2-1-2-2:b1,K11:L7:w1-1-1-3-2-1-2:b1,204,204,1.0
K14:L9:w1-1-1-2-1-1-1-4-2:b1,K4:L3:w1-1-2:b1,203,203,1.0
K13:L9:w1-1-1-1-1-2-2-2-2:b1,K12:L8:w1-1-1-1-2-2-2-2:b1,203,220,0.9227272727272727
K14:L9:w1-1-2-1-1-3-2-1-2:b1,K3:L2:w1-2:b1,203,203,1.0
K14:L9:w1-1-1-2-2-2-2-1-2:b1,K6:L4:w1-1-2-2:b1,202,202,1.0
K13:L9:w1-1-1-2-1-1-2-2-2:b1,K4:L3:w1-1-2:b2,202,202,1.0
K13:L9:w1-1-1-2-1-2-2-1-2:b1,K12:L8:w1-1-2-1-2-2-1-2:b1,201,201,1.0
K14:L9:w1-1-1-1-2-2-2-1-3:b1,K9:L6:w1-1-1-2-2-2:b1,201,201,1.0
K6:L4:w1-1-1-3:b1,K7:L5:w1-1-1-2-2:b1,201,12093,0.01662118580997271
K14:L9:w1-1-1-1-1-1-3-3-2:b1,K11:L7:w1-1-1-1-1-3-3:b1,200,200,1.0
K14:L9:w1-1-1-1-1-1-2-4-2:b1,K11:L7:w1-1-1-1-1-2-4:b1,200,200,1.0
K10:L8:w1-1-1-1-1-2-1-2:b1,K9:L7:w1-1-1-1-2-1-2:b1,199,208,0.9567307692307693
K12:L8:w1-1-1-1-1-2-2-3:b1,K11:L7:w1-1-1-1-2-2-3:b1,199,207,0.961352657004831
K14:L9:w1-1-1-1-2-2-3-1-2:b1,K7:L5:w1-1-1-2-2:b1,199,199,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,199,100901,0.0019722302058453336
K14:L9:w1-1-1-1-1-1-1-5-2:b1,K11:L7:w1-1-1-1-1-1-5:b1,199,199,1.0
K14:L9:w1-1-1-2-2-1-1-3-2:b1,K11:L7:w1-1-2-2-1-1-3:b1,199,199,1.0
K14:L9:w1-1-1-2-1-1-2-2-3:b1,K4:L3:w1-1-2:b2,198,198,1.0
K11:L8:w1-1-1-1-1-1-2-3:b1,K10:L7:w1-1-1-1-1-2-3:b1,197,207,0.9516908212560387
K14:L9:w1-1-1-3-1-2-2-1-2:b1,K3:L2:w1-2:b1,197,197,1.0
K14:L9:w1-1-1-1-1-2-3-2-2:b1,K11:L7:w1-1-1-1-2-3-2:b1,197,197,1.0
K14:L9:w1-1-2-2-1-1-3-1-2:b1,K3:L2:w1-2:b1,197,197,1.0
K13:L9:w1-1-1-2-1-1-3-1-2:b1,K12:L8:w1-1-2-1-1-3-1-2:b1,196,196,1.0
K14:L9:w1-1-1-2-1-2-3-1-2:b1,K7:L5:w1-1-2-1-2:b1,195,195,1.0
K14:L9:w1-1-1-1-2-1-1-4-2:b1,K11:L7:w1-1-1-2-1-1-4:b1,195,195,1.0
K14:L9:w1-1-2-1-3-1-1-2-2:b1,K3:L2:w1-2:b1,195,195,1.0
K14:L9:w1-1-2-2-2-1-2-1-2:b1,K3:L2:w1-2:b1,195,195,1.0
K14:L9:w1-1-1-2-2-1-1-2-3:b1,K6:L4:w1-1-2-2:b1,195,195,1.0
K14:L9:w1-1-1-1-1-2-1-4-2:b1,K11:L7:w1-1-1-1-2-1-4:b1,195,195,1.0
K13:L9:w1-1-1-2-2-2-1-1-2:b1,K6:L4:w1-1-2-2:b1,194,194,1.0
K9:L8:w1-1-1-1-1-1-1-2:b1,K8:L7:w1-1-1-1-1-1-2:b1,194,219,0.8858447488584474
K12:L8:w1-1-1-1-1-2-1-4:b1,K11:L7:w1-1-1-1-2-1-4:b1,194,205,0.9463414634146341
K14:L9:w1-1-1-1-1-4-1-2-2:b1,K11:L7:w1-1-1-1-4-1-2:b1,194,194,1.0
K14:L9:w1-1-1-1-3-1-1-3-2:b1,K11:L7:w1-1-1-3-1-1-3:b1,194,194,1.0
K10:L8:w1-1-1-1-1-1-2-2:b1,K9:L7:w1-1-1-1-1-2-2:b1,193,200,0.965
K12:L9:w1-1-1-1-3-1-1-1-2:b1,K6:L4:w1-1-1-3:b1,193,193,1.0
K14:L9:w1-1-1-1-2-2-1-3-2:b1,K11:L7:w1-1-1-2-2-1-3:b1,193,193,1.0
