src,dst,count
K13:L9:w1-1-1-1-1-1-1-4-2:b1,K12:L8:w1-1-1-1-1-1-4-2:b1,175
K14:L9:w1-1-1-1-1-2-1-3-3:b1,K10:L7:w1-1-1-1-2-1-3:b1,175
K10:L8:w1-1-1-1-1-1-1-3:b1,K9:L7:w1-1-1-1-1-1-3:b1,174
K13:L9:w1-1-1-1-2-1-1-3-2:b1,K12:L8:w1-1-1-2-1-1-3-2:b1,174
K14:L9:w1-1-1-1-2-1-1-3-3:b1,K10:L7:w1-1-1-2-1-1-3:b1,174
K14:L9:w1-1-1-1-1-3-1-1-4:b1,K7:L5:w1-1-1-1-3:b1,173
K13:L9:w1-1-1-1-2-1-3-1-2:b1,K12:L8:w1-1-1-2-1-3-1-2:b1,173
K14:L9:w1-1-1-1-2-1-3-1-3:b1,K9:L6:w1-1-1-2-1-3:b1,173
K14:L9:w1-1-1-2-3-1-1-2-2:b1,K4:L3:w1-1-2:b1,172
K6:L4:w1-1-1-3:b1,K6:L5:w1-1-1-1-2:b1,171
K14:L9:w1-1-2-2-1-2-1-1-3:b1,K3:L2:w1-2:b1,171
K14:L9:w1-1-1-1-1-1-2-3-3:b1,K10:L7:w1-1-1-1-1-2-3:b1,171
K14:L9:w1-1-1-1-1-3-1-2-3:b1,K10:L7:w1-1-1-1-3-1-2:b1,171
K12:L9:w1-1-1-2-1-2-1-1-2:b1,K7:L5:w1-1-2-1-2:b1,171
K13:L9:w1-1-1-1-3-2-1-1-2:b1,K12:L8:w1-1-1-3-2-1-1-2:b1,170
K14:L9:w1-1-1-2-2-2-1-1-3:b1,K6:L4:w1-1-2-2:b1,170
K14:L9:w1-1-1-1-2-1-2-1-4:b1,K8:L6:w1-1-1-2-1-2:b1,170
K14:L9:w1-1-1-2-2-3-1-1-2:b1,K6:L4:w1-1-2-2:b1,169
K14:L9:w1-1-1-1-4-1-1-2-2:b1,K11:L7:w1-1-1-4-1-1-2:b1,169
K14:L9:w1-1-1-1-1-2-1-2-4:b1,K9:L7:w1-1-1-1-2-1-2:b1,169
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-1-4:b1,168
K13:L9:w1-1-1-1-1-2-3-1-2:b1,K12:L8:w1-1-1-1-2-3-1-2:b1,167
K3:L2:w1-2:b1,K6:L5:w1-1-1-1-2:b2,167
K14:L9:w1-1-1-1-1-1-2-2-4:b1,K9:L7:w1-1-1-1-1-2-2:b1,167
K13:L9:w1-1-1-3-1-1-2-1-2:b1,K7:L5:w1-1-2-1-2:b1,166
K14:L9:w1-1-1-3-2-1-2-1-2:b1,K3:L2:w1-2:b2,166
K13:L9:w1-1-1-1-2-2-1-1-3:b1,K12:L8:w1-1-1-2-2-1-1-3:b1,166
K14:L9:w1-1-1-2-1-1-2-1-4:b1,K4:L3:w1-1-2:b2,166
