source_node,source_b,t,event_index,step,node,node_id,K,L,b,v2_n_minus_q,value_bit_length
K9:L6:w1-1-1-1-3-2,1,1,0,0,K11:L7:w1-1-1-1-3-2-2,53,11,7,1,12,11
K9:L6:w1-1-1-1-3-2,1,1,1,1,K6:L4:w1-1-1-3,3,6,4,1,7,11
K9:L6:w1-1-1-2-1-3,1,0,0,0,K9:L6:w1-1-1-2-1-3,17,9,6,1,10,10
K9:L6:w1-1-1-2-1-3,1,0,1,1,K4:L3:w1-1-2,1,4,3,1,6,11
K9:L6:w1-1-1-2-1-3,1,0,2,2,K3:L2:w1-2,0,3,2,1,6,11
K9:L6:w1-1-1-2-1-3,1,1,0,0,K9:L6:w1-1-1-2-1-3,17,9,6,1,12,11
K9:L6:w1-1-1-2-1-3,1,1,1,1,K4:L3:w1-1-2,1,4,3,1,6,12
K9:L6:w1-1-1-2-1-3,1,1,2,2,K3:L2:w1-2,0,3,2,1,6,13
K9:L6:w1-1-1-2-2-2,1,0,0,0,K11:L7:w1-1-1-2-2-2-2,59,11,7,1,12,9
K9:L6:w1-1-1-2-2-2,1,0,1,1,K6:L4:w1-1-2-2,4,6,4,1,7,9
K9:L6:w1-1-1-2-2-2,1,0,2,2,K3:L2:w1-2,0,3,2,1,4,10
K9:L6:w1-1-1-2-2-2,1,1,0,0,K9:L6:w1-1-1-2-2-2,18,9,6,1,11,11
K9:L6:w1-1-1-2-2-2,1,1,1,1,K6:L4:w1-1-2-2,4,6,4,1,7,11
K9:L6:w1-1-1-2-2-2,1,1,2,2,K3:L2:w1-2,0,3,2,1,4,12
K9:L6:w1-1-1-3-1-2,1,0,0,0,K9:L6:w1-1-1-3-1-2,19,9,6,1,10,9
K9:L6:w1-1-1-3-1-2,1,0,1,4,K3:L2:w1-2,0,3,2,1,4,10
K9:L6:w1-1-1-3-1-2,1,1,0,0,K15:L10:w1-1-1-3-1-2-1-1-2-2,664,15,10,1,17,11
K9:L6:w1-1-1-3-1-2,1,1,1,4,K3:L2:w1-2,0,3,2,1,5,11
K9:L6:w1-1-1-3-1-2,1,1,2,6,K12:L8:w1-1-2-2-1-2-1-2,135,12,8,1,13,12
K9:L6:w1-1-1-3-1-2,1,1,3,7,K3:L2:w1-2,0,3,2,1,4,12
K9:L6:w1-1-1-3-1-2,1,1,4,10,K3:L2:w1-2,0,3,2,2,7,12
K9:L6:w1-1-1-3-1-2,1,1,5,12,K3:L2:w1-2,0,3,2,1,4,12
K9:L6:w1-1-2-1-1-3,1,0,0,0,K14:L9:w1-1-2-1-1-3-1-1-3,366,14,9,1,16,9
K9:L6:w1-1-2-1-1-3,1,0,1,1,K3:L2:w1-2,0,3,2,1,5,10
K9:L6:w1-1-2-1-1-3,1,1,0,0,K11:L7:w1-1-2-1-1-3-2,66,11,7,1,14,11
K9:L6:w1-1-2-1-1-3,1,1,1,1,K3:L2:w1-2,0,3,2,1,5,12
K9:L6:w1-1-2-1-1-3,1,1,2,7,K6:L4:w1-1-1-3,3,6,4,1,7,11
K9:L6:w1-1-2-1-2-2,1,0,0,0,K9:L6:w1-1-2-1-2-2,21,9,6,1,10,10
K9:L6:w1-1-2-1-2-2,1,0,1,1,K3:L2:w1-2,0,3,2,2,7,11
K9:L6:w1-1-2-1-2-2,1,0,2,3,K3:L2:w1-2,0,3,2,1,4,11
K9:L6:w1-1-2-1-2-2,1,1,0,0,K9:L6:w1-1-2-1-2-2,21,9,6,1,15,11
K9:L6:w1-1-2-1-2-2,1,1,1,1,K3:L2:w1-2,0,3,2,2,7,12
K9:L6:w1-1-2-1-2-2,1,1,2,3,K3:L2:w1-2,0,3,2,1,4,12
K9:L6:w1-1-2-1-2-2,1,1,3,6,K4:L3:w1-1-2,1,4,3,2,11,12
K9:L6:w1-1-2-1-2-2,1,1,4,7,K3:L2:w1-2,0,3,2,1,5,13
K9:L6:w1-1-2-1-2-2,1,1,5,9,K4:L3:w1-1-2,1,4,3,1,7,13
K9:L6:w1-1-2-1-2-2,1,1,6,10,K3:L2:w1-2,0,3,2,1,5,13
K9:L6:w1-1-2-2-1-2,1,0,0,0,K9:L6:w1-1-2-2-1-2,22,9,6,1,14,7
K9:L6:w1-1-2-2-1-2,1,0,1,1,K3:L2:w1-2,0,3,2,1,4,7
K9:L6:w1-1-2-2-1-2,1,0,2,6,K4:L3:w1-1-2,1,4,3,1,7,7
K9:L6:w1-1-2-2-1-2,1,0,3,7,K3:L2:w1-2,0,3,2,1,5,8
K9:L6:w1-1-2-2-1-2,1,0,4,9,K15:L10:w1-1-1-2-3-1-1-2-1-2,657,15,10,1,19,8
K9:L6:w1-1-2-2-1-2,1,0,5,10,K4:L3:w1-1-2,1,4,3,1,5,9
