source_node,source_b,t,event_index,step,node,node_id,K,L,b,v2_n_minus_q,value_bit_length
K5:L4:w1-1-1-2,1,1,2,2,K3:L2:w1-2,0,3,2,2,8,8
K5:L4:w1-1-1-2,1,1,3,4,K3:L2:w1-2,0,3,2,1,5,9
K5:L4:w1-1-1-2,1,1,4,6,K8:L6:w1-1-1-1-1-3,10,8,6,1,12,9
K5:L4:w1-1-1-2,1,1,5,7,K7:L5:w1-1-1-1-3,6,7,5,1,11,9
K5:L4:w1-1-1-2,1,1,6,8,K6:L4:w1-1-1-3,3,6,4,1,12,10
K5:L4:w1-1-1-2,1,2,0,0,K5:L4:w1-1-1-2,2,5,4,1,6,8
K5:L4:w1-1-1-2,1,2,1,1,K4:L3:w1-1-2,1,4,3,1,5,9
K5:L4:w1-1-1-2,1,2,2,2,K3:L2:w1-2,0,3,2,1,4,9
K5:L4:w1-1-1-2,1,3,0,0,K5:L4:w1-1-1-2,2,5,4,1,9,8
K5:L4:w1-1-1-2,1,3,1,1,K4:L3:w1-1-2,1,4,3,1,7,9
K5:L4:w1-1-1-2,1,3,2,2,K3:L2:w1-2,0,3,2,1,5,10
K5:L4:w1-1-1-2,1,4,0,0,K9:L6:w1-1-1-2-2-2,18,9,6,1,10,9
K5:L4:w1-1-1-2,1,4,1,1,K6:L4:w1-1-2-2,4,6,4,1,7,9
K5:L4:w1-1-1-2,1,4,2,2,K3:L2:w1-2,0,3,2,1,4,10
K5:L4:w1-1-1-2,1,5,0,0,K5:L4:w1-1-1-2,2,5,4,1,7,9
K5:L4:w1-1-1-2,1,5,1,1,K4:L3:w1-1-2,1,4,3,1,6,10
K5:L4:w1-1-1-2,1,5,2,2,K3:L2:w1-2,0,3,2,1,6,10
K5:L4:w1-1-1-2,1,6,0,0,K5:L4:w1-1-1-2,2,5,4,1,6,9
K5:L4:w1-1-1-2,1,6,1,1,K4:L3:w1-1-2,1,4,3,1,5,10
K5:L4:w1-1-1-2,1,6,2,2,K3:L2:w1-2,0,3,2,1,4,10
K5:L4:w1-1-1-2,1,7,0,0,K9:L7:w1-1-1-2-1-1-2,26,9,7,1,12,9
K5:L4:w1-1-1-2,1,7,1,1,K4:L3:w1-1-2,1,4,3,3,13,10
K5:L4:w1-1-1-2,1,7,2,2,K3:L2:w1-2,0,3,2,1,5,11
K5:L4:w1-1-1-2,1,7,3,4,K4:L3:w1-1-2,1,4,3,2,9,11
K5:L4:w1-1-1-2,1,7,4,5,K3:L2:w1-2,0,3,2,1,5,11
K5:L4:w1-1-1-2,1,7,5,7,K9:L6:w1-1-2-2-1-2,22,9,6,1,11,12
K5:L4:w1-1-1-2,1,7,6,8,K3:L2:w1-2,0,3,2,1,4,12
K5:L4:w1-1-1-2,1,7,7,11,K3:L2:w1-2,0,3,2,2,7,12
K5:L4:w1-1-1-2,1,7,8,13,K3:L2:w1-2,0,3,2,1,4,12
K5:L4:w1-1-1-2,2,0,0,0,K5:L4:w1-1-1-2,2,5,4,2,12,10
K5:L4:w1-1-1-2,2,0,1,1,K4:L3:w1-1-2,1,4,3,1,7,11
K5:L4:w1-1-1-2,2,0,2,2,K3:L2:w1-2,0,3,2,1,5,11
K5:L4:w1-1-1-2,2,0,3,4,K9:L6:w1-1-1-2-1-3,17,9,6,1,12,11
K5:L4:w1-1-1-2,2,0,4,5,K4:L3:w1-1-2,1,4,3,1,6,12
K5:L4:w1-1-1-2,2,0,5,6,K3:L2:w1-2,0,3,2,1,6,13
