src,dst,count,source_events,empirical_probability
K3:L2:w1-2:b1,K8:L6:w1-1-1-1-2-2:b1,124,50343,0.00246310311264724
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-3-2:b1,124,50343,0.00246310311264724
K11:L8:w1-1-1-2-1-2-1-2:b1,K10:L7:w1-1-2-1-2-1-2:b1,124,124,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-2-1-3:b1,123,50343,0.0024432393778678267
K14:L9:w1-1-2-1-2-2-2-1-2:b1,K3:L2:w1-2:b2,123,123,1.0
K3:L2:w1-2:b1,K8:L6:w1-1-1-1-1-3:b1,122,50343,0.0024233756430884134
K11:L8:w1-1-1-2-1-1-1-3:b1,K4:L3:w1-1-2:b1,122,122,1.0
K12:L8:w1-1-1-3-2-1-1-2:b1,K4:L3:w1-1-2:b1,121,132,0.9166666666666666
K12:L8:w1-1-1-1-1-3-2-2:b1,K11:L7:w1-1-1-1-3-2-2:b1,121,137,0.8832116788321168
K12:L8:w1-1-1-2-1-2-1-3:b1,K11:L7:w1-1-2-1-2-1-3:b1,121,121,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,121,50343,0.002403511908309
K12:L8:w1-1-1-2-2-1-1-3:b1,K11:L7:w1-1-2-2-1-1-3:b1,120,120,1.0
K13:L9:w1-1-2-1-2-1-1-2-2:b1,K3:L2:w1-2:b2,119,119,1.0
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-2-3:b1,118,50343,0.002343920703970761
K12:L8:w1-1-1-3-1-2-1-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,118,118,1.0
K14:L9:w1-1-2-1-2-1-2-2-2:b1,K3:L2:w1-2:b3,118,118,1.0
K12:L8:w1-1-1-1-1-2-3-2:b1,K11:L7:w1-1-1-1-2-3-2:b1,117,122,0.9590163934426229
K14:L9:w1-1-2-1-2-2-1-1-3:b1,K3:L2:w1-2:b2,117,117,1.0
K14:L9:w1-1-1-1-2-1-3-2-2:b1,K11:L7:w1-1-1-2-1-3-2:b1,117,117,1.0
K11:L8:w1-1-1-1-1-2-2-2:b1,K10:L7:w1-1-1-1-2-2-2:b1,117,118,0.9915254237288136
K3:L2:w1-2:b1,K10:L7:w1-1-2-1-2-1-2:b1,117,50343,0.0023240569691913475
K12:L8:w1-1-1-2-1-1-2-3:b1,K4:L3:w1-1-2:b2,117,117,1.0
K11:L8:w1-1-1-1-2-1-2-2:b1,K10:L7:w1-1-1-2-1-2-2:b1,116,117,0.9914529914529915
K14:L9:w1-1-1-2-1-2-1-3-2:b1,K11:L7:w1-1-2-1-2-1-3:b1,116,116,1.0
K12:L8:w1-1-1-1-2-3-1-2:b1,K11:L7:w1-1-1-2-3-1-2:b1,116,116,1.0
K12:L8:w1-1-1-1-1-1-3-3:b1,K11:L7:w1-1-1-1-1-3-3:b1,116,118,0.9830508474576272
K14:L9:w1-1-1-2-1-2-2-2-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,116,116,1.0
K12:L8:w1-1-1-1-2-2-1-3:b1,K11:L7:w1-1-1-2-2-1-3:b1,115,115,1.0
K10:L8:w1-1-1-1-2-1-1-2:b1,K9:L7:w1-1-1-2-1-1-2:b1,115,121,0.9504132231404959
K12:L8:w1-1-1-1-4-1-1-2:b1,K11:L7:w1-1-1-4-1-1-2:b1,115,115,1.0
K14:L9:w1-1-1-1-2-2-2-2-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,115,115,1.0
K14:L9:w1-1-1-2-1-1-3-2-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,114,114,1.0
K13:L9:w1-1-2-1-2-1-2-1-2:b1,K3:L2:w1-2:b4,114,114,1.0
