src,dst,count
K12:L9:w1-1-1-1-2-1-1-2-2:b1,K11:L8:w1-1-1-2-1-1-2-2:b1,101
K14:L9:w1-1-1-2-2-2-2-1-2:b1,K6:L4:w1-1-2-2:b1,101
K14:L9:w1-1-1-1-1-1-1-5-2:b1,K11:L7:w1-1-1-1-1-1-5:b1,101
K6:L4:w1-1-1-3:b1,K7:L5:w1-1-1-2-2:b1,101
K14:L9:w1-1-1-2-1-2-3-1-2:b1,K7:L5:w1-1-2-1-2:b1,100
K14:L9:w1-1-1-3-1-1-2-2-2:b1,K6:L4:w1-1-2-2:b1,100
K14:L9:w1-1-1-2-1-1-2-3-2:b1,K4:L3:w1-1-2:b2,100
K14:L9:w1-1-1-2-2-1-3-1-2:b1,K6:L4:w1-1-2-2:b1,100
K12:L8:w1-1-1-1-1-4-1-2:b1,K11:L7:w1-1-1-1-4-1-2:b1,99
K13:L9:w1-1-1-1-1-3-2-1-2:b1,K12:L8:w1-1-1-1-3-2-1-2:b1,99
K13:L9:w1-1-1-2-1-1-3-1-2:b1,K12:L8:w1-1-2-1-1-3-1-2:b1,99
K14:L9:w1-1-1-1-3-1-1-3-2:b1,K11:L7:w1-1-1-3-1-1-3:b1,99
K12:L8:w1-1-1-1-2-1-1-4:b1,K11:L7:w1-1-1-2-1-1-4:b1,99
K10:L8:w1-1-1-1-1-1-2-2:b1,K9:L7:w1-1-1-1-1-2-2:b1,98
K13:L9:w1-1-1-1-2-2-2-1-2:b1,K12:L8:w1-1-1-2-2-2-1-2:b1,98
K14:L9:w1-1-1-2-1-2-1-2-3:b1,K10:L7:w1-1-2-1-2-1-2:b1,98
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,98
K14:L9:w1-1-1-1-1-1-2-4-2:b1,K11:L7:w1-1-1-1-1-2-4:b1,98
K14:L9:w1-1-1-1-1-2-3-2-2:b1,K11:L7:w1-1-1-1-2-3-2:b1,98
K14:L9:w1-1-1-2-2-1-1-2-3:b1,K6:L4:w1-1-2-2:b1,98
K14:L9:w1-1-1-1-1-1-3-3-2:b1,K11:L7:w1-1-1-1-1-3-3:b1,98
K3:L2:w1-2:b1,K7:L6:w1-1-1-1-1-2:b1,97
K13:L9:w1-1-1-2-2-1-2-1-2:b1,K12:L8:w1-1-2-2-1-2-1-2:b1,97
K13:L9:w1-1-1-2-1-1-1-3-2:b1,K4:L3:w1-1-2:b1,97
K14:L9:w1-1-1-3-1-2-2-1-2:b1,K3:L2:w1-2:b1,97
