source_node,source_id,source_K,source_L,source_b,t,start_residue_bits,start_residue,start_bit_length,stopped_below_start,stop_or_final_step,episode_count,max_ratio,episode_path
K6:L4:w1-1-2-2,4,6,4,2,0,13,2887,12,1,10,4,2.8489781780394874,K6:L4:w1-1-2-2:b2@0 > K3:L2:w1-2:b1@1 > K6:L4:w1-1-2-2:b1@4 > K3:L2:w1-2:b1@5
K6:L4:w1-1-2-2,4,6,4,2,1,13,2887,14,1,9,4,2.848000722086831,K6:L4:w1-1-2-2:b2@0 > K3:L2:w1-2:b1@1 > K6:L4:w1-1-2-2:b1@4 > K3:L2:w1-2:b1@5
K6:L4:w1-1-2-2,4,6,4,2,2,13,2887,15,1,11,4,3.604431529240828,K6:L4:w1-1-2-2:b2@0 > K3:L2:w1-2:b1@1 > K6:L4:w1-1-2-2:b1@4 > K3:L2:w1-2:b1@5
K6:L4:w1-1-2-2,4,6,4,2,3,13,2887,15,1,11,4,2.8477952153806942,K6:L4:w1-1-2-2:b2@0 > K3:L2:w1-2:b1@1 > K6:L4:w1-1-2-2:b1@4 > K3:L2:w1-2:b1@5
K6:L4:w1-1-2-2,4,6,4,2,4,13,2887,16,1,85,30,384.8334595428411,K6:L4:w1-1-2-2:b2@0 > K3:L2:w1-2:b1@1 > K9:L6:w1-1-2-2-1-2:b1@4 > K3:L2:w1-2:b1@5 > K9:L8:w1-1-1-1-1-1-1-2:b1@10 > K8:L7:w1-1-1-1-1-1-2:b1@11 > K10:L7:w1-1-1-1-1-2-3:b1@12 > K9:L6:w1-1-1-1-2-3:b1@13 > K5:L4:w1-1-1-2:b1@14 > K4:L3:w1-1-2:b1@15 > K3:L2:w1-2:b1@16 > K6:L5:w1-1-1-1-2:b1@20 > K5:L4:w1-1-1-2:b1@21 > K4:L3:w1-1-2:b1@22 > K3:L2:w1-2:b1@23 > K9:L7:w1-1-1-1-1-2-2:b1@25 > K8:L6:w1-1-1-1-2-2:b1@26 > K10:L7:w1-1-1-2-2-1-2:b1@27 > K9:L6:w1-1-2-2-1-2:b1@28 > K3:L2:w1-2:b1@29 > K3:L2:w1-2:b2@32 > K3:L2:w1-2:b1@34 > K8:L6:w1-1-1-2-1-2:b1@55 > K7:L5:w1-1-2-1-2:b1@56 > K3:L2:w1-2:b2@57 > K3:L2:w1-2:b1@59 > K9:L7:w1-1-1-1-1-1-3:b1@65 > K8:L6:w1-1-1-1-1-3:b1@66 > K7:L5:w1-1-1-1-3:b1@67 > K6:L4:w1-1-1-3:b1@68
K6:L4:w1-1-2-2,4,6,4,2,5,13,2887,16,1,9,4,2.847743289164595,K6:L4:w1-1-2-2:b2@0 > K3:L2:w1-2:b1@1 > K6:L4:w1-1-2-2:b1@4 > K3:L2:w1-2:b1@5
K6:L4:w1-1-2-2,4,6,4,2,6,13,2887,16,1,29,13,29.227252637444995,K6:L4:w1-1-2-2:b2@0 > K3:L2:w1-2:b1@1 > K6:L4:w1-1-2-2:b1@4 > K3:L2:w1-2:b1@5 > K9:L7:w1-1-1-1-2-1-2:b1@8 > K8:L6:w1-1-1-2-1-2:b1@9 > K7:L5:w1-1-2-1-2:b1@10 > K3:L2:w1-2:b2@11 > K3:L2:w1-2:b1@13 > K4:L3:w1-1-2:b2@15 > K3:L2:w1-2:b1@16 > K4:L3:w1-1-2:b1@18 > K3:L2:w1-2:b1@19
K6:L4:w1-1-2-2,4,6,4,2,7,13,2887,16,1,10,4,2.847719612823961,K6:L4:w1-1-2-2:b2@0 > K3:L2:w1-2:b1@1 > K6:L4:w1-1-2-2:b1@4 > K3:L2:w1-2:b1@5
K6:L5:w1-1-1-1-2,5,6,5,1,0,7,31,5,1,35,15,99.25806451612904,K8:L6:w1-1-1-1-2-2:b1@0 > K10:L7:w1-1-1-2-2-1-2:b1@1 > K9:L6:w1-1-2-2-1-2:b1@2 > K3:L2:w1-2:b1@3 > K4:L3:w1-1-2:b1@8 > K3:L2:w1-2:b1@9 > K5:L4:w1-1-1-2:b1@11 > K4:L3:w1-1-2:b1@12 > K3:L2:w1-2:b1@13 > K7:L5:w1-1-2-1-2:b1@16 > K3:L2:w1-2:b2@17 > K3:L2:w1-2:b1@19 > K8:L6:w1-1-1-1-1-3:b1@21 > K7:L5:w1-1-1-1-3:b1@22 > K6:L4:w1-1-1-3:b1@23
K6:L5:w1-1-1-1-2,5,6,5,1,1,7,31,8,1,13,4,19.352201257861637,K6:L5:w1-1-1-1-2:b1@0 > K5:L4:w1-1-1-2:b1@1 > K4:L3:w1-1-2:b1@2 > K3:L2:w1-2:b1@3
K6:L5:w1-1-1-1-2,5,6,5,1,2,7,31,9,1,6,4,5.076655052264808,K6:L5:w1-1-1-1-2:b1@0 > K5:L4:w1-1-1-2:b1@1 > K4:L3:w1-1-2:b1@2 > K3:L2:w1-2:b1@3
K6:L5:w1-1-1-1-2,5,6,5,1,3,7,31,9,1,9,5,5.708433734939759,K9:L7:w1-1-1-1-2-1-2:b1@0 > K10:L7:w1-1-1-2-1-2-2:b1@1 > K9:L6:w1-1-2-1-2-2:b1@2 > K3:L2:w1-2:b2@3 > K3:L2:w1-2:b1@5
K6:L5:w1-1-1-1-2,5,6,5,1,4,7,31,10,1,8,4,5.069981583793738,K8:L6:w1-1-1-1-2-2:b1@0 > K7:L5:w1-1-1-2-2:b1@1 > K6:L4:w1-1-2-2:b1@2 > K3:L2:w1-2:b1@3
K6:L5:w1-1-1-1-2,5,6,5,1,5,7,31,10,1,24,12,19.554396423248882,K6:L5:w1-1-1-1-2:b1@0 > K10:L7:w1-1-1-2-1-1-3:b1@1 > K9:L6:w1-1-2-1-1-3:b1@2 > K3:L2:w1-2:b1@3 > K6:L4:w1-1-1-3:b1@9 > K9:L8:w1-1-1-1-1-1-1-2:b1@14 > K10:L8:w1-1-1-1-1-1-2-2:b1@15 > K9:L7:w1-1-1-1-1-2-2:b1@16 > K8:L6:w1-1-1-1-2-2:b1@17 > K7:L5:w1-1-1-2-2:b1@18 > K6:L4:w1-1-2-2:b1@19 > K3:L2:w1-2:b1@20
K6:L5:w1-1-1-1-2,5,6,5,1,6,7,31,10,1,8,4,5.067584480600751,K9:L6:w1-1-1-1-2-3:b1@0 > K5:L4:w1-1-1-2:b1@1 > K4:L3:w1-1-2:b1@2 > K3:L2:w1-2:b1@3
K6:L5:w1-1-1-1-2,5,6,5,1,7,7,31,10,1,23,11,5.701186623516721,K6:L5:w1-1-1-1-2:b1@0 > K5:L4:w1-1-1-2:b1@1 > K4:L3:w1-1-2:b1@2 > K3:L2:w1-2:b1@3 > K10:L7:w1-1-1-1-3-1-2:b1@7 > K9:L6:w1-1-1-3-1-2:b1@8 > K3:L2:w1-2:b1@12 > K9:L6:w1-1-2-2-1-2:b1@14 > K3:L2:w1-2:b1@15 > K3:L2:w1-2:b2@18 > K3:L2:w1-2:b1@20
