source_node,source_id,source_K,source_L,source_b,t,start_residue_bits,start_residue,start_bit_length,stopped_below_start,stop_or_final_step,episode_count,max_ratio,episode_path
K8:L7:w1-1-1-1-1-1-2,13,8,7,1,0,9,127,7,1,9,6,11.472440944881889,K12:L8:w1-1-1-1-1-1-2-4:b1@0 > K11:L7:w1-1-1-1-1-2-4:b1@1 > K6:L5:w1-1-1-1-2:b1@2 > K5:L4:w1-1-1-2:b1@3 > K4:L3:w1-1-2:b1@4 > K3:L2:w1-2:b1@5
K8:L7:w1-1-1-1-1-1-2,13,8,7,1,1,9,127,10,1,14,9,21.660406885759,K15:L12:w1-1-1-1-1-1-2-1-2-1-1-2:b1@0 > K14:L11:w1-1-1-1-1-2-1-2-1-1-2:b1@1 > K16:L11:w1-1-1-1-2-1-2-1-1-2-3:b1@2 > K15:L10:w1-1-1-2-1-2-1-1-2-3:b1@3 > K14:L9:w1-1-2-1-2-1-1-2-3:b1@4 > K3:L2:w1-2:b2@5 > K3:L2:w1-2:b1@7 > K4:L3:w1-1-2:b1@9 > K3:L2:w1-2:b1@10
K9:L6:w1-1-1-1-1-4,14,9,6,1,0,10,63,6,1,34,15,48.84126984126984,K16:L11:w1-1-1-1-1-4-1-2-1-1-2:b1@0 > K15:L10:w1-1-1-1-4-1-2-1-1-2:b1@1 > K14:L9:w1-1-1-4-1-2-1-1-2:b1@2 > K3:L2:w1-2:b1@6 > K4:L3:w1-1-2:b1@8 > K3:L2:w1-2:b1@9 > K15:L10:w1-1-1-2-3-1-1-2-1-2:b1@11 > K4:L3:w1-1-2:b1@12 > K3:L2:w1-2:b1@13 > K7:L5:w1-1-2-1-2:b1@16 > K3:L2:w1-2:b2@17 > K3:L2:w1-2:b1@19 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@21 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@22 > K6:L4:w1-1-1-3:b1@23
K9:L6:w1-1-1-1-1-4,14,9,6,1,1,10,63,11,1,7,1,7.599816007359705,K9:L6:w1-1-1-1-1-4:b1@0
K9:L6:w1-1-1-1-2-3,15,9,6,1,0,10,799,10,1,8,4,5.067584480600751,K9:L6:w1-1-1-1-2-3:b1@0 > K5:L4:w1-1-1-2:b1@1 > K4:L3:w1-1-2:b1@2 > K3:L2:w1-2:b1@3
K9:L6:w1-1-1-1-2-3,15,9,6,1,1,10,799,11,1,7,4,5.064728469555678,K9:L6:w1-1-1-1-2-3:b1@0 > K5:L4:w1-1-1-2:b1@1 > K4:L3:w1-1-2:b1@2 > K3:L2:w1-2:b1@3
K9:L6:w1-1-1-1-3-2,16,9,6,1,0,10,223,8,1,19,5,13.798206278026905,K9:L6:w1-1-1-1-3-2:b1@0 > K6:L4:w1-1-1-3:b1@1 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@6 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@7 > K6:L4:w1-1-1-3:b1@8
K9:L6:w1-1-1-1-3-2,16,9,6,1,1,10,223,11,1,8,2,5.065757818765036,K11:L7:w1-1-1-1-3-2-2:b1@0 > K6:L4:w1-1-1-3:b1@1
K9:L6:w1-1-1-2-1-3,17,9,6,1,0,10,879,10,1,7,3,3.8009101251422073,K9:L6:w1-1-1-2-1-3:b1@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2
K9:L6:w1-1-1-2-1-3,17,9,6,1,1,10,879,11,1,9,3,3.7987388334209142,K9:L6:w1-1-1-2-1-3:b1@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2
K9:L6:w1-1-1-2-2-2,18,9,6,1,0,10,303,9,1,8,3,3.382838283828383,K11:L7:w1-1-1-2-2-2-2:b1@0 > K6:L4:w1-1-2-2:b1@1 > K3:L2:w1-2:b1@2
K9:L6:w1-1-1-2-2-2,18,9,6,1,1,10,303,11,1,8,3,3.376789751318764,K9:L6:w1-1-1-2-2-2:b1@0 > K6:L4:w1-1-2-2:b1@1 > K3:L2:w1-2:b1@2
K9:L6:w1-1-1-3-1-2,19,9,6,1,0,10,463,9,1,7,2,3.3801295896328294,K9:L6:w1-1-1-3-1-2:b1@0 > K3:L2:w1-2:b1@4
K9:L6:w1-1-1-3-1-2,19,9,6,1,1,10,463,11,1,15,6,3.3765971755211837,K15:L10:w1-1-1-3-1-2-1-1-2-2:b1@0 > K3:L2:w1-2:b1@4 > K12:L8:w1-1-2-2-1-2-1-2:b1@6 > K3:L2:w1-2:b1@7 > K3:L2:w1-2:b2@10 > K3:L2:w1-2:b1@12
K9:L6:w1-1-2-1-1-3,20,9,6,1,0,10,487,9,1,12,2,3.8049281314168377,K14:L9:w1-1-2-1-1-3-1-1-3:b1@0 > K3:L2:w1-2:b1@1
K9:L6:w1-1-2-1-1-3,20,9,6,1,1,10,487,11,1,12,3,3.799470549305096,K11:L7:w1-1-2-1-1-3-2:b1@0 > K3:L2:w1-2:b1@1 > K6:L4:w1-1-1-3:b1@7
K9:L6:w1-1-2-1-2-2,21,9,6,1,0,10,935,10,1,7,3,2.5336898395721925,K9:L6:w1-1-2-1-2-2:b1@0 > K3:L2:w1-2:b2@1 > K3:L2:w1-2:b1@3
K9:L6:w1-1-2-1-2-2,21,9,6,1,1,10,935,11,1,16,7,13.69933639612047,K9:L6:w1-1-2-1-2-2:b1@0 > K3:L2:w1-2:b2@1 > K3:L2:w1-2:b1@3 > K4:L3:w1-1-2:b2@6 > K3:L2:w1-2:b1@7 > K4:L3:w1-1-2:b1@9 > K3:L2:w1-2:b1@10
