src,dst,count
K11:L7:w1-1-1-1-1-3-3:b1,K7:L5:w1-1-1-1-3:b1,19
K3:L2:w1-2:b1,K9:L6:w1-1-1-3-1-2:b1,19
K10:L7:w1-1-1-1-1-3-2:b1,K9:L6:w1-1-1-1-3-2:b1,19
K11:L8:w1-1-1-2-1-1-2-2:b1,K4:L3:w1-1-2:b2,19
K10:L7:w1-1-1-1-2-2-2:b1,K9:L6:w1-1-1-2-2-2:b1,18
K14:L9:w1-1-2-1-2-1-2-2-2:b1,K3:L2:w1-2:b3,18
K3:L2:w1-2:b1,K15:L10:w1-1-1-1-1-3-1-1-1-4:b1,17
K10:L7:w1-1-1-1-2-1-3:b1,K9:L6:w1-1-1-2-1-3:b1,17
K12:L8:w1-1-1-1-2-1-3-2:b1,K11:L7:w1-1-1-2-1-3-2:b1,17
K10:L7:w1-1-1-1-3-1-2:b1,K9:L6:w1-1-1-3-1-2:b1,17
K13:L9:w1-1-1-1-1-1-3-2-2:b1,K12:L8:w1-1-1-1-1-3-2-2:b1,17
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,17
K15:L10:w1-1-1-1-2-1-1-3-2-2:b1,K14:L9:w1-1-1-2-1-1-3-2-2:b1,17
K6:L4:w1-1-1-3:b1,K5:L4:w1-1-1-2:b1,17
K9:L7:w1-1-1-1-1-1-3:b1,K8:L6:w1-1-1-1-1-3:b1,17
K12:L8:w1-1-1-1-1-3-2-2:b1,K11:L7:w1-1-1-1-3-2-2:b1,16
K13:L9:w1-1-1-1-1-3-2-1-2:b1,K12:L8:w1-1-1-1-3-2-1-2:b1,16
K12:L8:w1-1-1-1-3-1-2-2:b1,K11:L7:w1-1-1-3-1-2-2:b1,16
K8:L7:w1-1-1-1-1-1-2:b1,K7:L6:w1-1-1-1-1-2:b1,16
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,15
K16:L11:w1-1-1-1-1-2-1-1-3-2-2:b1,K15:L10:w1-1-1-1-2-1-1-3-2-2:b1,15
K14:L9:w1-1-1-1-3-1-2-2-2:b1,K11:L7:w1-1-1-3-1-2-2:b1,15
K14:L9:w1-1-1-1-2-1-2-2-3:b1,K10:L7:w1-1-1-2-1-2-2:b1,15
K9:L7:w1-1-1-1-2-1-2:b1,K8:L6:w1-1-1-2-1-2:b1,15
K12:L9:w1-1-1-1-2-1-1-2-2:b1,K11:L8:w1-1-1-2-1-1-2-2:b1,15
K14:L9:w1-1-1-2-2-3-1-1-2:b1,K6:L4:w1-1-2-2:b1,15
K14:L9:w1-1-1-1-1-3-1-1-4:b1,K7:L5:w1-1-1-1-3:b1,15
K3:L2:w1-2:b1,K15:L10:w1-1-1-2-3-1-1-2-1-2:b1,14
K12:L8:w1-1-1-2-1-1-3-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,14
K14:L9:w1-1-2-1-2-1-1-2-3:b1,K3:L2:w1-2:b2,14
K3:L2:w1-2:b1,K12:L8:w1-1-2-2-1-2-1-2:b1,14
K14:L9:w1-1-1-2-1-2-1-2-3:b1,K10:L7:w1-1-2-1-2-1-2:b1,14
K15:L10:w1-1-2-1-2-1-2-2-1-2:b1,K3:L2:w1-2:b3,14
K14:L9:w1-1-2-2-1-2-2-1-2:b1,K3:L2:w1-2:b1,14
K12:L8:w1-1-1-2-2-1-1-3:b1,K11:L7:w1-1-2-2-1-1-3:b1,14
K14:L10:w1-1-1-1-2-1-2-2-1-2:b1,K13:L9:w1-1-1-2-1-2-2-1-2:b1,14
K14:L9:w1-1-2-1-3-1-1-2-2:b1,K3:L2:w1-2:b1,14
K13:L9:w1-1-1-2-2-1-1-2-2:b1,K6:L4:w1-1-2-2:b2,14
K14:L9:w1-1-2-2-1-2-1-2-2:b1,K3:L2:w1-2:b1,14
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-1-3:b1,14
K12:L8:w1-1-1-1-1-1-2-4:b1,K11:L7:w1-1-1-1-1-2-4:b1,13
K13:L9:w1-1-1-1-3-2-1-1-2:b1,K12:L8:w1-1-1-3-2-1-1-2:b1,13
K14:L9:w1-1-2-1-1-3-1-2-2:b1,K3:L2:w1-2:b1,13
K13:L9:w1-1-2-1-2-1-2-1-2:b1,K3:L2:w1-2:b4,13
K3:L2:w1-2:b1,K9:L6:w1-1-2-1-1-3:b1,13
K11:L7:w1-1-1-1-4-1-2:b1,K3:L2:w1-2:b1,13
K12:L8:w1-1-1-1-4-1-1-2:b1,K11:L7:w1-1-1-4-1-1-2:b1,13
K14:L9:w1-1-1-2-2-1-2-2-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,13
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,13
K15:L11:w1-1-1-1-1-2-1-2-2-1-2:b1,K14:L10:w1-1-1-1-2-1-2-2-1-2:b1,13
K11:L7:w1-1-1-4-1-1-2:b1,K4:L3:w1-1-2:b1,13
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,13
K3:L2:w1-2:b1,K8:L6:w1-1-1-1-2-2:b1,13
K14:L9:w1-1-1-1-2-2-2-1-3:b1,K9:L6:w1-1-1-2-2-2:b1,13
K14:L9:w1-1-1-2-1-3-1-2-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,13
K14:L10:w1-1-1-2-2-1-2-1-1-2:b1,K9:L6:w1-1-2-2-1-2:b1,12
K10:L8:w1-1-1-1-1-1-2-2:b1,K9:L7:w1-1-1-1-1-2-2:b1,12
K15:L10:w1-1-1-2-1-2-1-1-2-3:b1,K14:L9:w1-1-2-1-2-1-1-2-3:b1,12
K14:L9:w1-1-1-1-1-3-1-3-2:b1,K11:L7:w1-1-1-1-3-1-3:b1,12
K14:L9:w1-1-1-2-2-2-1-2-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,12
K14:L9:w1-1-1-1-2-2-3-1-2:b1,K7:L5:w1-1-1-2-2:b1,12
K14:L9:w1-1-2-1-3-1-2-1-2:b1,K3:L2:w1-2:b1,12
K14:L9:w1-1-2-2-2-1-2-1-2:b1,K3:L2:w1-2:b1,12
K13:L9:w1-1-2-1-2-1-1-2-2:b1,K3:L2:w1-2:b2,12
K15:L10:w1-1-1-2-1-1-1-3-2-2:b1,K4:L3:w1-1-2:b1,12
K14:L9:w1-1-1-1-1-2-2-3-2:b1,K11:L7:w1-1-1-1-2-2-3:b1,12
K12:L8:w1-1-1-1-2-2-2-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,12
K14:L9:w1-1-2-1-2-2-2-1-2:b1,K3:L2:w1-2:b2,12
K12:L8:w1-1-1-2-2-2-1-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,12
K3:L2:w1-2:b1,K5:L4:w1-1-1-2:b2,12
K14:L9:w1-1-2-1-2-1-1-3-2:b1,K3:L2:w1-2:b2,12
K3:L2:w1-2:b1,K10:L7:w1-1-1-1-1-1-4:b1,12
K13:L9:w1-1-1-1-2-2-1-1-3:b1,K12:L8:w1-1-1-2-2-1-1-3:b1,12
K6:L4:w1-1-1-3:b2,K6:L4:w1-1-1-3:b1,12
K14:L9:w1-1-1-1-2-1-1-2-4:b1,K9:L7:w1-1-1-2-1-1-2:b1,12
K15:L10:w1-1-1-2-2-1-2-1-2-2:b1,K14:L9:w1-1-2-2-1-2-1-2-2:b1,12
K7:L5:w1-1-2-1-2:b2,K3:L2:w1-2:b2,12
K3:L2:w1-2:b1,K9:L7:w1-1-1-2-1-1-2:b1,12
K14:L10:w1-1-1-1-1-1-1-3-2-2:b1,K13:L9:w1-1-1-1-1-1-3-2-2:b1,12
K3:L2:w1-2:b1,K3:L2:w1-2:b3,12
K7:L5:w1-1-1-2-2:b2,K6:L4:w1-1-2-2:b1,12
K13:L9:w1-1-1-1-2-1-1-3-2:b1,K12:L8:w1-1-1-2-1-1-3-2:b1,11
K14:L10:w1-1-1-1-1-3-2-1-1-2:b1,K13:L9:w1-1-1-1-3-2-1-1-2:b1,11
K10:L8:w1-1-1-1-2-1-1-2:b1,K9:L7:w1-1-1-2-1-1-2:b1,11
K14:L9:w1-1-1-1-1-4-2-1-2:b1,K3:L2:w1-2:b1,11
K14:L9:w1-1-1-1-2-2-2-2-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,11
K3:L2:w1-2:b1,K9:L7:w1-1-1-1-1-2-2:b1,11
K13:L9:w1-1-1-2-1-1-2-2-2:b1,K4:L3:w1-1-2:b2,11
K16:L11:w1-1-1-2-1-1-2-1-2-2-2:b1,K4:L3:w1-1-2:b2,11
K12:L8:w1-1-1-1-2-1-2-3:b1,K11:L7:w1-1-1-2-1-2-3:b1,11
K12:L8:w1-1-1-1-1-1-1-5:b1,K11:L7:w1-1-1-1-1-1-5:b1,11
K12:L8:w1-1-1-2-1-1-1-4:b1,K4:L3:w1-1-2:b1,11
K14:L9:w1-1-1-2-1-2-2-2-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,11
K12:L8:w1-1-1-2-3-1-1-2:b1,K4:L3:w1-1-2:b1,11
K12:L8:w1-1-2-1-1-3-1-2:b1,K3:L2:w1-2:b1,11
K13:L9:w1-1-1-1-1-2-2-2-2:b1,K12:L8:w1-1-1-1-2-2-2-2:b1,11
K14:L9:w1-1-1-1-1-2-1-2-4:b1,K9:L7:w1-1-1-1-2-1-2:b1,11
K15:L10:w1-1-1-1-1-3-1-2-2-2:b1,K14:L9:w1-1-1-1-3-1-2-2-2:b1,11
K15:L10:w1-1-1-2-1-2-1-2-2-2:b1,K14:L9:w1-1-2-1-2-1-2-2-2:b1,11
K13:L10:w1-1-1-1-1-2-1-1-2-2:b1,K12:L9:w1-1-1-1-2-1-1-2-2:b1,11
K14:L10:w1-1-1-1-2-2-1-1-2-2:b1,K13:L9:w1-1-1-2-2-1-1-2-2:b1,11
K3:L2:w1-2:b1,K10:L7:w1-1-1-2-1-2-2:b1,11
K14:L9:w1-1-1-2-1-4-1-1-2:b1,K4:L3:w1-1-2:b1,11
K14:L9:w1-1-2-1-2-2-1-2-2:b1,K3:L2:w1-2:b2,11
K14:L10:w1-1-1-1-1-1-3-1-2-2:b1,K13:L9:w1-1-1-1-1-3-1-2-2:b1,11
K13:L9:w1-1-1-1-1-3-1-2-2:b1,K12:L8:w1-1-1-1-3-1-2-2:b1,11
