K,L,word,C_w,A,denominator,q_num,q_den,q_decimal,residue_bits,q_mod_2_power
15,10,1 1 1 1 1 2 2 1 2 3,69097,15,-26281,-69097,26281,-2.62916175184,16,51903
15,10,1 1 1 1 1 2 2 1 3 2,73193,15,-26281,-73193,26281,-2.78501579088,16,15039
15,10,1 1 1 1 1 2 2 2 1 3,72169,15,-26281,-72169,26281,-2.74605228112,16,40639
15,10,1 1 1 1 1 2 2 2 2 2,76265,15,-26281,-76265,26281,-2.90190632016,16,3775
15,10,1 1 1 1 1 2 2 3 1 2,82409,15,-26281,-82409,26281,-3.13568737871,16,46783
15,10,1 1 1 1 1 2 3 1 1 3,76777,15,-26281,-76777,26281,-2.92138807504,16,56511
15,10,1 1 1 1 1 2 3 1 2 2,80873,15,-26281,-80873,26281,-3.07724211407,16,19647
15,10,1 1 1 1 1 2 3 2 1 2,87017,15,-26281,-87017,26281,-3.31102317263,16,62655
15,10,1 1 1 1 1 2 4 1 1 2,96233,15,-26281,-96233,26281,-3.66169476047,16,28863
15,10,1 1 1 1 1 3 1 1 1 4,70505,15,-26281,-70505,26281,-2.68273657776,16,319
15,10,1 1 1 1 1 3 1 1 2 3,72553,15,-26281,-72553,26281,-2.76066359728,16,14655
15,10,1 1 1 1 1 3 1 1 3 2,76649,15,-26281,-76649,26281,-2.91651763632,16,43327
15,10,1 1 1 1 1 3 1 2 1 3,75625,15,-26281,-75625,26281,-2.87755412656,16,3391
15,10,1 1 1 1 1 3 1 2 2 2,79721,15,-26281,-79721,26281,-3.03340816559,16,32063
15,10,1 1 1 1 1 3 1 3 1 2,85865,15,-26281,-85865,26281,-3.26718922415,16,9535
15,10,1 1 1 1 1 3 2 1 1 3,80233,15,-26281,-80233,26281,-3.05288992047,16,19263
15,10,1 1 1 1 1 3 2 1 2 2,84329,15,-26281,-84329,26281,-3.20874395951,16,47935
15,10,1 1 1 1 1 3 2 2 1 2,90473,15,-26281,-90473,26281,-3.44252501807,16,25407
15,10,1 1 1 1 1 3 3 1 1 2,99689,15,-26281,-99689,26281,-3.79319660591,16,57151
15,10,1 1 1 1 1 4 1 1 1 3,87145,15,-26281,-87145,26281,-3.31589361135,16,10303
15,10,1 1 1 1 1 4 1 1 2 2,91241,15,-26281,-91241,26281,-3.47174765039,16,38975
15,10,1 1 1 1 1 4 1 2 1 2,97385,15,-26281,-97385,26281,-3.70552870895,16,16447
15,10,1 1 1 1 1 4 2 1 1 2,106601,15,-26281,-106601,26281,-4.05620029679,16,48191
15,10,1 1 1 1 1 5 1 1 1 2,120425,15,-26281,-120425,26281,-4.58220767855,16,30271
15,10,1 1 1 1 2 1 1 1 1 5,64777,15,-26281,-64777,26281,-2.46478444504,16,16543
15,10,1 1 1 1 2 1 1 1 2 4,65801,15,-26281,-65801,26281,-2.5037479548,16,56479
15,10,1 1 1 1 2 1 1 1 3 3,67849,15,-26281,-67849,26281,-2.58167497432,16,5279
15,10,1 1 1 1 2 1 1 1 4 2,71945,15,-26281,-71945,26281,-2.73752901336,16,33951
15,10,1 1 1 1 2 1 1 2 1 4,67337,15,-26281,-67337,26281,-2.56219321944,16,18079
15,10,1 1 1 1 2 1 1 2 2 3,69385,15,-26281,-69385,26281,-2.64012023896,16,32415
15,10,1 1 1 1 2 1 1 2 3 2,73481,15,-26281,-73481,26281,-2.795974278,16,61087
15,10,1 1 1 1 2 1 1 3 1 3,72457,15,-26281,-72457,26281,-2.75701076824,16,21151
15,10,1 1 1 1 2 1 1 3 2 2,76553,15,-26281,-76553,26281,-2.91286480728,16,49823
