src,dst,count,source_events,empirical_probability
K13:b1,K14:b1,9,13484,0.0006674577276772471
K13:b1,K15:b1,9,13484,0.0006674577276772471
K3:b6,K3:b5,9,9,1.0
K11:b1,K8:b1,8,23268,0.00034381983840467596
K16:b1,K3:b6,8,21887,0.00036551377530040665
K9:b2,K9:b1,7,289,0.02422145328719723
K11:b1,K10:b2,7,23268,0.00030084235860409147
K15:b1,K10:b2,6,35395,0.00016951546828648114
K6:b3,K5:b1,6,19,0.3157894736842105
K12:b1,K14:b1,6,13483,0.0004450048208855596
K14:b1,K6:b2,6,38147,0.0001572862872571893
K6:b1,K3:b4,5,31890,0.00015678896205707118
K9:b2,K11:b1,4,289,0.01384083044982699
K8:b1,K16:b1,4,4040,0.0009900990099009901
K6:b2,K16:b1,4,1946,0.0020554984583761563
K12:b1,K11:b2,4,13483,0.0002966698805903731
K3:b1,K6:b3,4,100901,3.96428182079464e-05
K13:b1,K12:b2,4,13484,0.0002966478789676654
K16:b1,K16:b1,4,21887,0.00018275688765020332
K15:b1,K7:b3,4,35395,0.00011301031219098742
K7:b3,K6:b1,4,4,1.0
K16:b1,K10:b2,4,21887,0.00018275688765020332
K9:b2,K15:b1,3,289,0.010380622837370242
K6:b3,K6:b2,3,19,0.15789473684210525
K9:b1,K9:b1,3,15009,0.0001998800719568259
K14:b1,K3:b5,3,38147,7.864314362859465e-05
K14:b1,K13:b2,3,38147,7.864314362859465e-05
K10:b1,K9:b2,3,7876,0.0003809040121889284
K3:b1,K3:b5,3,100901,2.9732113655959802e-05
K3:b1,K10:b2,3,100901,2.9732113655959802e-05
K6:b1,K9:b2,2,31890,6.271558482282847e-05
K13:b1,K13:b1,2,13484,0.0001483239394838327
K11:b1,K6:b2,2,23268,8.595495960116899e-05
K16:b1,K11:b2,2,21887,9.137844382510166e-05
K11:b1,K3:b3,2,23268,8.595495960116899e-05
K3:b1,K5:b3,2,100901,1.98214091039732e-05
K9:b2,K14:b1,1,289,0.0034602076124567475
K9:b2,K12:b1,1,289,0.0034602076124567475
K14:b1,K7:b2,1,38147,2.621438120953155e-05
K13:b1,K10:b1,1,13484,7.416196974191635e-05
K6:b1,K4:b3,1,31890,3.1357792411414234e-05
K9:b2,K16:b1,1,289,0.0034602076124567475
K6:b2,K9:b2,1,1946,0.0005138746145940391
K14:b1,K11:b2,1,38147,2.621438120953155e-05
K16:b1,K15:b2,1,21887,4.568922191255083e-05
K16:b1,K7:b2,1,21887,4.568922191255083e-05
K15:b1,K4:b4,1,35395,2.8252578047746855e-05
K16:b1,K6:b3,1,21887,4.568922191255083e-05
K3:b1,K6:b4,1,100901,9.9107045519866e-06
K6:b4,K3:b1,1,1,1.0
K12:b1,K12:b1,1,13483,7.416747014759327e-05
K6:b1,K3:b6,1,31890,3.1357792411414234e-05
K3:b1,K4:b4,1,100901,9.9107045519866e-06
K16:b1,K5:b4,1,21887,4.568922191255083e-05
K5:b4,K4:b1,1,1,1.0
