src,dst,count,source_events,empirical_probability
K9:L7:b2,K4:L3:b2,22,79,0.27848101265822783
K10:L8:b1,K16:L12:b1,22,846,0.026004728132387706
K6:L4:b1,K6:L4:b2,22,28722,0.0007659633730241627
K6:L4:b1,K11:L9:b1,21,28722,0.0007311468560685189
K8:L7:b2,K7:L6:b1,21,21,1.0
K9:L6:b2,K5:L4:b1,21,192,0.109375
K10:L7:b2,K3:L2:b1,21,179,0.11731843575418995
K6:L4:b1,K7:L5:b2,20,28722,0.0006963303391128751
K14:L11:b1,K8:L6:b2,20,3308,0.006045949214026602
K9:L6:b1,K16:L13:b1,20,12438,0.0016079755587715067
K3:L2:b1,K16:L15:b1,20,100901,0.000198214091039732
K10:L7:b2,K4:L3:b1,19,179,0.10614525139664804
K10:L8:b1,K16:L11:b1,19,846,0.022458628841607566
K6:L4:b1,K15:L13:b1,19,28722,0.0006615138221572314
K15:L10:b1,K15:L10:b1,19,21691,0.0008759393296759024
K3:L2:b1,K15:L14:b1,19,100901,0.00018830338648774542
K9:L8:b2,K8:L7:b1,18,18,1.0
K6:L4:b2,K12:L8:b1,18,1236,0.014563106796116505
K13:L9:b2,K4:L3:b2,18,35,0.5142857142857142
K3:L2:b1,K14:L13:b1,18,100901,0.00017839268193575882
K6:L4:b2,K10:L7:b1,18,1236,0.014563106796116505
K15:L10:b2,K14:L9:b1,18,18,1.0
K6:L4:b1,K16:L14:b1,18,28722,0.0006266973052015876
K15:L12:b1,K8:L6:b2,18,3123,0.005763688760806916
K6:L4:b2,K13:L9:b1,17,1236,0.013754045307443365
K14:L9:b1,K12:L8:b1,17,24504,0.000693764283382305
K10:L7:b2,K3:L2:b3,17,179,0.09497206703910614
K10:L9:b2,K9:L8:b1,17,17,1.0
K11:L7:b2,K7:L5:b1,17,85,0.2
K11:L7:b2,K4:L3:b1,17,85,0.2
K11:L8:b2,K4:L3:b1,17,17,1.0
K11:L9:b2,K5:L4:b2,17,17,1.0
K12:L8:b2,K11:L7:b1,17,17,1.0
K3:L2:b1,K13:L12:b1,17,100901,0.00016848197738377223
K13:L9:b2,K4:L3:b1,17,35,0.4857142857142857
K15:L14:b1,K16:L14:b1,17,88,0.19318181818181818
K10:L9:b1,K16:L12:b1,16,178,0.0898876404494382
K6:L4:b1,K14:L12:b1,16,28722,0.0005570642712903001
K14:L13:b1,K16:L13:b1,16,119,0.13445378151260504
K9:L6:b1,K15:L12:b1,16,12438,0.0012863804470172053
K3:L2:b1,K12:L11:b1,15,100901,0.000148660568279799
K6:L4:b1,K8:L6:b2,15,28722,0.0005222477543346564
K9:L6:b1,K14:L11:b1,15,12438,0.00120598166907863
K11:L9:b1,K16:L13:b1,14,826,0.01694915254237288
K14:L13:b1,K16:L14:b1,14,119,0.11764705882352941
K16:L11:b1,K12:L8:b1,13,14187,0.0009163318531049552
K6:L4:b1,K13:L11:b1,13,28722,0.00045261472042336886
K9:L6:b1,K7:L5:b1,13,12438,0.0010451841132014794
K13:L9:b1,K9:L6:b1,13,9399,0.0013831258644536654
K4:L3:b4,K3:L2:b1,13,13,1.0
K16:L11:b1,K14:L9:b1,13,14187,0.0009163318531049552
K9:L6:b1,K14:L10:b1,12,12438,0.000964785335262904
K9:L6:b1,K15:L11:b1,12,12438,0.000964785335262904
K11:L7:b1,K10:L7:b1,12,19101,0.0006282393591958537
K6:L4:b1,K12:L10:b1,12,28722,0.0004177982034677251
K15:L10:b1,K16:L11:b1,12,21691,0.0005532248397953068
K9:L6:b1,K10:L7:b1,11,12438,0.0008843865573243286
K14:L10:b1,K9:L6:b2,11,9431,0.0011663662389990457
K3:L2:b1,K10:L9:b1,11,100901,0.00010901775007185261
K9:L6:b1,K11:L7:b1,11,12438,0.0008843865573243286
K12:L8:b1,K9:L6:b1,11,9660,0.0011387163561076604
K13:L10:b1,K4:L3:b4,11,3113,0.0035335689045936395
K13:L12:b1,K16:L12:b1,11,131,0.08396946564885496
K15:L11:b1,K15:L10:b1,11,9803,0.001122105477914924
K9:L8:b1,K16:L11:b1,10,219,0.045662100456621
K3:L2:b1,K8:L6:b2,10,100901,9.9107045519866e-05
K9:L6:b1,K12:L8:b1,10,12438,0.0008039877793857533
K9:L6:b1,K12:L9:b1,10,12438,0.0008039877793857533
K3:L2:b1,K9:L6:b2,10,100901,9.9107045519866e-05
K16:L11:b1,K13:L9:b1,10,14187,0.0007048706562345809
K13:L12:b1,K16:L14:b1,10,131,0.07633587786259542
K6:L4:b2,K15:L10:b1,10,1236,0.008090614886731391
K12:L11:b1,K16:L11:b1,10,138,0.07246376811594203
K6:L4:b3,K3:L2:b1,10,13,0.7692307692307693
K13:L12:b1,K16:L13:b1,10,131,0.07633587786259542
K15:L11:b1,K14:L9:b1,10,9803,0.0010200958890135673
K16:L11:b1,K9:L6:b2,10,14187,0.0007048706562345809
K6:L4:b1,K9:L8:b1,9,28722,0.0003133486526007938
K9:L6:b1,K13:L10:b1,9,12438,0.000723589001447178
K3:L2:b6,K3:L2:b5,9,9,1.0
K15:L10:b1,K13:L9:b1,9,21691,0.0004149186298464801
K15:L11:b1,K9:L6:b2,9,9803,0.0009180863001122105
K9:L6:b1,K8:L6:b1,8,12438,0.0006431902235086027
K9:L8:b1,K16:L13:b1,8,219,0.0365296803652968
K9:L6:b1,K13:L9:b1,8,12438,0.0006431902235086027
K13:L9:b1,K6:L4:b3,8,9399,0.0008511543781253325
K14:L10:b1,K4:L3:b3,8,9431,0.0008482663556356696
K13:L9:b1,K15:L10:b1,8,9399,0.0008511543781253325
K15:L10:b1,K10:L7:b1,8,21691,0.00036881655986353785
K16:L11:b1,K3:L2:b6,8,14187,0.0005638965249876648
K11:L7:b1,K8:L6:b1,7,19101,0.0003664729595309146
K9:L6:b2,K9:L6:b1,7,192,0.036458333333333336
K10:L7:b1,K16:L11:b1,7,6852,0.0010215995329830706
K14:L9:b1,K13:L9:b1,7,24504,0.00028566764609859615
K11:L10:b1,K16:L11:b1,7,169,0.04142011834319527
K12:L11:b1,K16:L13:b1,7,138,0.050724637681159424
K15:L11:b1,K8:L6:b1,7,9803,0.0007140671223094971
K11:L8:b1,K10:L7:b2,6,3172,0.0018915510718789407
K10:L8:b1,K16:L13:b1,6,846,0.0070921985815602835
K13:L9:b1,K5:L4:b2,6,9399,0.0006383657835939994
K9:L6:b1,K11:L8:b1,6,12438,0.000482392667631452
K15:L11:b1,K10:L7:b2,6,9803,0.0006120575334081404
K10:L9:b1,K16:L11:b1,6,178,0.033707865168539325
K11:L7:b1,K4:L3:b2,6,19101,0.00031411967959792684
K13:L11:b1,K6:L5:b3,6,841,0.007134363852556481
K6:L5:b3,K5:L4:b1,6,6,1.0
K13:L9:b1,K14:L9:b1,6,9399,0.0006383657835939994
K12:L8:b1,K14:L9:b1,6,9660,0.0006211180124223603
K14:L9:b1,K6:L4:b2,6,24504,0.0002448579823702253
K16:L11:b1,K8:L6:b1,6,14187,0.00042292239374074856
K11:L10:b1,K16:L12:b1,5,169,0.029585798816568046
K16:L12:b1,K9:L6:b2,5,5728,0.0008729050279329608
K15:L11:b1,K11:L7:b1,5,9803,0.0005100479445067837
K11:L10:b1,K16:L14:b1,5,169,0.029585798816568046
K11:L7:b1,K9:L7:b1,5,19101,0.00026176639966493903
K15:L11:b1,K13:L9:b1,5,9803,0.0005100479445067837
K6:L4:b1,K3:L2:b4,5,28722,0.0001740825847782188
K9:L8:b1,K16:L12:b1,5,219,0.0228310502283105
K16:L13:b1,K9:L7:b2,5,1629,0.003069367710251688
K9:L7:b1,K16:L11:b1,5,2352,0.0021258503401360546
K3:L2:b1,K9:L7:b2,5,100901,4.9553522759933e-05
K15:L11:b1,K12:L8:b1,5,9803,0.0005100479445067837
K9:L7:b1,K8:L6:b2,5,2352,0.0021258503401360546
K3:L2:b1,K8:L7:b2,4,100901,3.96428182079464e-05
K9:L6:b2,K11:L7:b1,4,192,0.020833333333333332
K10:L9:b1,K16:L13:b1,4,178,0.02247191011235955
K8:L7:b1,K16:L12:b1,4,496,0.008064516129032258
K6:L4:b2,K16:L11:b1,4,1236,0.003236245954692557
K12:L11:b1,K16:L14:b1,4,138,0.028985507246376812
K3:L2:b1,K6:L4:b3,4,100901,3.96428182079464e-05
K14:L9:b1,K11:L8:b1,4,24504,0.0001632386549134835
K14:L9:b1,K4:L3:b3,4,24504,0.0001632386549134835
K6:L4:b1,K6:L5:b2,4,28722,0.00013926606782257503
K12:L11:b1,K16:L12:b1,4,138,0.028985507246376812
K16:L11:b1,K16:L11:b1,4,14187,0.0002819482624938324
K15:L11:b1,K11:L8:b1,4,9803,0.0004080383556054269
K16:L11:b1,K6:L5:b1,4,14187,0.0002819482624938324
K15:L12:b1,K9:L7:b2,4,3123,0.001280819724623759
K16:L12:b1,K10:L7:b2,4,5728,0.0006983240223463687
K9:L6:b2,K15:L10:b1,3,192,0.015625
K6:L4:b1,K11:L10:b1,3,28722,0.00010444955086693127
K11:L10:b1,K16:L13:b1,3,169,0.01775147928994083
K11:L7:b1,K12:L9:b1,3,19101,0.00015705983979896342
K6:L4:b3,K6:L4:b2,3,13,0.23076923076923078
K9:L6:b1,K9:L6:b1,3,12438,0.000241196333815726
K14:L9:b1,K3:L2:b5,3,24504,0.00012242899118511264
K9:L6:b1,K6:L5:b1,3,12438,0.000241196333815726
K13:L9:b1,K14:L10:b1,3,9399,0.0003191828917969997
K13:L10:b1,K12:L9:b2,3,3113,0.0009637006103437199
K10:L9:b1,K16:L14:b1,3,178,0.016853932584269662
